question_id,sample_id,source_index,question,category,population,carrier_count,session_count,structure,flags,complete_16000,evidence_delivered_16000,miss_state_16000,dense_relation_16000,association_16000,complete_32000,evidence_delivered_32000,miss_state_32000,dense_relation_32000,association_32000,longitudinal
6ddead46f2e3f732161f7599e1e00e98b45f1fd9c5cf00b6dfc48303ced391d1,conv-41,14,Would John be considered a patriotic person?,3,other,2,1,MULTI_CARRIER_ONE_SESSION,UNMARKED,False,1,PARTIAL_EVIDENCE,TIE_MISS,NOT_APPLICABLE,True,2,COMPLETE,GAIN,A3_ONLY,RESCUED_AT_32K
0f04797f3f9a63e1500e2cd1de89cc856bcdd79ae6810f1d3ede536dc11e9105,conv-41,15,What writing classes has Maria taken?,1,other,2,2,MULTI_SESSION,UNMARKED,True,2,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,True,2,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,COMPLETE_BOTH
97606a4096fa4ad9c5b3c8ef0aa86a4601e7cbc88b83892857a996c7d2ce8e36,conv-41,16,When did John get his degree?,2,targeted,1,1,SINGLE_CARRIER_SINGLE_SESSION,TEMPORAL,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,COMPLETE_BOTH
6c7d20b33db076d64a3b02c3a3374170f6adb0b03975d00a3941b2d314bf9b4b,conv-41,17,What might John's degree be in?,3,targeted,1,1,SINGLE_CARRIER_SINGLE_SESSION,UNMARKED,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,COMPLETE_BOTH
8996322a617d673c38966e19f5709b82732f2323224d4abeebc1d969359de3af,conv-41,18,Who did John go to yoga with?,1,other,2,2,MULTI_SESSION,UNMARKED,True,2,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,True,2,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,COMPLETE_BOTH
bb66fff02fa85e5036144b7f929aa823f7ba9a8e8d116829306710ee1870496a,conv-41,19,What damages have happened to John's car?,1,other,2,2,MULTI_SESSION,UNMARKED,True,2,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,True,2,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,COMPLETE_BOTH
9bec05e11003c1d8b835d64804d0520b5bba6d7d6f7f7643dc3d31a70844b7fb,conv-41,20,When did John take a road trip to the Pacific Northwest?,2,other,2,1,MULTI_CARRIER_ONE_SESSION,TEMPORAL,True,2,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,True,2,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,COMPLETE_BOTH
8c561bbaa9f46bef0528ee6e48edfd9e83bbc2ee19eb7644e2dda196f2188ef6,conv-41,21,What areas of the U.S. has John been to or is planning to go to?,1,other,2,2,MULTI_SESSION,UNMARKED,True,2,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,True,2,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,COMPLETE_BOTH
ed0317028cb6b2a34fbf1078c280bf61740133cba018028c2cb1ac0a1e4c6c20,conv-41,22,When did John go to a convention with colleagues?,2,targeted,1,1,SINGLE_CARRIER_SINGLE_SESSION,TEMPORAL,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,COMPLETE_BOTH
ba47fd791ad22031773f7f79bcea62386893b0814976b70d85be47b7fd552c79,conv-41,23,What desserts has Maria made?,1,other,2,2,MULTI_SESSION,UNMARKED,True,2,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,True,2,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,COMPLETE_BOTH
c3c975d4a2c1c5861466968b73713667362225314ada1d2aeebb693134fb0957,conv-41,24,When did John start boot camp with his family?,2,targeted,1,1,SINGLE_CARRIER_SINGLE_SESSION,TEMPORAL,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,COMPLETE_BOTH
4ce72206d70eb2010ed5fae4597ec37dbe0621e80aebe7151c724290bf094855,conv-41,25,What European countries has Maria been to?,1,other,2,2,MULTI_SESSION,UNMARKED,True,2,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,True,2,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,COMPLETE_BOTH
8f9ae358d6e7e92632040ed791454da76fbc27d176b9b7a7a30813a7622c46dd,conv-41,26,What has Maria done to feel closer to her faith?,1,other,2,2,MULTI_SESSION,UNMARKED,True,2,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,True,2,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,COMPLETE_BOTH
b775fcf9187bb1dc5eea4a1054905ad24e76b2bfa4a9e7fd83b8cd39592cac01,conv-41,27,When did John have a party with veterans?,2,targeted,1,1,SINGLE_CARRIER_SINGLE_SESSION,TEMPORAL,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,COMPLETE_BOTH
68dcf7b914ea80c711436fb87c227cd2bd44ec9a17b85697bc313a4c65537cf4,conv-41,28,What causes does John feel passionate about supporting?,1,breadth,4,4,MULTI_SESSION,CAUSAL|ENUMERATION,False,3,PARTIAL_EVIDENCE,TIE_MISS,NOT_APPLICABLE,True,4,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,RESCUED_AT_32K
bc458224e5cc9ef5bf9502afddc64f03a586be6c1360d3fc134b59a782f5c7cb,conv-41,29,What events is Maria planning for the homeless shelter funraiser?,1,other,2,2,MULTI_SESSION,ENUMERATION,True,2,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,True,2,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,COMPLETE_BOTH
c3e701757745a0d59758ddfdba3b30cee5f796e4f3cc76c680e828900aa4d92e,conv-41,30,What shelters does Maria volunteer at?,1,breadth,3,3,MULTI_SESSION,UNMARKED,True,3,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,True,3,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,COMPLETE_BOTH
3b5dc4d18f50976d41d4ef970a071ab24af511fa02026af72ae1e4a8fe96a605,conv-41,31,When did John get his dog Max?,2,targeted,1,1,SINGLE_CARRIER_SINGLE_SESSION,TEMPORAL,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,COMPLETE_BOTH
8a982417a511195efbb0a9fc06208995f8abc361f4b74e525a1a2301c4db6186,conv-41,32,What outdoor activities has John done with his colleagues?,1,other,2,2,MULTI_SESSION,UNMARKED,False,1,PARTIAL_EVIDENCE,TIE_MISS,NOT_APPLICABLE,True,2,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,RESCUED_AT_32K
d60c0443cbb6217ed2896f9380bddb5be55c2cb232285ccdc244b9f929ce01e2,conv-41,33,What types of yoga has Maria practiced?,1,breadth,3,3,MULTI_SESSION,UNMARKED,True,3,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,True,3,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,COMPLETE_BOTH
152edafcfaccb80100fedd9618fb0d8bef7d39157fa916ec7a908ef7c3f6f27f,conv-41,34,When did Maria join a gym?,2,targeted,1,1,SINGLE_CARRIER_SINGLE_SESSION,TEMPORAL,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,COMPLETE_BOTH
ad72d579039ea181d479ecb838e1d562952c69ccf832608256f0dcf58a9faf1d,conv-41,35,What states has Maria vacationed at?,1,other,2,2,MULTI_SESSION,UNMARKED,True,2,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,True,2,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,COMPLETE_BOTH
d224277eceff24fcf743cb31d90c2296293719caab166da4fca15b1b3962b2b2,conv-41,36,What music events has John attended?,1,other,2,2,MULTI_SESSION,UNMARKED,True,2,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,True,2,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,COMPLETE_BOTH
c6d12ae10830d7054f9a8bfa6e109c37a3ce5571ce292916aa16dc6fc2760e2e,conv-41,37,What events for veterans has John participated in?,1,breadth,5,4,MULTI_SESSION,ENUMERATION,True,5,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,True,5,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,COMPLETE_BOTH
bd7fbfa7f1c6d80208462b78c7b7cdb646ad57a01230e87ac87250554c11fb30,conv-41,38,When did Maria get in a car accident?,2,targeted,1,1,SINGLE_CARRIER_SINGLE_SESSION,TEMPORAL,False,0,ZERO_EVIDENCE,TIE_MISS,NOT_APPLICABLE,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,RESCUED_AT_32K
1a19d1712aad830025167a7eec6e7bb438396b956346b4f359ac16f12c6e71ae,conv-41,39,Around which US holiday did Maria get into a car accident?,3,targeted,1,1,SINGLE_CARRIER_SINGLE_SESSION,ENUMERATION,False,0,ZERO_EVIDENCE,TIE_MISS,NOT_APPLICABLE,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,RESCUED_AT_32K
e7351bea6186a9ab85c77ad84bab0c20098b1bb45415dbd676f8e18e16936bff,conv-41,40,What are the names of John's children?,1,other,2,2,MULTI_SESSION,ENUMERATION,False,1,PARTIAL_EVIDENCE,TIE_MISS,NOT_APPLICABLE,False,1,PARTIAL_EVIDENCE,TIE_MISS,NOT_APPLICABLE,PERSISTENT_MISS
1617c689353d45ffb675cf8997cbb721c375af92eac8f9b6212c13f16c159593,conv-41,41,Does John live close to a beach or the mountains?,3,targeted,1,1,SINGLE_CARRIER_SINGLE_SESSION,UNMARKED,False,0,ZERO_EVIDENCE,TIE_MISS,NOT_APPLICABLE,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,RESCUED_AT_32K
98c68d28bd72073b8335156b7e0fea200885bbe8eba096ed847f75c5fc1edddb,conv-41,42,What area was hit by a flood?,1,other,2,2,MULTI_SESSION,UNMARKED,True,2,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,True,2,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,COMPLETE_BOTH
1b24de20447e3bd6d78d7361f25b869b2b22726f4b1a3f6bfa4115582b59e86e,conv-41,43,When was John's old area hit with a flood?,2,targeted,1,1,SINGLE_CARRIER_SINGLE_SESSION,TEMPORAL,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,COMPLETE_BOTH
add82d28e06d3471718bbfd0c7e59110498a92f8e42bbdf957e5a1280f34d7a1,conv-41,44,What activities has Maria done with her church friends?,1,breadth,3,3,MULTI_SESSION,ENUMERATION,False,2,PARTIAL_EVIDENCE,TIE_MISS,NOT_APPLICABLE,False,2,PARTIAL_EVIDENCE,TIE_MISS,NOT_APPLICABLE,PERSISTENT_MISS
c4bf69d7d06891f87c346b585f431847a897b337b49dbe2e45e05f88e593b64e,conv-41,45,Would John be open to moving to another country?,3,other,2,2,MULTI_SESSION,UNMARKED,False,0,ZERO_EVIDENCE,TIE_MISS,NOT_APPLICABLE,False,1,PARTIAL_EVIDENCE,TIE_MISS,NOT_APPLICABLE,PERSISTENT_MISS
6c16f32fb892ddbc30e3e5634c866df598de30e09a47b7163d028d1bcce553d7,conv-41,46,When did Maria go hiking with her church friends?,2,targeted,1,1,SINGLE_CARRIER_SINGLE_SESSION,TEMPORAL,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,COMPLETE_BOTH
7e400493e1f8e110a1b73d407bc503727fec99b6df5446d27f7a5b721cbd09a8,conv-41,47,What exercises has John done?,1,breadth,4,3,MULTI_SESSION,UNMARKED,True,4,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,True,4,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,COMPLETE_BOTH
b332250b285864e5fca8925845e8a2e32c94fe270bdda8840c5d0ecd1e1a6774,conv-41,48,When did John have his first firefighter call-out?,2,targeted,1,1,SINGLE_CARRIER_SINGLE_SESSION,TEMPORAL,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,COMPLETE_BOTH
181e2696c54db3a37a848421bd61d2caa5046ea51033b3dc68115f51812dcb5c,conv-41,49,What food item did Maria drop off at the homeless shelter?,1,other,2,2,MULTI_SESSION,UNMARKED,False,1,PARTIAL_EVIDENCE,TIE_MISS,NOT_APPLICABLE,False,1,PARTIAL_EVIDENCE,TIE_MISS,NOT_APPLICABLE,PERSISTENT_MISS
cc0f2b7067af957251ba161477f8e2703d43088d8f999332abd57df111afe014,conv-41,50,What attributes describe John?,3,breadth,4,4,MULTI_SESSION,UNMARKED,False,0,ZERO_EVIDENCE,TIE_MISS,NOT_APPLICABLE,False,0,ZERO_EVIDENCE,TIE_MISS,NOT_APPLICABLE,PERSISTENT_MISS
fc65d91d1c22d4d789c07a589802bc27dbaf2da242cefb9eaeb5b3628d223273,conv-41,51,When did Maria start volunteering at the homeless shelter?,2,targeted,1,1,SINGLE_CARRIER_SINGLE_SESSION,TEMPORAL,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,COMPLETE_BOTH
ea9de830c59aa8046b513492a5069d4059a487a4e563a42422888e26c0cbe975,conv-41,52,Who have written notes of gratitude to Maria?,1,other,2,2,MULTI_SESSION,UNMARKED,True,2,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,True,2,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,COMPLETE_BOTH
b6a82c2eab3acda85ae7e9d6321d7be50fe13198c792398038278bf76017df5f,conv-41,53,When did John help renovate his hometown community center?,2,targeted,1,1,SINGLE_CARRIER_SINGLE_SESSION,TEMPORAL,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,COMPLETE_BOTH
57cb78d9a8700d5254f53691ff26acf59bb2bbad1d2695b95514839c52b4bbf1,conv-41,54,When did Maria take up community work with her church friends?,2,targeted,1,1,SINGLE_CARRIER_SINGLE_SESSION,TEMPORAL,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,COMPLETE_BOTH
d4f7248959751b17f2d7d3a760a579c652197af8c0337c2231bf6829d5ea29a5,conv-41,55,When did Maria receive a medal from the homeless shelter?,2,targeted,1,1,SINGLE_CARRIER_SINGLE_SESSION,TEMPORAL,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,COMPLETE_BOTH
bc430a52ac972d69552399542570704ba156d837c332e113eecf0f0cecbb0731,conv-41,56,When did John participate in a 5K charity run?,2,other,2,1,MULTI_CARRIER_ONE_SESSION,TEMPORAL,True,2,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,True,2,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,COMPLETE_BOTH
62df22747c16d25cbd57d4bd3af9cc8f44183c952d735149636529e78ed7e8a8,conv-41,57,What causes has John done events for?,1,breadth,4,3,MULTI_SESSION,CAUSAL|ENUMERATION,False,3,PARTIAL_EVIDENCE,LOSS,A3_ONLY,True,4,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,RESCUED_AT_32K
defbf87718c39d745b8eb64bee56a468d9d6212f5ddd501bb5c38500a608e4ac,conv-41,58,When did Maria get Coco?,2,targeted,1,1,SINGLE_CARRIER_SINGLE_SESSION,TEMPORAL,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,COMPLETE_BOTH
28fe48b7a92fe2cf728a6c95ce4218f4c9c892dc3aacc53250bd4f535f3ceb6a,conv-41,59,When did John go on a camping trip with Max?,2,targeted,1,1,SINGLE_CARRIER_SINGLE_SESSION,TEMPORAL,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,COMPLETE_BOTH
10d4b1e084bca3837b13a70c3d784b125e8306dd3ded7a453208bc5630b61be1,conv-41,60,What are Maria's dogs' names?,1,other,2,2,MULTI_SESSION,ENUMERATION,True,2,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,True,2,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,COMPLETE_BOTH
36d93b76113ff436fca2d3dc6000320c5c7c072211eb585790088bf31f8c9eb0,conv-41,61,When did Maria adopt Shadow?,2,targeted,1,1,SINGLE_CARRIER_SINGLE_SESSION,TEMPORAL,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,COMPLETE_BOTH
3f3ebfe03beaa28e909ecbae26e1aefd3ed79d3984c58c83d4feeacc80ac923d,conv-41,62,How many dogs has Maria adopted from the dog shelter she volunteers at?,1,other,2,2,MULTI_SESSION,QUANTITY|ENUMERATION,True,2,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,True,2,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,COMPLETE_BOTH
af3c9b2697cd74f1299778d1fd9b47d45bbe238357514de39d3f30646c8da82a,conv-41,63,How many weeks passed between Maria adopting Coco and Shadow?,2,other,2,2,MULTI_SESSION,QUANTITY|ENUMERATION,True,2,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,True,2,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,COMPLETE_BOTH
5f30487527c8d532f3b0cd5baec495674a10126b5003fef91554d12f1079ede3,conv-41,64,What job might Maria pursue in the future?,3,breadth,4,4,MULTI_SESSION,UNMARKED,False,1,PARTIAL_EVIDENCE,TIE_MISS,NOT_APPLICABLE,False,1,PARTIAL_EVIDENCE,TIE_MISS,NOT_APPLICABLE,PERSISTENT_MISS
d994c5dbf79b3037e45ce749cb2f63074d734415df8d7065ee488748b1611b00,conv-41,65,What is John's main focus in local politics?,4,targeted,1,1,SINGLE_CARRIER_SINGLE_SESSION,UNMARKED,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,COMPLETE_BOTH
7f71270f2886f58ad0db19a422a14f9f8b8859f20e5dcc4a636d1d44ee070920,conv-41,66,What sparked John's interest in improving education and infrastructure in the community?,4,targeted,1,1,SINGLE_CARRIER_SINGLE_SESSION,UNMARKED,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,COMPLETE_BOTH
66b4152210204f50f7cb731946339920fcd6c9df8d0a9fd36b822d05fc49492d,conv-41,67,How did the extra funding help the school shown in the photo shared by John?,4,targeted,1,1,SINGLE_CARRIER_SINGLE_SESSION,UNMARKED,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,COMPLETE_BOTH
b8bc0e905715cdbcf2ab7bb2f8defeee076ab3e3512ad83c6b44d734c8e64455,conv-41,68,What type of workout class did Maria start doing in December 2023?,4,targeted,1,1,SINGLE_CARRIER_SINGLE_SESSION,UNMARKED,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,COMPLETE_BOTH
4b524ab97ad92c975195c175eaeee2369cf22d814c49fb19e16d80813f38156e,conv-41,69,What did Maria donate to a homeless shelter in December 2023?,4,targeted,1,1,SINGLE_CARRIER_SINGLE_SESSION,UNMARKED,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,COMPLETE_BOTH
472cff1f39f563b30261e9ce91f3d06455e2d8529de1ceb5cad6c4ef05cb64eb,conv-41,70,What kind of meal did John and his family make together in the photo shared by John?,4,targeted,1,1,SINGLE_CARRIER_SINGLE_SESSION,UNMARKED,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,COMPLETE_BOTH
1c5f12227666a19e7cade34d74a69ec8f8a985cfc6f633b27c78f7de40872783,conv-41,71,What kind of online group did John join?,4,targeted,1,1,SINGLE_CARRIER_SINGLE_SESSION,UNMARKED,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,COMPLETE_BOTH
c680a0c7ab5e45bee663dad99784805b7ddc6580fbeae4a9dc740cd2d7933771,conv-41,72,What kind of activities did John and his mates from the online group do as part of their service efforts?,4,targeted,1,1,SINGLE_CARRIER_SINGLE_SESSION,UNMARKED,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,COMPLETE_BOTH
f6beb86d834a79752f10413efd4ca0355c1b6b55ad2589c1017e44c894011932,conv-41,73,Who inspired Maria to start volunteering?,4,targeted,1,1,SINGLE_CARRIER_SINGLE_SESSION,UNMARKED,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,COMPLETE_BOTH
5bcc60e6202cbdde78c437b697deab64f36b5f3232ad8b6d3cbd2b56a2fdf1c2,conv-41,74,Why did Maria sit with the little girl at the shelter event in February 2023?,4,targeted,1,1,SINGLE_CARRIER_SINGLE_SESSION,CAUSAL,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,COMPLETE_BOTH
136977e4c66c5c46e566f3d51725f45aae0327b6f8767183941e4c82a827e032,conv-41,75,What did Jean go through before meeting Maria?,4,targeted,1,1,SINGLE_CARRIER_SINGLE_SESSION,TEMPORAL,False,0,ZERO_EVIDENCE,TIE_MISS,NOT_APPLICABLE,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,RESCUED_AT_32K
