row_type,variant,topic,dream_event,source_turn,plant,span_text,score,rank,minimum_C,current_density_rank,rubric_critical
plant,rarity_sum_per_word,topic_5,111,102,marine_feeding,Dr. Kenji Watanabe's team has documented that Vampyroteuthis infernalis feeds primarily through marine snow particle aggregation rather than active predation.,2.542635,77,77,89,True
false_positive_top10,rarity_mean,topic_2,31,20,,**ISO 15630:** Welding consumables for high-tensile strength steels.,4.510767,1,,,False
false_positive_top10,rarity_mean,topic_2,31,17,,"The Design Truck has axles of 25 kips, 35 kips, and 35 kips.",4.281947,2,,,False
false_positive_top10,rarity_mean,topic_2,31,24,,"This includes Ultrasonic Testing (UT) for volumetric defects in thick plate welds, Magnetic Particle Testing (MT) or Liquid Penetrant Testing (PT) for surface-breaking cracks, and Radiographic Testing (RT) where access permits.",4.225634,3,,,False
false_positive_top10,rarity_mean,topic_2,31,14,,**Spherical Bearings:** Spherical bearings utilize a concave stainless steel or PTFE spherical surface that rotates within a corresponding spherical seat.,4.202019,4,,,False
false_positive_top10,rarity_mean,topic_2,31,10,,"The total dry film thickness (DFT) should range between 350–450 microns, providing a barrier against chloride ion penetration from salt spray. (",4.173967,5,,,False
false_positive_top10,rarity_mean,topic_2,31,24,,"**Welding Procedure Qualification (Quality Assurance):** Before any production welding begins, all Welding Procedure Specifications (WPS) must be qualified through Procedure Qualification Records (PQR) according to relevant codes (e.g., AWS D1.5 or EN 1090).",4.155352,6,,,False
false_positive_top10,rarity_mean,topic_2,31,20,,**ISO 6935:** Definitions of welding procedures for steel bridges.,4.120874,7,,,False
false_positive_top10,rarity_mean,topic_2,31,19,,"**In-Situ Testing and Soil Sampling:** To complement borehole data, in-situ tests such as Cone Penetration Tests (CPT) and Pressuremeter Tests (PMT) are deployed to measure soil stiffness, friction, and stress history continuously.",4.116321,8,,,False
false_positive_top10,rarity_mean,topic_2,31,19,,"**Laboratory Testing and Material Characterization:** Samples are subjected to triaxial compression tests, direct shear tests, and consolidation tests to determine key engineering properties: effective friction angle ($\phi'$), cohesion ($c'$), Young's modulus ($E$), and compressibility coefficients.",4.111609,9,,,False
false_positive_top10,rarity_mean,topic_2,31,11,,**Three Highest-Risk Construction Phases:**,4.105397,10,,,False
false_positive_top10,rarity_mean,topic_3,61,36,,"This symbolizes Mary as the ""garden enclosed"" from the Song of Solomon, representing her virginity and purity.",4.865678,1,,,False
false_positive_top10,rarity_mean,topic_3,61,36,,Gabriel carries a lily (fleur-de-lis) symbolizing Mary's purity and the Incarnation.,4.726624,2,,,False
false_positive_top10,rarity_mean,topic_3,61,38,,"The Malatesta Temple (Tempio Malatestiano), originally a church and transformed into a mausoleum and monument by Leon Battista Alberti, was covered in reliefs by Matteo de’ Pasti that celebrated Sigismondo’s military victories and personal virtues.",4.710459,3,,,False
false_positive_top10,rarity_mean,topic_3,61,59,,550 cm x 340 cm) and significance.,4.574832,4,,,False
false_positive_top10,rarity_mean,topic_3,61,59,,"**Restitution to Italy (1815):** After the defeat of Napoleon at Waterloo and the subsequent Congress of Vienna (1815), a comprehensive restitution effort was undertaken to return looted artworks to their countries of origin. *",4.549063,5,,,False
false_positive_top10,rarity_mean,topic_3,61,41,,Sixtus IV summoned Giovanni de’ Dolci (Betti) as the initial architect.,4.520227,6,,,False
false_positive_top10,rarity_mean,topic_3,61,36,,"**The Dove and the Rays:** The Holy Spirit dove is a mandatory iconographic element, representing the third person of the Trinity.",4.509050,7,,,False
false_positive_top10,rarity_mean,topic_3,61,36,,"Mary is often depicted reading a book (signifying her piety and knowledge of prophecy) or spinning (a reference to apocryphal texts and the ""Spinola of the Spouse"").",4.494868,8,,,False
false_positive_top10,rarity_mean,topic_3,61,34,,**Extreme Rarity and Cost:** Lapis lazuli was sourced almost exclusively from the Sar-i Sang mines in the Badakhshan region of present-day Afghanistan.,4.428705,9,,,False
false_positive_top10,rarity_mean,topic_3,61,41,,"**Political Context and the Papacy of Sixtus IV:** Pope Sixtus IV (Federico della Rovere, reigned 1471–1484) ascended to the throne amidst the chaos of the War of Ferrara and the aftermath of the Pazzi Conspiracy (1478) in Florence.",4.424066,10,,,False
false_positive_top10,rarity_mean,topic_4,91,78,,Ended by the introduction of the Forint backed by agricultural land value.,4.590712,1,,,False
false_positive_top10,rarity_mean,topic_4,91,78,,"**Weimar Germany (1921–1923):** Triggered by war reparations and fiscal deficits, the Reichsmark lost value exponentially.",4.402603,2,,,False
false_positive_top10,rarity_mean,topic_4,91,78,,"**Venezuela (2016–Present):** A modern case of ""resource curse"" hyperinflation.",4.390927,3,,,False
false_positive_top10,rarity_mean,topic_4,91,67,,"**Empirical Evidence (1950s–1990s):** Seminal studies by economists like Alder, Brender, and Wallace (1999) and Grilli, Masciandaro, and Tabellini (1991) analyzed data from OECD countries.",4.293612,4,,,False
false_positive_top10,rarity_mean,topic_4,91,78,,"**Zimbabwe (2006–2009):** Resulted from land reform policies that destroyed agricultural output, combined with financing of social programs and a quasi-state entity (ZIPRA) through money creation.",4.241752,5,,,False
false_positive_top10,rarity_mean,topic_4,91,68,,"**Historical Applications:** The Danish National Bank (2012), BOJ (2016), ECB (2014), and Swiss National Bank (SNB, 2014) implemented NIRP.",4.240699,6,,,False
false_positive_top10,rarity_mean,topic_4,91,82,,"Cybersecurity vulnerabilities, smart contract failures, or liquidity crunches in decentralized finance (DeFi) platforms could trigger sudden stops in credit or panic-driven runs on traditional banks.",4.219079,7,,,False
false_positive_top10,rarity_mean,topic_4,91,68,,"**Historical Applications:** The BOE and RBNZ introduced ""calendar-based"" guidance in 2009.",4.180344,8,,,False
false_positive_top10,rarity_mean,topic_4,91,67,,"**The Time-Inconsistency Problem:** This correlation is explained by the ""time-inconsistency problem"" in political economy.",4.148230,9,,,False
false_positive_top10,rarity_mean,topic_4,91,68,,"**Historical Applications:** The ECB implemented TLTROs extensively from 2014 to 2019, providing hundreds of billions in cheap funding to Eurozone banks, conditioned on their lending to the non-financial private sector.",4.130884,10,,,False
false_positive_top10,rarity_mean,topic_5,111,98,,"**In Situ Imaging (B-Cam, Megacamera, or Camera Traps):**",4.718879,1,,,False
false_positive_top10,rarity_mean,topic_5,111,98,,"**Plankton Net Tows (Bongo Nets, MOCNESS, or Multinet):**",4.547400,2,,,False
false_positive_top10,rarity_mean,topic_5,111,96,,"**Excited State Formation:** The intermediate decomposes, releasing carbon dioxide ($CO_2$) and leaving the product (oxyluciferin) in an electronically excited state ($OxL^*$).",4.522653,3,,,False
false_positive_top10,rarity_mean,topic_5,111,98,,**ROV (Remotely Operated Vehicle) Deployment and Manipulation:**,4.460068,4,,,False
false_positive_top10,rarity_mean,topic_5,111,96,,Their bioluminescence is controlled by luciferin-binding proteins (LBP) that regulate pH-dependent activation in specialized organelles called scintillons.,4.416187,5,,,False
false_positive_top10,rarity_mean,topic_5,111,108,,"It is commonly recorded in the Atlantic Ocean (particularly off the coasts of Africa and South America), the Pacific Ocean (from Japan to the Americas), and the Indian Ocean.",4.316703,6,,,False
false_positive_top10,rarity_mean,topic_5,111,92,,"For instance, their ATPases and ion pumps are structurally modified to operate efficiently in high-pressure environments.",4.267914,7,,,False
false_positive_top10,rarity_mean,topic_5,111,98,,"**What it Captures:** ROVs provide high-resolution, in situ visual documentation of the benthic landscape, sessile organisms (corals, sponges), and mobile megafauna.",4.234900,8,,,False
false_positive_top10,rarity_mean,topic_5,111,98,,"**Behavioral and Avoidance Bias:** ROVs and nets can disturb or scare away mobile organisms, leading to underestimation of certain species' densities.",4.179451,9,,,False
false_positive_top10,rarity_mean,topic_5,111,96,,"**Bacteria:** Marine bacteria (e.g., *Vibrio fischeri*) use a bacterial luciferase system involving flavin mononucleotide (FMNH2), oxygen, and a long-chain aldehyde.",4.151413,10,,,False
false_positive_top10,rarity_max,topic_2,31,4,,"**The ""L"" Designation Ensures Low-Temperature Toughness:** The ""L"" signifies low-temperature toughness, guaranteeing impact resistance at temperatures as low as -20°C or -50°C (depending on the specific sub-grade and testing standards, EN 10025-2:2004).",5.102643,4,,,False
false_positive_top10,rarity_max,topic_2,31,5,,Dr. Bekova’s team must model dynamic damping requirements and long-term material degradation of the cable bundles. (,5.102643,8,,,False
false_positive_top10,rarity_max,topic_2,31,6,,"**Critical Flutter Speed Parameters:** For a cable-stayed bridge, the reduced frequency parameter ($k = \frac{V}{f B}$, where $V$ is wind speed, $f$ is natural frequency, and $B$ is deck width) remains higher due to the high structural frequencies.",5.102643,9,,,False
false_positive_top10,rarity_max,topic_2,31,6,,"**Vortex Shedding and Vibration Suppression:** Cable-stayed decks with open trusses experience vortex shedding at lower Strouhal numbers due to the bluff body nature of the truss elements, but the high damping of the cable-stayed system often mitigates amplitude.",5.102643,10,,,False
false_positive_top10,rarity_max,topic_2,31,6,,Designers target a flutter critical speed ($V_{cr}$) typically 1.3 to 1.5 times the maximum expected wind speed.,5.102643,11,,,False
false_positive_top10,rarity_max,topic_2,31,7,,"Simultaneously, wind loads are modeled using stochastic methods, such as the Davenport spectrum, to generate time-history wind data that captures turbulence intensity, gust factors, and aerodynamic forces (drag, lift, and moment) on the deck and pylons. (",5.102643,13,,,False
false_positive_top10,rarity_max,topic_2,31,7,,"This involves simulating vehicular traffic at various speeds to calculate the dynamic amplification factor (DAF) or impact factor, which accounts for the vibration induced by the moving mass.",5.102643,14,,,False
false_positive_top10,rarity_max,topic_2,31,7,,"This step identifies critical modes, particularly the lower-order symmetric and antisymmetric vertical bending modes, torsional modes, and cable-participating modes.",5.102643,15,,,False
false_positive_top10,rarity_max,topic_2,31,8,,**Advanced Phase (Years 26–50):** Annual inspections with 100% UT testing of all cables every 10 years.,5.102643,17,,,False
false_positive_top10,rarity_max,topic_2,31,8,,**Initial Phase (Years 0–5):** Annual visual inspections of anchorage areas and protective sheaths.,5.102643,18,,,False
false_positive_top10,rarity_max,topic_3,61,31,,"**The Neapolitan Court and Aragonese Influence:** In Naples, patronage was driven by the Aragonese kings, particularly Alfonso II and Frederick.",5.102643,1,,,False
false_positive_top10,rarity_max,topic_3,61,31,,"**The Papacy and the Rebuilding of Rome (c. 1492–1510):** With the accession of Pope Alexander VI (1492) and especially Pope Julius II (1503), patronage became a tool for asserting papal authority and reviving the glory of Imperial Rome.",5.102643,2,,,False
false_positive_top10,rarity_max,topic_3,61,31,,"**The Professionalization of the Artist and Contractual Agreements:** Between 1450 and 1510, the patron-artist relationship became increasingly formalized through detailed contracts.",5.102643,3,,,False
false_positive_top10,rarity_max,topic_3,61,31,,"**The Role of Private Devotion and Funerary Commemorations:** Throughout central Italy, individual patrons commissioned works for private chapels, monasteries, and family tombs.",5.102643,4,,,False
false_positive_top10,rarity_max,topic_3,61,31,,"Patrons like Isabella d'Este (though in Mantua, influential to the central Italian network) and the Pope negotiated directly with masters like Leonardo da Vinci and Michelangelo, acknowledging their unique genius.",5.102643,5,,,False
false_positive_top10,rarity_max,topic_3,61,31,,"Patrons such as Cosimo de' Medici and the Guild of Calimala commissioned works that blended Christian theology with classical philosophy, resulting in altarpieces and frescoes that emphasized naturalism, perspective, and human emotion.",5.102643,6,,,False
false_positive_top10,rarity_max,topic_3,61,31,,"The patron-artist relationship here was often hierarchical and demanding; Julius II treated artists as craftsmen serving the Church’s divine and political mission, resulting in works characterized by grandeur, muscular dynamism, and a focus on the resurrection and divine authority. (",5.102643,7,,,False
false_positive_top10,rarity_max,topic_3,61,31,,"This period saw the rise of the ""devotio moderna"" influence, leading to more intimate and emotionally resonant religious works, such as Ghirlandaio’s frescoes in the Sassetti Chapel, which included realistic portraits of the patrons themselves among the biblical figures. (",5.102643,8,,,False
false_positive_top10,rarity_max,topic_3,61,31,,"This relationship allowed artists like Paolo Uccello, Fra Angelico, and Domenico Ghirlandaio to experiment with new techniques while adhering to specific iconographic programs dictated by the patrons' social and political agendas. (",5.102643,9,,,False
false_positive_top10,rarity_max,topic_3,61,31,,"Unlike the republican ideals of Florence or the theocratic power of Rome, Neapolitan patronage focused on courtly elegance, classical antiquity, and secular themes.",5.102643,10,,,False
false_positive_top10,rarity_max,topic_4,91,61,,"**Adaptations for the Zero Lower Bound (ZLB) and Post-2008 Era:** Following the Global Financial Crisis (GFR), central banks in the US, Europe, and Japan hit the Zero Lower Bound on nominal interest rates.",5.102643,1,,,False
false_positive_top10,rarity_max,topic_4,91,61,,"**Original Formulation (1993):** John B. Taylor introduced the rule in his paper ""Discretion Versus Policy Rules in Practice.""",5.102643,4,,,False
false_positive_top10,rarity_max,topic_4,91,61,,"The original parameters were chosen because they closely matched the Fed's actions from 1972 to 1993, suggesting that even without explicitly adopting the rule, the Fed had been acting in a manner consistent with it.",5.102643,7,,,False
false_positive_top10,rarity_max,topic_4,91,62,,"**The Great Moderation and the ""Divine Coincidence"" (1990s – 2007):** During this era, structural changes in the economy (globalization, disinflation, flexible labor markets) and improved Fed policy credibility led to a period where the dual mandate tensions were minimized.",5.102643,10,,,False
false_positive_top10,rarity_max,topic_4,91,62,,**The Post-Pandemic Inflation Surge (2021 – Present):** The most recent period has reintroduced intense dual-mandate tension.,5.102643,12,,,False
false_positive_top10,rarity_max,topic_4,91,62,,"By anchoring inflation expectations around the 2% target, the Fed could focus on stabilizing output and employment without triggering immediate inflationary spirals.",5.102643,13,,,False
false_positive_top10,rarity_max,topic_4,91,62,,"Fed Chairman Paul Volcker prioritized the ""stable prices"" mandate aggressively, raising the federal funds rate to nearly 20%.",5.102643,14,,,False
false_positive_top10,rarity_max,topic_4,91,62,,"Historically, this tension was conceptualized through the Phillips Curve, which suggested an inverse relationship between unemployment and inflation.",5.102643,15,,,False
false_positive_top10,rarity_max,topic_4,91,62,,"In the late 1970s, the US experienced stagflation, where high unemployment coexisted with high inflation, breaking the traditional Phillips Curve trade-off due to supply shocks (e.g., oil crises) and anchored expectations.",5.102643,16,,,False
false_positive_top10,rarity_max,topic_4,91,62,,"The Fed faced a dilemma: acting aggressively to curb inflation could crush employment and trigger a recession, while acting slowly could allow inflation expectations to de-anchor.",5.102643,17,,,False
false_positive_top10,rarity_max,topic_5,111,91,,"**Bathypelagic Zone (Midnight Zone, 1,000–4,000 meters):** This zone is in perpetual darkness, subjected to high hydrostatic pressure (up to 400 atmospheres) and near-freezing temperatures.",5.102643,1,,,False
false_positive_top10,rarity_max,topic_5,111,91,,"**Mesopelagic Zone (Twilight Zone, 200–1,000 meters):** This zone is characterized by extremely low light levels, receiving only 1% to 0.1% of surface sunlight.",5.102643,2,,,False
false_positive_top10,rarity_max,topic_5,111,91,,"Finally, understanding the physiological limits of organisms in these zones contributes to astrobiology, offering analogs for potential life on icy moons like Europa or Enceladus. (",5.102643,3,,,False
false_positive_top10,rarity_max,topic_5,111,91,,"First, they represent the largest habitat on Earth by volume, yet remain largely unexplored.",5.102643,4,,,False
false_positive_top10,rarity_max,topic_5,111,91,,"It is densely populated by organisms that practice diel vertical migration (DVM), moving up to the epipelagic zone at night to feed and descending to the safety of the dark during the day.",5.102643,5,,,False
false_positive_top10,rarity_max,topic_5,111,91,,"Key inhabitants include myctophids (lanternfish), stomiiformes (barbeled dragonfish), siphonophores, and large gelatinous predators like the Atolla jellyfish.",5.102643,6,,,False
false_positive_top10,rarity_max,topic_5,111,91,,"Second, they play a major role in global biogeochemical cycles, particularly the biological carbon pump, where carbon is transported from the surface to the deep ocean.",5.102643,7,,,False
false_positive_top10,rarity_max,topic_5,111,91,,"Third, they harbor unique biodiversity, including many endemic species, making them important for conservation biology.",5.102643,8,,,False
false_positive_top10,rarity_max,topic_5,111,92,,"**Low-Light Vision and Photoreceptor Adaptation:** In this zone, where sunlight is reduced to 0.1% or less, visual systems are highly specialized.",5.102643,9,,,False
false_positive_top10,rarity_max,topic_5,111,92,,"**Metabolic Rate Reduction and Energy Conservation:** Due to the scarcity of food (oligotrophy), organisms in this zone exhibit significantly lower standard metabolic rates (SMR) compared to surface dwellers.",5.102643,10,,,False
false_positive_top10,rarity_sum_per_word,topic_2,31,4,,Tensile Strength: 620–780 MPa,5.029330,1,,,False
false_positive_top10,rarity_sum_per_word,topic_2,31,20,,**EN 1997 (Geotechnical Design):** Governs the foundation design parameters previously discussed.,3.585739,2,,,False
false_positive_top10,rarity_sum_per_word,topic_2,31,10,,"The total dry film thickness (DFT) should range between 350–450 microns, providing a barrier against chloride ion penetration from salt spray. (",3.577686,3,,,False
false_positive_top10,rarity_sum_per_word,topic_2,31,24,,"**Welding Procedure Qualification (Quality Assurance):** Before any production welding begins, all Welding Procedure Specifications (WPS) must be qualified through Procedure Qualification Records (PQR) according to relevant codes (e.g., AWS D1.5 or EN 1090).",3.525754,4,,,False
false_positive_top10,rarity_sum_per_word,topic_2,31,20,,**ISO 15630:** Welding consumables for high-tensile strength steels.,3.508374,5,,,False
false_positive_top10,rarity_sum_per_word,topic_2,31,17,,204 kips) axle rating significantly surpasses the AASHTO Design Truck axles.,3.488705,6,,,False
false_positive_top10,rarity_sum_per_word,topic_2,31,8,,**Advanced Phase (Years 26–50):** Annual inspections with 100% UT testing of all cables every 10 years.,3.417993,7,,,False
false_positive_top10,rarity_sum_per_word,topic_2,31,14,,**Spherical Bearings:** Spherical bearings utilize a concave stainless steel or PTFE spherical surface that rotates within a corresponding spherical seat.,3.361615,8,,,False
false_positive_top10,rarity_sum_per_word,topic_2,31,10,,"This removes mill scale, rust, and contaminants, creating a defined surface profile (typically 50–75 microns) essential for coating adhesion.",3.292709,9,,,False
false_positive_top10,rarity_sum_per_word,topic_2,31,11,,**Three Highest-Risk Construction Phases:**,3.284318,10,,,False
false_positive_top10,rarity_sum_per_word,topic_3,61,40,,**Origins and Early Development (Late 14th – Mid-15th Century):**,4.266670,1,,,False
false_positive_top10,rarity_sum_per_word,topic_3,61,41,,Sixtus IV summoned Giovanni de’ Dolci (Betti) as the initial architect.,3.698368,2,,,False
false_positive_top10,rarity_sum_per_word,topic_3,61,40,,**Maturity and Perspective Integration (1475–1500):**,3.565687,3,,,False
false_positive_top10,rarity_sum_per_word,topic_3,61,40,,**High Renaissance Synthesis and Atmospheric Unity (1500–1510):**,3.474427,4,,,False
false_positive_top10,rarity_sum_per_word,topic_3,61,43,,"**Early Century (1400–1430):** Patrons, including major religious orders and wealthy guilds, preferred traditional gold-leaf backgrounds.",3.470370,5,,,False
false_positive_top10,rarity_sum_per_word,topic_3,61,37,,"Common 15th-century pigments include ochres (earth tones), azurite (blue), verdigris (green), and red lead.",3.354710,6,,,False
false_positive_top10,rarity_sum_per_word,topic_3,61,40,,"The *sacra conversazione* (holy conversation) format originated in the mid-15th century, evolving from earlier devotional triptychs and polyptychs.",3.339367,7,,,False
false_positive_top10,rarity_sum_per_word,topic_3,61,42,,**Workshop and Collaborative Attribution:** Renaissance art production often involved master assistants.,3.329823,8,,,False
false_positive_top10,rarity_sum_per_word,topic_3,61,40,,**Compositional Evolution: From Linear to Spatial Unity (1450–1475):**,3.319669,9,,,False
false_positive_top10,rarity_sum_per_word,topic_3,61,52,,"**Pigment Identification:** SEM-EDS identifies elemental composition (e.g., presence of lead, copper, mercury), while Raman Spectroscopy identifies molecular structures.",3.304987,10,,,False
false_positive_top10,rarity_sum_per_word,topic_4,91,78,,"**Weimar Germany (1921–1923):** Triggered by war reparations and fiscal deficits, the Reichsmark lost value exponentially.",3.815589,1,,,False
false_positive_top10,rarity_sum_per_word,topic_4,91,78,,"**Hungary (1945–1946):** The most extreme recorded case, with monthly inflation rates exceeding 40 billion percent.",3.797546,2,,,False
false_positive_top10,rarity_sum_per_word,topic_4,91,68,,"**Historical Applications:** The Danish National Bank (2012), BOJ (2016), ECB (2014), and Swiss National Bank (SNB, 2014) implemented NIRP.",3.794309,3,,,False
false_positive_top10,rarity_sum_per_word,topic_4,91,67,,"**Empirical Evidence (1950s–1990s):** Seminal studies by economists like Alder, Brender, and Wallace (1999) and Grilli, Masciandaro, and Tabellini (1991) analyzed data from OECD countries.",3.578010,4,,,False
false_positive_top10,rarity_sum_per_word,topic_4,91,71,,"**Core Claim: Deficits and Debt:** Consequently, MMT reinterprets government deficits.",3.518697,5,,,False
false_positive_top10,rarity_sum_per_word,topic_4,91,78,,"**Venezuela (2016–Present):** A modern case of ""resource curse"" hyperinflation.",3.512741,6,,,False
false_positive_top10,rarity_sum_per_word,topic_4,91,68,,**Yield Curve Control (YCC):**,3.255098,7,,,False
false_positive_top10,rarity_sum_per_word,topic_4,91,63,,"**Portfolio Rebalancing (Tobin’s Q):** As safe asset yields (like Treasury bills) drop, investors seek higher returns in riskier assets (stocks, corporate bonds, real estate).",3.249968,8,,,False
false_positive_top10,rarity_sum_per_word,topic_4,91,81,,"**The Traditional Multiplier Model (Pre-2008 Scarcity Regime):** Historically, most advanced economies operated under a ""reserve scarcity"" regime.",3.198902,9,,,False
false_positive_top10,rarity_sum_per_word,topic_4,91,71,,**Criticism: Neglect of International Finance and Exchange Rates:** Another major criticism concerns open economies.,3.198686,10,,,False
false_positive_top10,rarity_sum_per_word,topic_5,111,98,,"**Plankton Net Tows (Bongo Nets, MOCNESS, or Multinet):**",3.978975,1,,,False
false_positive_top10,rarity_sum_per_word,topic_5,111,99,,**Crustacean Zooplankton Trophic Strategies:**,3.953863,2,,,False
false_positive_top10,rarity_sum_per_word,topic_5,111,98,,**ROV (Remotely Operated Vehicle) Deployment and Manipulation:**,3.822915,3,,,False
false_positive_top10,rarity_sum_per_word,topic_5,111,91,,"Key inhabitants include myctophids (lanternfish), stomiiformes (barbeled dragonfish), siphonophores, and large gelatinous predators like the Atolla jellyfish.",3.405168,4,,,False
false_positive_top10,rarity_sum_per_word,topic_5,111,94,,"First, zooplankton grazing on phytoplankton produces dense, fast-sinking fecal pellets.",3.366321,5,,,False
false_positive_top10,rarity_sum_per_word,topic_5,111,93,,Active pursuit is only viable where prey aggregations (like DVM fronts) provide sufficient caloric intake.,3.337577,6,,,False
false_positive_top10,rarity_sum_per_word,topic_5,111,96,,**Firefly/Flavoprotein Systems:** Terrestrial organisms like fireflies use a completely different luciferin (firefly luciferin) and a distinct luciferase enzyme.,3.332707,7,,,False
false_positive_top10,rarity_sum_per_word,topic_5,111,96,,"**Evolutionary Origins and Convergent Evolution:** Bioluminescence is a striking example of convergent evolution, having arisen independently at least 40–50 times across different lineages.",3.332426,8,,,False
false_positive_top10,rarity_sum_per_word,topic_5,111,93,,"**Strategy:** Anglerfish (e.g., ceratioid anglerfish) and viperfish use bioluminescent lures (esca) attached to modified dorsal spines (illicium) to attract prey.",3.287237,10,,,False
false_positive_top10,rarity_sum_per_word,topic_5,111,99,,"Crustaceans facilitate the ""active"" biological pump through DVM, physically transporting carbon.",3.244898,12,,,False
