query_id,query_class,required_domains,required_fact_ids,C0,T1,packed_recall_delta,direction
h121_l11,lookup,"[""marine""]","[""f121_marine_luciferin_luciferase""]","{""delivered_chars"": 31872, ""matched_fact_count"": 1, ""matched_fact_ids"": [""f121_marine_luciferin_luciferase""], ""packed_recall"": 1.0, ""payload_sha256"": ""8d88e5ad0f63c83a66416c14f8f77b3a28aaf4c257195c38dd20220a57370375"", ""required_fact_count"": 1, ""selected_unique_source_count"": 10, ""selected_unit_count"": 10}","{""delivered_chars"": 31930, ""matched_fact_count"": 1, ""matched_fact_ids"": [""f121_marine_luciferin_luciferase""], ""packed_recall"": 1.0, ""payload_sha256"": ""09e64146d75528077ac2c1db959db5edec526196c7cc2a028a90ee4454034571"", ""required_fact_count"": 1, ""selected_unique_source_count"": 5, ""selected_unit_count"": 92}",0.0,TIE
h121_l12,lookup,"[""marine""]","[""f121_marine_diel_migration""]","{""delivered_chars"": 30825, ""matched_fact_count"": 1, ""matched_fact_ids"": [""f121_marine_diel_migration""], ""packed_recall"": 1.0, ""payload_sha256"": ""e199021ce001d4dd91e7e91ae3151f66aff94fb9bf62bef0d49b24566ed4fd10"", ""required_fact_count"": 1, ""selected_unique_source_count"": 10, ""selected_unit_count"": 10}","{""delivered_chars"": 31949, ""matched_fact_count"": 1, ""matched_fact_ids"": [""f121_marine_diel_migration""], ""packed_recall"": 1.0, ""payload_sha256"": ""96381a8c62b56fe5e3078f2ceaaea5c294a181fcf578df9942649f77e01ae0ad"", ""required_fact_count"": 1, ""selected_unique_source_count"": 4, ""selected_unit_count"": 93}",0.0,TIE
h121_c01,chained,"[""structural""]","[""f121_structural_service_life"", ""f121_structural_dehumidification""]","{""delivered_chars"": 31450, ""matched_fact_count"": 0, ""matched_fact_ids"": [], ""packed_recall"": 0.0, ""payload_sha256"": ""73db24a183459d86ef053ce5699bedc1863bc37b03b91b7c77c512b263dbd69a"", ""required_fact_count"": 2, ""selected_unique_source_count"": 10, ""selected_unit_count"": 10}","{""delivered_chars"": 31831, ""matched_fact_count"": 0, ""matched_fact_ids"": [], ""packed_recall"": 0.0, ""payload_sha256"": ""ca7e88fc6433525d8b09d6b5431796730bf214fd135c47c45b604b2b2233147f"", ""required_fact_count"": 2, ""selected_unique_source_count"": 5, ""selected_unit_count"": 92}",0.0,TIE
h121_c02,chained,"[""art""]","[""f121_art_lapis_ultramarine"", ""f121_art_intonaco""]","{""delivered_chars"": 31483, ""matched_fact_count"": 1, ""matched_fact_ids"": [""f121_art_lapis_ultramarine""], ""packed_recall"": 0.5, ""payload_sha256"": ""bd1b56f30c6a707d4a60c25a468148ff9581e12e18d7d7097e1cf1f262dae6b2"", ""required_fact_count"": 2, ""selected_unique_source_count"": 8, ""selected_unit_count"": 8}","{""delivered_chars"": 31904, ""matched_fact_count"": 1, ""matched_fact_ids"": [""f121_art_lapis_ultramarine""], ""packed_recall"": 0.5, ""payload_sha256"": ""1ce6f356af124a5cd5b4af06e4a8c4a3f83e90dcba2bf52deab49bfe9e521d7c"", ""required_fact_count"": 2, ""selected_unique_source_count"": 4, ""selected_unit_count"": 86}",0.0,TIE
h121_c03,chained,"[""monetary""]","[""f121_monetary_near_zero"", ""f121_monetary_great_moderation""]","{""delivered_chars"": 31793, ""matched_fact_count"": 1, ""matched_fact_ids"": [""f121_monetary_near_zero""], ""packed_recall"": 0.5, ""payload_sha256"": ""4a9cfbe43adc34be08c312353e60a1deb4ad8cc8164f3c275cc3813b5c8d8bfc"", ""required_fact_count"": 2, ""selected_unique_source_count"": 9, ""selected_unit_count"": 9}","{""delivered_chars"": 31856, ""matched_fact_count"": 1, ""matched_fact_ids"": [""f121_monetary_near_zero""], ""packed_recall"": 0.5, ""payload_sha256"": ""c0665501a33cbde8d6a279c66d9cb319d83602b6dd57f26e93c4db3cf06c3896"", ""required_fact_count"": 2, ""selected_unique_source_count"": 3, ""selected_unit_count"": 88}",0.0,TIE
h121_c04,chained,"[""marine""]","[""f121_marine_diel_migration"", ""f121_marine_plankton_nets""]","{""delivered_chars"": 31775, ""matched_fact_count"": 2, ""matched_fact_ids"": [""f121_marine_diel_migration"", ""f121_marine_plankton_nets""], ""packed_recall"": 1.0, ""payload_sha256"": ""536fafe9d1a5256ced05f63648ec1424fceba7a62bb3d95f501711607c875d44"", ""required_fact_count"": 2, ""selected_unique_source_count"": 9, ""selected_unit_count"": 9}","{""delivered_chars"": 31928, ""matched_fact_count"": 1, ""matched_fact_ids"": [""f121_marine_plankton_nets""], ""packed_recall"": 0.5, ""payload_sha256"": ""0b402dc1b48d4107830f5b73a6e20fbecfe35a3017266a2ae1df2251d87b76ed"", ""required_fact_count"": 2, ""selected_unique_source_count"": 3, ""selected_unit_count"": 95}",-0.5,LOSS
h121_c05,chained,"[""art"", ""marine""]","[""f121_art_infrared_reflectography"", ""f121_marine_in_situ_imaging""]","{""delivered_chars"": 31896, ""matched_fact_count"": 2, ""matched_fact_ids"": [""f121_art_infrared_reflectography"", ""f121_marine_in_situ_imaging""], ""packed_recall"": 1.0, ""payload_sha256"": ""4ad41225f32a560926755e58886fc45a6fb6a8ccfc5d454f3a58aee891404d9c"", ""required_fact_count"": 2, ""selected_unique_source_count"": 8, ""selected_unit_count"": 8}","{""delivered_chars"": 32000, ""matched_fact_count"": 2, ""matched_fact_ids"": [""f121_art_infrared_reflectography"", ""f121_marine_in_situ_imaging""], ""packed_recall"": 1.0, ""payload_sha256"": ""fd2637dacff6d9eca55cae7f6c081e96384b7a9954c036712d4b012d6ee0ccce"", ""required_fact_count"": 2, ""selected_unique_source_count"": 3, ""selected_unit_count"": 91}",0.0,TIE
h121_c06,chained,"[""structural"", ""monetary""]","[""f121_structural_spherical_bearings"", ""f121_monetary_price_level_target""]","{""delivered_chars"": 31798, ""matched_fact_count"": 1, ""matched_fact_ids"": [""f121_structural_spherical_bearings""], ""packed_recall"": 0.5, ""payload_sha256"": ""365c401727eee8a747cdd05a9eb85ccf02376d0b79bbec685677d8145722adc1"", ""required_fact_count"": 2, ""selected_unique_source_count"": 8, ""selected_unit_count"": 8}","{""delivered_chars"": 31974, ""matched_fact_count"": 1, ""matched_fact_ids"": [""f121_structural_spherical_bearings""], ""packed_recall"": 0.5, ""payload_sha256"": ""d231067c500cce183684079a6ac57b8c7f12334809d7e3d82202287bd9c43837"", ""required_fact_count"": 2, ""selected_unique_source_count"": 4, ""selected_unit_count"": 87}",0.0,TIE
h121_c07,chained,"[""art"", ""monetary""]","[""f121_art_sacra_conversazione"", ""f121_monetary_fiscal_price_level""]","{""delivered_chars"": 31130, ""matched_fact_count"": 0, ""matched_fact_ids"": [], ""packed_recall"": 0.0, ""payload_sha256"": ""6bdede2ed21446eeda05c0fc7e67b9d744bb28ac98530a2ca5e08d281581ac38"", ""required_fact_count"": 2, ""selected_unique_source_count"": 10, ""selected_unit_count"": 10}","{""delivered_chars"": 31970, ""matched_fact_count"": 0, ""matched_fact_ids"": [], ""packed_recall"": 0.0, ""payload_sha256"": ""0e92a690087f64dac20ebc0b22343619faed30d507d11571131e3e983d256b98"", ""required_fact_count"": 2, ""selected_unique_source_count"": 4, ""selected_unit_count"": 86}",0.0,TIE
h121_c08,chained,"[""structural"", ""marine""]","[""f121_structural_wind_tunnel"", ""f121_marine_rov""]","{""delivered_chars"": 31260, ""matched_fact_count"": 2, ""matched_fact_ids"": [""f121_structural_wind_tunnel"", ""f121_marine_rov""], ""packed_recall"": 1.0, ""payload_sha256"": ""4e81ac476b49af8a96b316652b1122940d01e40698dee8595506f687fccf5767"", ""required_fact_count"": 2, ""selected_unique_source_count"": 10, ""selected_unit_count"": 10}","{""delivered_chars"": 31937, ""matched_fact_count"": 2, ""matched_fact_ids"": [""f121_structural_wind_tunnel"", ""f121_marine_rov""], ""packed_recall"": 1.0, ""payload_sha256"": ""62cb5d444c991f57621013508acfb06615439cdcfd954cc573bad8bda86ca71f"", ""required_fact_count"": 2, ""selected_unique_source_count"": 3, ""selected_unit_count"": 95}",0.0,TIE
h121_e01,enumeration,"[""structural"", ""art"", ""monetary"", ""marine""]","[""f121_structural_dehumidification"", ""f121_art_infrared_reflectography"", ""f121_monetary_open_market_operations"", ""f121_marine_diel_migration""]","{""delivered_chars"": 31432, ""matched_fact_count"": 0, ""matched_fact_ids"": [], ""packed_recall"": 0.0, ""payload_sha256"": ""b8b513e0197cf27383463a585a7fceae9383dad7d8f2519364ff288cf88d4609"", ""required_fact_count"": 4, ""selected_unique_source_count"": 10, ""selected_unit_count"": 10}","{""delivered_chars"": 31980, ""matched_fact_count"": 0, ""matched_fact_ids"": [], ""packed_recall"": 0.0, ""payload_sha256"": ""9ac9a584c0d8848e718bac815f5cb86683618194713c5b255cdb81f6dd1d30b7"", ""required_fact_count"": 4, ""selected_unique_source_count"": 5, ""selected_unit_count"": 90}",0.0,TIE
h121_e02,enumeration,"[""structural"", ""art"", ""monetary"", ""marine""]","[""f121_structural_service_life"", ""f121_art_date_span"", ""f121_monetary_gfc_2008"", ""f121_marine_oxygen_minimum""]","{""delivered_chars"": 31028, ""matched_fact_count"": 0, ""matched_fact_ids"": [], ""packed_recall"": 0.0, ""payload_sha256"": ""0b5a9fa79e7500fcf25bc07696a24e2ff2d9dfefcd716d325eef9c6eee1a9a2e"", ""required_fact_count"": 4, ""selected_unique_source_count"": 10, ""selected_unit_count"": 10}","{""delivered_chars"": 31990, ""matched_fact_count"": 0, ""matched_fact_ids"": [], ""packed_recall"": 0.0, ""payload_sha256"": ""1a463a33da36bf737cdb65a2e0be0f5465b4bb3da10a48a31490445cd5226f45"", ""required_fact_count"": 4, ""selected_unique_source_count"": 4, ""selected_unit_count"": 90}",0.0,TIE
h121_e03,enumeration,"[""structural"", ""art"", ""monetary"", ""marine""]","[""f121_structural_orthotropic_deck"", ""f121_art_gold_leaf"", ""f121_monetary_quantitative_easing"", ""f121_marine_gelatinous_zooplankton""]","{""delivered_chars"": 30457, ""matched_fact_count"": 0, ""matched_fact_ids"": [], ""packed_recall"": 0.0, ""payload_sha256"": ""f9d7cfa7016a58180f50f34325b26f8d4d7a7c33e72af98713a9b19ff340802e"", ""required_fact_count"": 4, ""selected_unique_source_count"": 10, ""selected_unit_count"": 10}","{""delivered_chars"": 31922, ""matched_fact_count"": 0, ""matched_fact_ids"": [], ""packed_recall"": 0.0, ""payload_sha256"": ""29dd4f0a22bc9871c8b186505d6da9ff3f22f4162b8970133e4d6468f289ffdd"", ""required_fact_count"": 4, ""selected_unique_source_count"": 5, ""selected_unit_count"": 93}",0.0,TIE
h121_e04,enumeration,"[""structural"", ""art"", ""monetary"", ""marine""]","[""f121_structural_wind_tunnel"", ""f121_art_xray_radiography"", ""f121_monetary_stress_testing"", ""f121_marine_rov""]","{""delivered_chars"": 31229, ""matched_fact_count"": 1, ""matched_fact_ids"": [""f121_structural_wind_tunnel""], ""packed_recall"": 0.25, ""payload_sha256"": ""0219f85204abdeea5ce943fc3faef86119ecba9e85eed6ba6a237bb920919e25"", ""required_fact_count"": 4, ""selected_unique_source_count"": 10, ""selected_unit_count"": 10}","{""delivered_chars"": 31948, ""matched_fact_count"": 1, ""matched_fact_ids"": [""f121_structural_wind_tunnel""], ""packed_recall"": 0.25, ""payload_sha256"": ""2430d25194b4c919ec1813e4c573b7237e71f189fbbb2ba285b14e53e842b436"", ""required_fact_count"": 4, ""selected_unique_source_count"": 5, ""selected_unit_count"": 91}",0.0,TIE
