query_id,query_class,required_domains,required_fact_ids,C0,T1,packed_recall_delta,direction
h121_l11,lookup,"[""marine""]","[""f121_marine_luciferin_luciferase""]","{""candidate_count"":15,""candidate_facts"":1,""candidate_recall"":1.0,""candidate_sha256"":""8375dea50c0837ab21dc95e3cf65b88d7782e2aa7f4d18b99303fa4ea1e6832b"",""delivered_chars"":30825,""packed_facts"":1,""packed_recall"":1.0,""payload_sha256"":""157ae317a3c64ad534dd07aa9cf5811abb541723135901441de0d5cbbbdacb97"",""required_facts"":1,""selected_count"":11,""selected_sha256"":""b921ef51994ccafc7d747fbeb3797e712c94b27bb464622af745b033fc11ea4c""}","{""candidate_count"":15,""candidate_facts"":1,""candidate_recall"":1.0,""candidate_sha256"":""6fd0c21649db2361de89f1b0f558bcfa39bbcf31b34a5334ed3646a5041f3b4b"",""delivered_chars"":30553,""packed_facts"":1,""packed_recall"":1.0,""payload_sha256"":""9d4286a5a1cd52f120cec12b9b2bcb396d79eb0a5db0e5c8f6cd1ce44fd58dbe"",""required_facts"":1,""selected_count"":10,""selected_sha256"":""36aff57c6a2ee57b69857940efa3d1b40025dbc4f8314e6b5fd1040a280257ed""}",0.0,TIE
h121_l12,lookup,"[""marine""]","[""f121_marine_diel_migration""]","{""candidate_count"":15,""candidate_facts"":1,""candidate_recall"":1.0,""candidate_sha256"":""bd57f796b1a86cf1b1b82e6706a67a8b54e079966dd2cd1d8f124763368a9f50"",""delivered_chars"":31887,""packed_facts"":1,""packed_recall"":1.0,""payload_sha256"":""3989ff86bee78824b36e0edced33652941158721c435a416cd2265a9622b69fd"",""required_facts"":1,""selected_count"":9,""selected_sha256"":""41c5d7aab53817fc38999dac4866ed56928e640cf7c4e024b987fcee495f5a96""}","{""candidate_count"":15,""candidate_facts"":1,""candidate_recall"":1.0,""candidate_sha256"":""481c9f9825ad1612a11e5334023aed07294f2da23a946ef3a2bcc81c056f8f1d"",""delivered_chars"":31591,""packed_facts"":1,""packed_recall"":1.0,""payload_sha256"":""e7af86f0234f8d682f5fcefddc06528e91fd12eafa385c53eaa2216bc810bc49"",""required_facts"":1,""selected_count"":7,""selected_sha256"":""96fd16b4e66653497ce91a068e8c2de993d133b8e71fa6cdab54bb21243298ed""}",0.0,TIE
h121_c01,chained,"[""structural""]","[""f121_structural_service_life"",""f121_structural_dehumidification""]","{""candidate_count"":15,""candidate_facts"":2,""candidate_recall"":1.0,""candidate_sha256"":""48bec2ff501f23f52ac6404cf46a6ad5a5f731c90bd8f68d83874cf6ca50c7c7"",""delivered_chars"":28967,""packed_facts"":2,""packed_recall"":1.0,""payload_sha256"":""f62b630c47a7132bbeebcd9b09ab1314d07dda01b9b07095f1a1eeffe03301e1"",""required_facts"":2,""selected_count"":13,""selected_sha256"":""97935f289e3b109d5355b3561ffd5a79b91cdb83c7541e4338cefa8bc882490b""}","{""candidate_count"":15,""candidate_facts"":2,""candidate_recall"":1.0,""candidate_sha256"":""23c83a17fbfbca30c0316ca47a6889016c29fe69a785bf0f23e9c0b6e804752c"",""delivered_chars"":30890,""packed_facts"":2,""packed_recall"":1.0,""payload_sha256"":""04f66133a1b950e38c2e40d02b633d9f2095a872dd012dee8691ef4aaa563159"",""required_facts"":2,""selected_count"":13,""selected_sha256"":""144260b38c7839b707fa6194ee821751d39be244290d460dea9e809f9f2a20a1""}",0.0,TIE
h121_c02,chained,"[""art""]","[""f121_art_lapis_ultramarine"",""f121_art_intonaco""]","{""candidate_count"":15,""candidate_facts"":2,""candidate_recall"":1.0,""candidate_sha256"":""8b0270bbec20c91b741904b817349e849b2977bb99a10ab798dac084e71360bc"",""delivered_chars"":31093,""packed_facts"":2,""packed_recall"":1.0,""payload_sha256"":""0b7287e62173b268ff2c923c95ad4d29d15878a7440746a227e89f02a901548d"",""required_facts"":2,""selected_count"":9,""selected_sha256"":""6019fda1024f849441e9c98e2e2b9ad2179ebe40e8d6eede0979a7de38fa85ee""}","{""candidate_count"":15,""candidate_facts"":1,""candidate_recall"":0.5,""candidate_sha256"":""b6845ddddbe14a281919c58731670c8bf33ad89237f03bdc79f9644a58dd1056"",""delivered_chars"":31715,""packed_facts"":1,""packed_recall"":0.5,""payload_sha256"":""b96d4c1688adc312ca614fb85fb80faca155876be600188296536afe996f500e"",""required_facts"":2,""selected_count"":9,""selected_sha256"":""8f6c3fd5786fe89734af02fa0aedb8f6834f1ed67f1b9b10840076b847309827""}",-0.5,LOSS
h121_c03,chained,"[""monetary""]","[""f121_monetary_near_zero"",""f121_monetary_great_moderation""]","{""candidate_count"":15,""candidate_facts"":1,""candidate_recall"":0.5,""candidate_sha256"":""e7622aab498b3b148f809bfdec19e4c675741e94546ab04cf70b3caf616fb3f4"",""delivered_chars"":29648,""packed_facts"":0,""packed_recall"":0.0,""payload_sha256"":""be4857ff928b51ab74bd49bd5dfce79f7bec8afd7202fac954d3c3421e16be6c"",""required_facts"":2,""selected_count"":6,""selected_sha256"":""d4c6a6a0d77aad0ba0dea22e28fee1058fdc6d0340cfe5a3c5283831dbe58943""}","{""candidate_count"":15,""candidate_facts"":1,""candidate_recall"":0.5,""candidate_sha256"":""058cb7abd6c66efd437cd245cd0be9bdc3ce1b32fe9f17bb4b2f9cca8b082661"",""delivered_chars"":29413,""packed_facts"":0,""packed_recall"":0.0,""payload_sha256"":""1e5bc39ea1f9912a79eab8d765a4ee851f9eb8899943de5a238d400357ba2515"",""required_facts"":2,""selected_count"":7,""selected_sha256"":""92ed424b2a7af7425672c9e56864f8bb39c78c5e64a6635bd225e3a7c5dfccfa""}",0.0,TIE
h121_c04,chained,"[""marine""]","[""f121_marine_diel_migration"",""f121_marine_plankton_nets""]","{""candidate_count"":15,""candidate_facts"":2,""candidate_recall"":1.0,""candidate_sha256"":""0290688c44ad19107361b532b81b889c8b8f490c90f8d983609d1289f901710f"",""delivered_chars"":29825,""packed_facts"":2,""packed_recall"":1.0,""payload_sha256"":""bf79f7502ca9d094cedbbea0a17ab477d43d9fb68b27b1274ec295ce50285e96"",""required_facts"":2,""selected_count"":7,""selected_sha256"":""ab0fa6d583876fa882414f98fd4c2619c7408dfa10310a2bc689b8790b35273a""}","{""candidate_count"":15,""candidate_facts"":2,""candidate_recall"":1.0,""candidate_sha256"":""ce9c6fb3b7860141baf71b2d7d5be575b172270b5994836e0b69d74a5eced6e8"",""delivered_chars"":30627,""packed_facts"":2,""packed_recall"":1.0,""payload_sha256"":""314d2adceaa204e903b6b20911d69089b97dc5cee66c62835e11300ec7e01928"",""required_facts"":2,""selected_count"":7,""selected_sha256"":""1ac7dcc1b76a04e70ceaa1d144a230fb97aab63bbaf661203f8fdbe549a516c7""}",0.0,TIE
h121_c05,chained,"[""art"",""marine""]","[""f121_art_infrared_reflectography"",""f121_marine_in_situ_imaging""]","{""candidate_count"":15,""candidate_facts"":1,""candidate_recall"":0.5,""candidate_sha256"":""74620492f498de5668fcc9e78ab41fad7629f595f2916c16b9f28d1c94544cba"",""delivered_chars"":31657,""packed_facts"":1,""packed_recall"":0.5,""payload_sha256"":""80b0a5179def7973e6f6fbc14544079365bd4b325cadbae3121871b5dee80eda"",""required_facts"":2,""selected_count"":10,""selected_sha256"":""8e469dbf208b870420e23090a00845036906e65d73a09def5a114bb9e712a11a""}","{""candidate_count"":15,""candidate_facts"":1,""candidate_recall"":0.5,""candidate_sha256"":""d9357db31a7d16b951681dfc917ce65d5c76d4f672422f7a0e2a9e51dacd94ef"",""delivered_chars"":30579,""packed_facts"":1,""packed_recall"":0.5,""payload_sha256"":""704216914f1868aa4071ea646cb13cc0019a3c4465db21042b4b415a4eb1caac"",""required_facts"":2,""selected_count"":7,""selected_sha256"":""38c49a04acb36211ce4fad29fce548fe52f7548cf74831b2d2b00b2f5c8235bb""}",0.0,TIE
h121_c06,chained,"[""structural"",""monetary""]","[""f121_structural_spherical_bearings"",""f121_monetary_price_level_target""]","{""candidate_count"":15,""candidate_facts"":0,""candidate_recall"":0.0,""candidate_sha256"":""f9ff9d990fb45cd6a65aee8a2e4d755916502122558701be1b9856e1eaee7c54"",""delivered_chars"":31549,""packed_facts"":0,""packed_recall"":0.0,""payload_sha256"":""7495e8e6426e5c43e2de844cdc7bac7a237dfa1e588e6ae44b55192e56c8be3a"",""required_facts"":2,""selected_count"":9,""selected_sha256"":""a80c55fbd58c30f71ddb246d8963e5f5e2c58e492a293085330e7c6bcf09559d""}","{""candidate_count"":15,""candidate_facts"":1,""candidate_recall"":0.5,""candidate_sha256"":""6a1b05fa0587237a388d57e7afd34ec90979a253bdec0847f728c6823152d295"",""delivered_chars"":31472,""packed_facts"":1,""packed_recall"":0.5,""payload_sha256"":""e2566b48197d28242a9b14b8ecb8d9e645f45dd98be5e7b58f43e7a196ec077d"",""required_facts"":2,""selected_count"":7,""selected_sha256"":""fbd968aec9b4abd45a9c3872677fc81de023a6e9c19688631bb83612d783dc3a""}",0.5,GAIN
h121_c07,chained,"[""art"",""monetary""]","[""f121_art_sacra_conversazione"",""f121_monetary_fiscal_price_level""]","{""candidate_count"":15,""candidate_facts"":0,""candidate_recall"":0.0,""candidate_sha256"":""9d42cc6cf84facfd366268aca5681ddba65f7f32273fd9c9be9d194e052bf183"",""delivered_chars"":30555,""packed_facts"":0,""packed_recall"":0.0,""payload_sha256"":""8146f1e796c587d40158e2a1fa6c85405d4ccbddd33ef26f5a300848aaf68189"",""required_facts"":2,""selected_count"":8,""selected_sha256"":""def4038026be2251a2536c61ee9bdfafaea7e03c5d1634ccd4106f7c5b33ec39""}","{""candidate_count"":15,""candidate_facts"":1,""candidate_recall"":0.5,""candidate_sha256"":""2447e878ee340ddf87e4cad9a53c2a2556796a2d86531c3d26350e9f9aba5d09"",""delivered_chars"":29485,""packed_facts"":1,""packed_recall"":0.5,""payload_sha256"":""2b84af07651e3a4fe2461cfdc98fe4e29230000c0df9a92a00e1c0b6dd44e180"",""required_facts"":2,""selected_count"":8,""selected_sha256"":""bfb0de16086c10286f6af5aa10ea11557dee31382a34daa665441d21ffa33771""}",0.5,GAIN
h121_c08,chained,"[""structural"",""marine""]","[""f121_structural_wind_tunnel"",""f121_marine_rov""]","{""candidate_count"":15,""candidate_facts"":2,""candidate_recall"":1.0,""candidate_sha256"":""7e020abb4e05b5eb10e1c2f1d557ba1c443184473f03d9cc9b777c6b210b386a"",""delivered_chars"":31043,""packed_facts"":2,""packed_recall"":1.0,""payload_sha256"":""51ab1ff6004c2c9455fb1c65b90f493b8a7d6d4e264558867a7d8cc16cc5b0dd"",""required_facts"":2,""selected_count"":12,""selected_sha256"":""debb74ac3ebfe51d86199196e4f3ed54cc08fff25133ad10980ee82d33ce2d74""}","{""candidate_count"":15,""candidate_facts"":1,""candidate_recall"":0.5,""candidate_sha256"":""5a859e18d82a712789becd215e2a6cc836d440b2f0fca8c2cff2a6602771c031"",""delivered_chars"":31056,""packed_facts"":1,""packed_recall"":0.5,""payload_sha256"":""64a57ef76d4ebcf7d416590b06a12a181cc5320c23becfd77c8074aadc960755"",""required_facts"":2,""selected_count"":11,""selected_sha256"":""06636b497663a80e8dba32fe2ffae6cfdcca2c9e0a7724d80584149dc3e40690""}",-0.5,LOSS
h121_e01,enumeration,"[""structural"",""art"",""monetary"",""marine""]","[""f121_structural_dehumidification"",""f121_art_infrared_reflectography"",""f121_monetary_open_market_operations"",""f121_marine_diel_migration""]","{""candidate_count"":15,""candidate_facts"":1,""candidate_recall"":0.25,""candidate_sha256"":""21d6a222f7884692427676e2bfc8e620f8b73bcaaec5d8af273bc8db46d8f4ad"",""delivered_chars"":30783,""packed_facts"":1,""packed_recall"":0.25,""payload_sha256"":""f9ef8d2770626189ac3a556b4fdf7b338e993f93f25d9172b8e6bbf817bed2c0"",""required_facts"":4,""selected_count"":10,""selected_sha256"":""ca3dfbff673911612a4fc6fa9ba836d33bf6c5e911bd02453b903d8a5d6b232e""}","{""candidate_count"":15,""candidate_facts"":2,""candidate_recall"":0.5,""candidate_sha256"":""50500fecf82d46c3fbafa53a305befbfcca9ef1639c5ed69e53786ce8aa4b9f1"",""delivered_chars"":31836,""packed_facts"":0,""packed_recall"":0.0,""payload_sha256"":""0febf584c3173d9b59c6590c20f815ccbac2c65b7526dd4f262ff997f484906e"",""required_facts"":4,""selected_count"":10,""selected_sha256"":""949616dc602c6c4b2aea7ba2379067ba4338d449584916483d47f98f93135cc4""}",-0.25,LOSS
h121_e02,enumeration,"[""structural"",""art"",""monetary"",""marine""]","[""f121_structural_service_life"",""f121_art_date_span"",""f121_monetary_gfc_2008"",""f121_marine_oxygen_minimum""]","{""candidate_count"":15,""candidate_facts"":1,""candidate_recall"":0.25,""candidate_sha256"":""c678f07f83faa584e1572bf002bd1b9016eea0859540f14ca504c41cdaaf6b07"",""delivered_chars"":30981,""packed_facts"":1,""packed_recall"":0.25,""payload_sha256"":""8de087950a39f82e0d80149f7805abfd1fe7b388864cc5bf815b4a3cacb4fd11"",""required_facts"":4,""selected_count"":10,""selected_sha256"":""3d401d84d3fc9290a20badabed5872b32a19fb828915efd3e454dae59bbccf5d""}","{""candidate_count"":15,""candidate_facts"":1,""candidate_recall"":0.25,""candidate_sha256"":""7bd760e4f20634e2921aca231c7c5e9d31cc5389f5d57e28de5a03e741deae8f"",""delivered_chars"":30111,""packed_facts"":0,""packed_recall"":0.0,""payload_sha256"":""46cfb77f4841f7eeb3325afce10a26270ae56d8c30d9909809c0b6b6a7ee4cd1"",""required_facts"":4,""selected_count"":10,""selected_sha256"":""7669623a3fbaa5d496055086483a96f9fbbbd0f7e8920b2f8d4cf4d7f2f2dd82""}",-0.25,LOSS
h121_e03,enumeration,"[""structural"",""art"",""monetary"",""marine""]","[""f121_structural_orthotropic_deck"",""f121_art_gold_leaf"",""f121_monetary_quantitative_easing"",""f121_marine_gelatinous_zooplankton""]","{""candidate_count"":15,""candidate_facts"":2,""candidate_recall"":0.5,""candidate_sha256"":""5c906fb6710654970121f81a48f04c3c9b3cc482ad8c1b6e72574e53d1770e3b"",""delivered_chars"":29897,""packed_facts"":2,""packed_recall"":0.5,""payload_sha256"":""967075bf15a5eb702daf928f03f2c56530c50ef4547983761bba71821ca7c8d8"",""required_facts"":4,""selected_count"":10,""selected_sha256"":""0d44b7907ac5c626c56f72d0b5dcc65b0b292617296f85af04991f61f378fa90""}","{""candidate_count"":15,""candidate_facts"":1,""candidate_recall"":0.25,""candidate_sha256"":""e175e9db21b42da15dcfff9226a2c249d86d77fecc68bf1b391e9e21e974caa0"",""delivered_chars"":29399,""packed_facts"":1,""packed_recall"":0.25,""payload_sha256"":""5125531ac833fd848f049bdb931dddffc8cbb02fa965ff1a5ea8bb3c123649b2"",""required_facts"":4,""selected_count"":10,""selected_sha256"":""3a290adb8bb026d466ed6c619940da3dd35c13adba90be937bc159e038e0bf29""}",-0.25,LOSS
h121_e04,enumeration,"[""structural"",""art"",""monetary"",""marine""]","[""f121_structural_wind_tunnel"",""f121_art_xray_radiography"",""f121_monetary_stress_testing"",""f121_marine_rov""]","{""candidate_count"":15,""candidate_facts"":2,""candidate_recall"":0.5,""candidate_sha256"":""cdf009c0f019a15e75aaa29f7293872ce1b6530ae515ffacbdbf88237a0eccc1"",""delivered_chars"":29006,""packed_facts"":1,""packed_recall"":0.25,""payload_sha256"":""51d4edfd44433e6ca1c34f1597843852bc56ee6f2ccfa7fa0d0bc003aa4ca124"",""required_facts"":4,""selected_count"":10,""selected_sha256"":""d84d640485cc19563ef89a58cdddb1ec598faf8abb08d2ffb2b91d9e7591df12""}","{""candidate_count"":15,""candidate_facts"":1,""candidate_recall"":0.25,""candidate_sha256"":""e479d81156a56e3067bd2830fced728c1a6736a52ee3565c22db8608482ef93d"",""delivered_chars"":29391,""packed_facts"":1,""packed_recall"":0.25,""payload_sha256"":""de78ae52f55ec89f372ae96b521e9b5b29d3fa62c48ad1eef28ab26a21fe0021"",""required_facts"":4,""selected_count"":10,""selected_sha256"":""9c4ec9803e49bcebbf5b9a1b1d6d88d0b90ebbf96a8cb7bd15ae04e507c95b5d""}",0.0,TIE
