query_id,query_class,required_domains,arm,fact_id,candidate_available,packed_available,candidate_match_sha256,packed_match_sha256
h121_l06,lookup,"[""art""]",C0,f121_art_infrared_reflectography,False,False,[],[]
h121_l06,lookup,"[""art""]",T1,f121_art_infrared_reflectography,False,False,[],[]
h121_l07,lookup,"[""monetary""]",C0,f121_monetary_gfc_2008,False,False,[],[]
h121_l07,lookup,"[""monetary""]",T1,f121_monetary_gfc_2008,False,False,[],[]
h121_l08,lookup,"[""monetary""]",C0,f121_monetary_near_zero,False,False,[],[]
h121_l08,lookup,"[""monetary""]",T1,f121_monetary_near_zero,True,False,"[""739993d4063392ff410280c840dffa848f48191f123f15a6c64b3d5187267f5b""]",[]
h121_l09,lookup,"[""monetary""]",C0,f121_monetary_great_moderation,True,True,"[""c3a1d5cd31344c583f09e5bbe54966713a2bc0f98ee165f1dc5c6c1dbe8ca25a""]","[""c3a1d5cd31344c583f09e5bbe54966713a2bc0f98ee165f1dc5c6c1dbe8ca25a""]"
h121_l09,lookup,"[""monetary""]",T1,f121_monetary_great_moderation,True,True,"[""c3a1d5cd31344c583f09e5bbe54966713a2bc0f98ee165f1dc5c6c1dbe8ca25a""]","[""c3a1d5cd31344c583f09e5bbe54966713a2bc0f98ee165f1dc5c6c1dbe8ca25a""]"
h121_l10,lookup,"[""marine""]",C0,f121_marine_zones,False,False,[],[]
h121_l10,lookup,"[""marine""]",T1,f121_marine_zones,False,False,[],[]
h121_l11,lookup,"[""marine""]",C0,f121_marine_luciferin_luciferase,True,True,"[""2911766d04eb9355d341ef30f4c807a72ce58ecccf46a16db3275ef33d65aec5""]","[""2911766d04eb9355d341ef30f4c807a72ce58ecccf46a16db3275ef33d65aec5""]"
h121_l11,lookup,"[""marine""]",T1,f121_marine_luciferin_luciferase,True,True,"[""2911766d04eb9355d341ef30f4c807a72ce58ecccf46a16db3275ef33d65aec5""]","[""2911766d04eb9355d341ef30f4c807a72ce58ecccf46a16db3275ef33d65aec5""]"
h121_l12,lookup,"[""marine""]",C0,f121_marine_diel_migration,True,True,"[""c1739967b24dc5cff7211fc800608f6467cc2a149628460121427ea39c7aceb4""]","[""c1739967b24dc5cff7211fc800608f6467cc2a149628460121427ea39c7aceb4""]"
h121_l12,lookup,"[""marine""]",T1,f121_marine_diel_migration,True,True,"[""c1739967b24dc5cff7211fc800608f6467cc2a149628460121427ea39c7aceb4""]","[""c1739967b24dc5cff7211fc800608f6467cc2a149628460121427ea39c7aceb4""]"
h121_c01,chained,"[""structural""]",C0,f121_structural_service_life,True,True,"[""85f710b84cffbe12b32ca4e4deda071921f4f703f093f6cf84eefb3359a409c3""]","[""85f710b84cffbe12b32ca4e4deda071921f4f703f093f6cf84eefb3359a409c3""]"
h121_c01,chained,"[""structural""]",C0,f121_structural_dehumidification,True,True,"[""d780a17bfcd1cf60a0287df4fed87a94b0439e10f97e0f045b78a62020a45905""]","[""d780a17bfcd1cf60a0287df4fed87a94b0439e10f97e0f045b78a62020a45905""]"
h121_c01,chained,"[""structural""]",T1,f121_structural_service_life,True,True,"[""85f710b84cffbe12b32ca4e4deda071921f4f703f093f6cf84eefb3359a409c3""]","[""85f710b84cffbe12b32ca4e4deda071921f4f703f093f6cf84eefb3359a409c3""]"
h121_c01,chained,"[""structural""]",T1,f121_structural_dehumidification,True,True,"[""d780a17bfcd1cf60a0287df4fed87a94b0439e10f97e0f045b78a62020a45905""]","[""d780a17bfcd1cf60a0287df4fed87a94b0439e10f97e0f045b78a62020a45905""]"
h121_c02,chained,"[""art""]",C0,f121_art_lapis_ultramarine,True,True,"[""91931cd01b942d1684af41a4a7d67c0472db018f1fb9a50a7113284f53c8e37f""]","[""91931cd01b942d1684af41a4a7d67c0472db018f1fb9a50a7113284f53c8e37f""]"
h121_c02,chained,"[""art""]",C0,f121_art_intonaco,True,True,"[""f037a1c81005d7b2359952fecdbcf5db47c3b0f9929129efa4792c0f294e4dc9""]","[""f037a1c81005d7b2359952fecdbcf5db47c3b0f9929129efa4792c0f294e4dc9""]"
h121_c02,chained,"[""art""]",T1,f121_art_lapis_ultramarine,False,False,[],[]
h121_c02,chained,"[""art""]",T1,f121_art_intonaco,True,True,"[""f037a1c81005d7b2359952fecdbcf5db47c3b0f9929129efa4792c0f294e4dc9""]","[""f037a1c81005d7b2359952fecdbcf5db47c3b0f9929129efa4792c0f294e4dc9""]"
h121_c03,chained,"[""monetary""]",C0,f121_monetary_near_zero,False,False,[],[]
h121_c03,chained,"[""monetary""]",C0,f121_monetary_great_moderation,True,False,"[""c3a1d5cd31344c583f09e5bbe54966713a2bc0f98ee165f1dc5c6c1dbe8ca25a""]",[]
h121_c03,chained,"[""monetary""]",T1,f121_monetary_near_zero,True,False,"[""739993d4063392ff410280c840dffa848f48191f123f15a6c64b3d5187267f5b""]",[]
h121_c03,chained,"[""monetary""]",T1,f121_monetary_great_moderation,False,False,[],[]
h121_c04,chained,"[""marine""]",C0,f121_marine_diel_migration,True,True,"[""c1739967b24dc5cff7211fc800608f6467cc2a149628460121427ea39c7aceb4""]","[""c1739967b24dc5cff7211fc800608f6467cc2a149628460121427ea39c7aceb4""]"
h121_c04,chained,"[""marine""]",C0,f121_marine_plankton_nets,True,True,"[""2ca35f294be5ff553f04078e4daa8779a0fc8a0ace39463fba077fe0b04e5551""]","[""2ca35f294be5ff553f04078e4daa8779a0fc8a0ace39463fba077fe0b04e5551""]"
h121_c04,chained,"[""marine""]",T1,f121_marine_diel_migration,True,True,"[""c1739967b24dc5cff7211fc800608f6467cc2a149628460121427ea39c7aceb4""]","[""c1739967b24dc5cff7211fc800608f6467cc2a149628460121427ea39c7aceb4""]"
h121_c04,chained,"[""marine""]",T1,f121_marine_plankton_nets,True,True,"[""2ca35f294be5ff553f04078e4daa8779a0fc8a0ace39463fba077fe0b04e5551""]","[""2ca35f294be5ff553f04078e4daa8779a0fc8a0ace39463fba077fe0b04e5551""]"
h121_c05,chained,"[""art"",""marine""]",C0,f121_art_infrared_reflectography,False,False,[],[]
h121_c05,chained,"[""art"",""marine""]",C0,f121_marine_in_situ_imaging,True,True,"[""2ca35f294be5ff553f04078e4daa8779a0fc8a0ace39463fba077fe0b04e5551""]","[""2ca35f294be5ff553f04078e4daa8779a0fc8a0ace39463fba077fe0b04e5551""]"
h121_c05,chained,"[""art"",""marine""]",T1,f121_art_infrared_reflectography,False,False,[],[]
h121_c05,chained,"[""art"",""marine""]",T1,f121_marine_in_situ_imaging,True,True,"[""2ca35f294be5ff553f04078e4daa8779a0fc8a0ace39463fba077fe0b04e5551""]","[""2ca35f294be5ff553f04078e4daa8779a0fc8a0ace39463fba077fe0b04e5551""]"
h121_c06,chained,"[""structural"",""monetary""]",C0,f121_structural_spherical_bearings,False,False,[],[]
h121_c06,chained,"[""structural"",""monetary""]",C0,f121_monetary_price_level_target,False,False,[],[]
h121_c06,chained,"[""structural"",""monetary""]",T1,f121_structural_spherical_bearings,False,False,[],[]
h121_c06,chained,"[""structural"",""monetary""]",T1,f121_monetary_price_level_target,True,True,"[""4af38e40c2fd15846966254a70e5f32d84118ff268f68ff796dd35bca3ec34e9""]","[""4af38e40c2fd15846966254a70e5f32d84118ff268f68ff796dd35bca3ec34e9""]"
h121_c07,chained,"[""art"",""monetary""]",C0,f121_art_sacra_conversazione,False,False,[],[]
h121_c07,chained,"[""art"",""monetary""]",C0,f121_monetary_fiscal_price_level,False,False,[],[]
h121_c07,chained,"[""art"",""monetary""]",T1,f121_art_sacra_conversazione,True,True,"[""63edc8309066f2fddcf60273b8f970abe612d5e30a4946df24ee8021f1dfc494""]","[""63edc8309066f2fddcf60273b8f970abe612d5e30a4946df24ee8021f1dfc494""]"
h121_c07,chained,"[""art"",""monetary""]",T1,f121_monetary_fiscal_price_level,False,False,[],[]
h121_c08,chained,"[""structural"",""marine""]",C0,f121_structural_wind_tunnel,True,True,"[""059910e805fac79643723b62738eac13ea046068219a3c39324a15c304c4fb3c""]","[""059910e805fac79643723b62738eac13ea046068219a3c39324a15c304c4fb3c""]"
h121_c08,chained,"[""structural"",""marine""]",C0,f121_marine_rov,True,True,"[""2ca35f294be5ff553f04078e4daa8779a0fc8a0ace39463fba077fe0b04e5551""]","[""2ca35f294be5ff553f04078e4daa8779a0fc8a0ace39463fba077fe0b04e5551""]"
h121_c08,chained,"[""structural"",""marine""]",T1,f121_structural_wind_tunnel,False,False,[],[]
h121_c08,chained,"[""structural"",""marine""]",T1,f121_marine_rov,True,True,"[""2ca35f294be5ff553f04078e4daa8779a0fc8a0ace39463fba077fe0b04e5551""]","[""2ca35f294be5ff553f04078e4daa8779a0fc8a0ace39463fba077fe0b04e5551""]"
h121_e01,enumeration,"[""structural"",""art"",""monetary"",""marine""]",C0,f121_structural_dehumidification,True,True,"[""d780a17bfcd1cf60a0287df4fed87a94b0439e10f97e0f045b78a62020a45905""]","[""d780a17bfcd1cf60a0287df4fed87a94b0439e10f97e0f045b78a62020a45905""]"
h121_e01,enumeration,"[""structural"",""art"",""monetary"",""marine""]",C0,f121_art_infrared_reflectography,False,False,[],[]
h121_e01,enumeration,"[""structural"",""art"",""monetary"",""marine""]",C0,f121_monetary_open_market_operations,False,False,[],[]
h121_e01,enumeration,"[""structural"",""art"",""monetary"",""marine""]",C0,f121_marine_diel_migration,False,False,[],[]
h121_e01,enumeration,"[""structural"",""art"",""monetary"",""marine""]",T1,f121_structural_dehumidification,True,False,"[""d780a17bfcd1cf60a0287df4fed87a94b0439e10f97e0f045b78a62020a45905""]",[]
h121_e01,enumeration,"[""structural"",""art"",""monetary"",""marine""]",T1,f121_art_infrared_reflectography,False,False,[],[]
h121_e01,enumeration,"[""structural"",""art"",""monetary"",""marine""]",T1,f121_monetary_open_market_operations,False,False,[],[]
h121_e01,enumeration,"[""structural"",""art"",""monetary"",""marine""]",T1,f121_marine_diel_migration,True,False,"[""c1739967b24dc5cff7211fc800608f6467cc2a149628460121427ea39c7aceb4""]",[]
h121_e02,enumeration,"[""structural"",""art"",""monetary"",""marine""]",C0,f121_structural_service_life,True,True,"[""85f710b84cffbe12b32ca4e4deda071921f4f703f093f6cf84eefb3359a409c3""]","[""85f710b84cffbe12b32ca4e4deda071921f4f703f093f6cf84eefb3359a409c3""]"
h121_e02,enumeration,"[""structural"",""art"",""monetary"",""marine""]",C0,f121_art_date_span,False,False,[],[]
h121_e02,enumeration,"[""structural"",""art"",""monetary"",""marine""]",C0,f121_monetary_gfc_2008,False,False,[],[]
h121_e02,enumeration,"[""structural"",""art"",""monetary"",""marine""]",C0,f121_marine_oxygen_minimum,False,False,[],[]
h121_e02,enumeration,"[""structural"",""art"",""monetary"",""marine""]",T1,f121_structural_service_life,True,False,"[""85f710b84cffbe12b32ca4e4deda071921f4f703f093f6cf84eefb3359a409c3""]",[]
h121_e02,enumeration,"[""structural"",""art"",""monetary"",""marine""]",T1,f121_art_date_span,False,False,[],[]
h121_e02,enumeration,"[""structural"",""art"",""monetary"",""marine""]",T1,f121_monetary_gfc_2008,False,False,[],[]
h121_e02,enumeration,"[""structural"",""art"",""monetary"",""marine""]",T1,f121_marine_oxygen_minimum,False,False,[],[]
h121_e03,enumeration,"[""structural"",""art"",""monetary"",""marine""]",C0,f121_structural_orthotropic_deck,True,True,"[""983e1dee0e2343e184a174f2664f73c1bf3804e4496271e7c6f3c5f4a590dae6""]","[""983e1dee0e2343e184a174f2664f73c1bf3804e4496271e7c6f3c5f4a590dae6""]"
h121_e03,enumeration,"[""structural"",""art"",""monetary"",""marine""]",C0,f121_art_gold_leaf,True,True,"[""b244b451c49d16afaab95a5075e0eba38f64598d7f3535c74a0b0ebe33a51f8a""]","[""b244b451c49d16afaab95a5075e0eba38f64598d7f3535c74a0b0ebe33a51f8a""]"
h121_e03,enumeration,"[""structural"",""art"",""monetary"",""marine""]",C0,f121_monetary_quantitative_easing,False,False,[],[]
h121_e03,enumeration,"[""structural"",""art"",""monetary"",""marine""]",C0,f121_marine_gelatinous_zooplankton,False,False,[],[]
h121_e03,enumeration,"[""structural"",""art"",""monetary"",""marine""]",T1,f121_structural_orthotropic_deck,True,True,"[""983e1dee0e2343e184a174f2664f73c1bf3804e4496271e7c6f3c5f4a590dae6""]","[""983e1dee0e2343e184a174f2664f73c1bf3804e4496271e7c6f3c5f4a590dae6""]"
h121_e03,enumeration,"[""structural"",""art"",""monetary"",""marine""]",T1,f121_art_gold_leaf,False,False,[],[]
h121_e03,enumeration,"[""structural"",""art"",""monetary"",""marine""]",T1,f121_monetary_quantitative_easing,False,False,[],[]
h121_e03,enumeration,"[""structural"",""art"",""monetary"",""marine""]",T1,f121_marine_gelatinous_zooplankton,False,False,[],[]
h121_e04,enumeration,"[""structural"",""art"",""monetary"",""marine""]",C0,f121_structural_wind_tunnel,True,False,"[""059910e805fac79643723b62738eac13ea046068219a3c39324a15c304c4fb3c""]",[]
h121_e04,enumeration,"[""structural"",""art"",""monetary"",""marine""]",C0,f121_art_xray_radiography,False,False,[],[]
h121_e04,enumeration,"[""structural"",""art"",""monetary"",""marine""]",C0,f121_monetary_stress_testing,False,False,[],[]
h121_e04,enumeration,"[""structural"",""art"",""monetary"",""marine""]",C0,f121_marine_rov,True,True,"[""2ca35f294be5ff553f04078e4daa8779a0fc8a0ace39463fba077fe0b04e5551""]","[""2ca35f294be5ff553f04078e4daa8779a0fc8a0ace39463fba077fe0b04e5551""]"
h121_e04,enumeration,"[""structural"",""art"",""monetary"",""marine""]",T1,f121_structural_wind_tunnel,False,False,[],[]
h121_e04,enumeration,"[""structural"",""art"",""monetary"",""marine""]",T1,f121_art_xray_radiography,False,False,[],[]
h121_e04,enumeration,"[""structural"",""art"",""monetary"",""marine""]",T1,f121_monetary_stress_testing,False,False,[],[]
h121_e04,enumeration,"[""structural"",""art"",""monetary"",""marine""]",T1,f121_marine_rov,True,True,"[""2ca35f294be5ff553f04078e4daa8779a0fc8a0ace39463fba077fe0b04e5551""]","[""2ca35f294be5ff553f04078e4daa8779a0fc8a0ace39463fba077fe0b04e5551""]"
