question_id,question_content_sha256,sample_id,source_index,category,resolved_evidence_count,unresolved_evidence_count,complete_evaluable,evidence_episodes,flat_best_evidence_rank,flat_worst_evidence_rank,budget_chars,dual_budget_chars,flat_complete,flat_any,flat_delivered,flat_evidence_delivered,tiered_complete,tiered_any,tiered_delivered,tiered_evidence_delivered,dual_complete,dual_any,dual_delivered,dual_evidence_delivered,dual_ranked_complete,dual_ranked_any,dual_ranked_delivered,dual_ranked_evidence_delivered,flat_chars,tiered_chars,dual_chars,dual_ranked_chars,tiered_recency,tiered_k,tiered_coverage,dual_recency,dual_k,dual_coverage,dual_ranked_k,dual_ranked_coverage,tiered_evidence_tiers,dual_evidence_tiers,dual_ranked_evidence_tiers
d28bb65d4e094f52445fc730231dc68f37035b4fc9b9e3385f6efa7275744efc,d9be26d55a8745b0e09e746160df6f0ac72e566f35b51ae084efcad98a1f9bb9,conv-41,11,1,4,0,True,4,28,192,16000,16000,False,True,44,1,False,False,48,0,False,True,45,2,False,True,44,1,15998,15978,15951,15998,32,16,0,0,45,0,44,0,,k,k
75f30b93fb3bbac1e1de7fb1b06546578b4f93f47ac8e9486ab016fcfa7951c5,4dc137890ee53a521601eb2597547fe376250361ab08d586affba8cf611c883a,conv-41,12,1,2,0,True,2,2,143,16000,16000,False,True,50,1,True,True,49,2,True,True,50,2,True,True,50,2,15982,15928,15983,15983,32,8,9,0,10,40,10,40,coverage|k,coverage|k,coverage|k
714abed9c5552df1a31661a57382863fa09c65b44e7a6aa98821bd86dcedf176,5eeece77b73b3b99a49febc2a11622649b40ca3d4e524d98cec55b7c89b43b20,conv-41,13,2,1,0,True,1,1,1,16000,16000,True,True,49,1,True,True,47,1,True,True,48,1,True,True,48,1,15969,15910,15919,15919,32,1,14,0,1,47,1,47,k,k,k
6ddead46f2e3f732161f7599e1e00e98b45f1fd9c5cf00b6dfc48303ced391d1,a0227316f00906c1a2e0326f6541352b76a30222dda4aff21c7d8d9dc46ebdc2,conv-41,14,3,2,0,True,2,9,283,16000,16000,False,True,48,1,False,True,49,1,False,True,48,1,False,True,48,1,15953,15975,15985,15985,32,8,9,0,9,39,9,39,k,k,k
0f04797f3f9a63e1500e2cd1de89cc856bcdd79ae6810f1d3ede536dc11e9105,3495b422666f27db3e60ca2146328b73c5b8251c61f1a8eed4b35269148d0f76,conv-41,15,1,2,0,True,2,2,3,16000,16000,True,True,48,2,True,True,49,2,True,True,49,2,True,True,49,2,15902,15813,15969,15969,32,13,4,0,15,34,15,34,k,k,k
97606a4096fa4ad9c5b3c8ef0aa86a4601e7cbc88b83892857a996c7d2ce8e36,bf69e805b3d0b2190ed6eb136aaa8505df608859cb148fc1b496d3c90c945036,conv-41,16,2,1,0,True,1,14,14,16000,16000,True,True,51,1,False,False,48,0,True,True,48,1,True,True,48,1,15994,15911,15983,15983,32,5,11,0,6,42,6,42,,coverage,coverage
6c7d20b33db076d64a3b02c3a3374170f6adb0b03975d00a3941b2d314bf9b4b,b3e638fe9a9dd1839f4c22c735e5b96d1db3d46cb766dc98a21899eaf8728ea4,conv-41,17,3,1,0,True,1,1,1,16000,16000,True,True,48,1,True,True,49,1,True,True,50,1,True,True,50,1,15955,15988,15983,15983,32,17,0,0,29,21,29,21,k,k,k
8996322a617d673c38966e19f5709b82732f2323224d4abeebc1d969359de3af,049c586c101e4a6593e630216eb2a92e9bcf25dd574a8d8ea1b1cdd756ca21a7,conv-41,18,1,2,0,True,2,3,6,16000,16000,True,True,49,2,True,True,49,2,True,True,49,2,True,True,49,2,15946,15979,15990,15990,32,16,1,0,34,15,34,15,k,k,k
bb66fff02fa85e5036144b7f929aa823f7ba9a8e8d116829306710ee1870496a,a325fe9c0f1d6e23c2c37dc4dcbc40243041ba53ea3bba057b89e665f74f308c,conv-41,19,1,2,0,True,2,2,18,16000,16000,True,True,53,2,False,True,48,1,True,True,52,2,True,True,52,2,15966,15956,16000,16000,32,11,5,0,12,40,12,40,k,coverage|k,coverage|k
9bec05e11003c1d8b835d64804d0520b5bba6d7d6f7f7643dc3d31a70844b7fb,e59f21aeb0233f80a3b11fadb236c3ca51b2c51f36c19b6c8f5fb773e7caaae5,conv-41,20,2,2,0,True,2,1,3,16000,16000,True,True,46,2,True,True,48,2,True,True,44,2,True,True,44,2,15931,15994,15914,15914,32,8,8,0,8,36,8,36,k,k,k
8c561bbaa9f46bef0528ee6e48edfd9e83bbc2ee19eb7644e2dda196f2188ef6,4eea2132d22eb92211fdcbdf4c1b7cd4be266d26baab4d8992c55fdd8ff5136a,conv-41,21,1,2,0,True,2,1,5,16000,16000,True,True,50,2,True,True,49,2,True,True,49,2,True,True,49,2,15945,15979,15961,15961,32,17,0,0,22,27,22,27,k,k,k
ed0317028cb6b2a34fbf1078c280bf61740133cba018028c2cb1ac0a1e4c6c20,b5ca38c3383223111b64dd490423bd189b419cda6685e3a1856844dc56b800d7,conv-41,22,2,1,0,True,1,1,1,16000,16000,True,True,44,1,True,True,46,1,True,True,43,1,True,True,43,1,15964,15841,15984,15984,32,14,0,0,24,19,24,19,k,k,k
ba47fd791ad22031773f7f79bcea62386893b0814976b70d85be47b7fd552c79,17d6b01434f5173497c2c93b666413ffefe2c7c6feca3bd50fc3839fe35fc0e3,conv-41,23,1,2,0,True,2,1,2,16000,16000,True,True,49,2,True,True,49,2,True,True,49,2,True,True,49,2,15922,15976,15982,15982,32,11,6,0,11,38,11,38,k,k,k
c3c975d4a2c1c5861466968b73713667362225314ada1d2aeebb693134fb0957,765a36856fc254e3937821c1261dbd8f4c500d43d5de9eb2fe46ff1113215477,conv-41,24,2,1,0,True,1,1,1,16000,16000,True,True,47,1,True,True,49,1,True,True,46,1,True,True,46,1,15945,15871,15974,15974,32,7,10,0,8,38,8,38,k,k,k
4ce72206d70eb2010ed5fae4597ec37dbe0621e80aebe7151c724290bf094855,98c64c43a24ade754f876e7657567183ddb78e1f5082508a87d3c3971bdffe5a,conv-41,25,1,2,0,True,2,12,27,16000,16000,True,True,51,2,False,False,48,0,True,True,51,2,True,True,51,2,15976,15952,15950,15950,32,11,5,0,11,40,11,40,,coverage,coverage
8f9ae358d6e7e92632040ed791454da76fbc27d176b9b7a7a30813a7622c46dd,a0cb742f95ec2627053b9f0d22110ae1be1f765fa4f1f576eac716fe06a23018,conv-41,26,1,2,0,True,2,1,6,16000,16000,True,True,45,2,False,False,49,0,True,True,48,2,True,True,45,2,15975,15964,15916,15975,32,17,0,0,48,0,45,0,,k,k
b775fcf9187bb1dc5eea4a1054905ad24e76b2bfa4a9e7fd83b8cd39592cac01,dedf94dbe4ecdd6d06fc72a4c3dd6837a6add52c262e8c550196b99bbc767abf,conv-41,27,2,1,0,True,1,2,2,16000,16000,True,True,43,1,False,False,48,0,True,True,44,1,True,True,44,1,15948,15974,15857,15857,32,16,0,0,40,4,40,4,,k,k
68dcf7b914ea80c711436fb87c227cd2bd44ec9a17b85697bc313a4c65537cf4,22e5e47ffbf569f46c4a593bc9f6458e291781689fdd969c3b17622dbc12c8ac,conv-41,28,1,4,0,True,4,4,71,16000,16000,False,True,47,3,False,True,47,1,False,True,44,3,False,True,47,3,15997,15832,15847,15997,32,15,0,0,44,0,47,0,k,k,k
bc458224e5cc9ef5bf9502afddc64f03a586be6c1360d3fc134b59a782f5c7cb,5893dda15d5af484c59650522b4760c2c87fba3230e97974fba2357859a894d1,conv-41,29,1,2,0,True,2,1,11,16000,16000,True,True,43,2,False,False,49,0,False,False,46,0,True,True,43,2,15957,15996,15971,15957,32,17,0,0,46,0,43,0,,,k
c3e701757745a0d59758ddfdba3b30cee5f796e4f3cc76c680e828900aa4d92e,16092a0b2dc1a73caac2f666a0095cc14e8968c9047139be54272dc4a52b27b3,conv-41,30,1,3,0,True,3,16,31,16000,16000,True,True,43,3,False,True,47,1,True,True,42,3,True,True,43,3,15981,15933,15981,15981,32,15,0,0,41,1,43,0,k,k,k
3b5dc4d18f50976d41d4ef970a071ab24af511fa02026af72ae1e4a8fe96a605,c27270129c3d883f282c4bb583cbf23a1eed2aced5aa828ad81730d85b3e5239,conv-41,31,2,1,0,True,1,1,1,16000,16000,True,True,50,1,True,True,48,1,True,True,48,1,True,True,48,1,15981,15993,15975,15975,32,12,4,0,20,28,20,28,k,k,k
8a982417a511195efbb0a9fc06208995f8abc361f4b74e525a1a2301c4db6186,c5a2249417469d0ec393debf30b1b2a550dff66b77d32a690722d20207ecc89e,conv-41,32,1,2,0,True,2,16,46,16000,16000,False,True,45,1,False,False,49,0,False,False,48,0,False,True,45,1,15983,16000,15953,15983,32,16,1,0,48,0,45,0,,,k
d60c0443cbb6217ed2896f9380bddb5be55c2cb232285ccdc244b9f929ce01e2,a329234d9c9f2e32611ce699a65490383172bb0119bbc4d2733b3dd849f55d52,conv-41,33,1,3,0,True,3,1,4,16000,16000,True,True,46,3,True,True,48,3,True,True,47,3,True,True,47,3,15943,15859,15964,15964,32,16,0,0,17,30,17,30,k,k,k
152edafcfaccb80100fedd9618fb0d8bef7d39157fa916ec7a908ef7c3f6f27f,cc32d901f2df3bea99f5dc55cf30d77dca157d23a2aae4d1a25576cd3f4a4feb,conv-41,34,2,1,0,True,1,1,1,16000,16000,True,True,43,1,False,False,48,0,True,True,45,1,True,True,43,1,15914,15998,15858,15914,32,16,0,0,45,0,43,0,,k,k
ad72d579039ea181d479ecb838e1d562952c69ccf832608256f0dcf58a9faf1d,1f567b66861808adde4d53fa31f691449d2fcf4619ed40c270c09240d27f0b47,conv-41,35,1,2,0,True,2,1,4,16000,16000,True,True,50,2,True,True,47,2,True,True,49,2,True,True,49,2,15976,15997,15916,15916,32,14,1,0,20,29,20,29,k,k,k
d224277eceff24fcf743cb31d90c2296293719caab166da4fca15b1b3962b2b2,609e70e098575f304d9f86ce577685245f6355985aaedd447693b65d29ce7e7b,conv-41,36,1,2,0,True,2,1,11,16000,16000,True,True,47,2,True,True,47,2,True,True,46,2,True,True,46,2,15996,15953,15953,15953,32,12,3,0,13,33,13,33,k,k,k
c6d12ae10830d7054f9a8bfa6e109c37a3ce5571ce292916aa16dc6fc2760e2e,dd630484ec78b9b84394072d5fa075a4049bae33e82db108b040e8b048a6b5ed,conv-41,37,1,5,0,True,5,4,12,16000,16000,True,True,43,5,False,True,48,1,True,True,42,5,True,True,42,5,15970,15909,15746,15746,32,16,0,0,41,1,41,1,k,k,k
bd7fbfa7f1c6d80208462b78c7b7cdb646ad57a01230e87ac87250554c11fb30,b0cff0f246938ebd50819dbb0cb8be7895e1056e9cd03573ea18daf69a42a080,conv-41,38,2,1,0,True,1,70,70,16000,16000,False,False,46,0,False,False,48,0,False,False,45,0,False,False,45,0,15977,15952,15942,15942,32,15,1,0,15,30,15,30,,,
1a19d1712aad830025167a7eec6e7bb438396b956346b4f359ac16f12c6e71ae,3f859251bd1b3b077f18d085773144b9e1c2f1c6f4d70a117fa74f9942284d48,conv-41,39,3,1,0,True,1,49,49,16000,16000,False,False,44,0,False,False,47,0,False,False,44,0,False,False,44,0,15968,15911,15893,15893,32,15,0,0,19,25,19,25,,,
e7351bea6186a9ab85c77ad84bab0c20098b1bb45415dbd676f8e18e16936bff,2b071d48f35bf823a46965b763fffb32148088838471e68ff1d6ad8b8a02ce66,conv-41,40,1,2,0,True,2,1,146,16000,16000,False,True,54,1,False,True,52,1,False,True,54,1,False,True,54,1,15976,15982,15977,15977,32,20,0,0,33,21,33,21,k,k,k
1617c689353d45ffb675cf8997cbb721c375af92eac8f9b6212c13f16c159593,62c9f47067a27449de4615123bb9626c372b6f00aeb48ffa2651314bf712e6d7,conv-41,41,3,1,0,True,1,78,78,16000,16000,False,False,53,0,False,False,50,0,False,False,52,0,False,False,52,0,15946,15993,15984,15984,32,18,0,0,37,15,37,15,,,
98c68d28bd72073b8335156b7e0fea200885bbe8eba096ed847f75c5fc1edddb,aa4408372c2ef793061da5f8484e9f65dcf3747dd7f6594f4aa2fae36473a993,conv-41,42,1,2,0,True,2,1,17,16000,16000,True,True,48,2,True,True,49,2,True,True,49,2,True,True,49,2,15917,15972,15920,15920,32,1,16,0,1,48,1,48,coverage|k,coverage|k,coverage|k
1b24de20447e3bd6d78d7361f25b869b2b22726f4b1a3f6bfa4115582b59e86e,50fca74a4e87dd72cd5e7e64926d0fe849f5dd78fc0ecf223f099f7ea42db139,conv-41,43,2,1,0,True,1,1,1,16000,16000,True,True,47,1,True,True,48,1,True,True,49,1,True,True,49,1,15911,15999,15993,15993,32,8,8,0,9,40,9,40,k,k,k
add82d28e06d3471718bbfd0c7e59110498a92f8e42bbdf957e5a1280f34d7a1,aa7bb8286c88c3c7043f32dd0594090335d53623ce943b9c9374e4aed27ba09b,conv-41,44,1,3,0,True,3,3,274,16000,16000,False,True,44,1,False,False,49,0,False,False,46,0,False,True,44,1,15962,15990,15914,15962,32,17,0,0,46,0,44,0,,,k
c4bf69d7d06891f87c346b585f431847a897b337b49dbe2e45e05f88e593b64e,ac74b05d9739f8ce96af319aa8b722bc7dd41630b1488048ce17f47a3131b9f0,conv-41,45,3,2,0,True,2,89,195,16000,16000,False,False,52,0,False,False,49,0,False,False,51,0,False,False,51,0,15897,15988,15927,15927,32,17,0,0,37,14,37,14,,,
6c16f32fb892ddbc30e3e5634c866df598de30e09a47b7163d028d1bcce553d7,eea9e6707ae9d108aa5e55b0e0aec01be4404fd927c1b9aa99b2ac025da3fc9e,conv-41,46,2,1,0,True,1,17,17,16000,16000,True,True,42,1,False,False,49,0,True,True,42,1,True,True,41,1,15935,15991,15980,15805,32,17,0,0,41,1,41,0,,k,k
7e400493e1f8e110a1b73d407bc503727fec99b6df5446d27f7a5b721cbd09a8,735841b1ccd3a563b94e9e7a0deb14f821ea0ebc16b2234172b4412cbdc5b478,conv-41,47,1,4,0,True,4,1,10,16000,16000,True,True,48,4,False,True,49,1,False,True,47,2,True,True,48,4,15949,15996,15925,15949,32,17,0,0,47,0,48,0,k,k,k
b332250b285864e5fca8925845e8a2e32c94fe270bdda8840c5d0ecd1e1a6774,de0e55c72bbd091e7b47f3683aa945ac7e131a9a69745c08c966df42149dd504,conv-41,48,2,1,0,True,1,1,1,16000,16000,True,True,46,1,True,True,48,1,True,True,45,1,True,True,45,1,15995,15887,15951,15951,32,1,15,0,2,43,2,43,k,k,k
181e2696c54db3a37a848421bd61d2caa5046ea51033b3dc68115f51812dcb5c,aacde86a86b53495c886295314c465bff2a5c98b5c67b642b1e89d9fdfe3d04e,conv-41,49,1,2,0,True,2,1,90,16000,16000,False,True,41,1,False,False,48,0,False,True,43,1,False,True,41,1,15970,15994,15982,15970,32,16,0,0,43,0,41,0,,k,k
cc0f2b7067af957251ba161477f8e2703d43088d8f999332abd57df111afe014,e6898cbeabe95954033f41e39d22e68e4ddae20167d005facbb629efc8a1fb24,conv-41,50,3,4,0,True,4,138,271,16000,16000,False,False,56,0,False,False,54,0,False,False,55,0,False,False,55,0,15967,15974,15907,15907,32,21,1,0,25,30,25,30,,,
fc65d91d1c22d4d789c07a589802bc27dbaf2da242cefb9eaeb5b3628d223273,30851938f95c320048a6c51794d4289e1864d7f305d595d6a6fa00670bf1e484,conv-41,51,2,1,0,True,1,1,1,16000,16000,True,True,40,1,False,False,45,0,True,True,40,1,True,True,40,1,15972,15806,15982,15982,32,13,0,0,37,3,37,3,,k,k
ea9de830c59aa8046b513492a5069d4059a487a4e563a42422888e26c0cbe975,db34877011f3686c87ea260eb34a8212f7ea5985eb599419657f2d26f66c5b57,conv-41,52,1,2,0,True,2,1,7,16000,16000,True,True,56,2,False,False,50,0,False,False,49,0,True,True,56,2,15967,15958,15939,15967,32,18,0,0,49,0,56,0,,,k
b6a82c2eab3acda85ae7e9d6321d7be50fe13198c792398038278bf76017df5f,eec2f19c1575afd9d46c071fe7b2af39b4be025ff4b1decde262158b17d12a4a,conv-41,53,2,1,0,True,1,1,1,16000,16000,True,True,43,1,False,False,47,0,False,False,42,0,True,True,42,1,15996,15904,15941,15838,32,15,0,0,42,0,42,0,,,k
57cb78d9a8700d5254f53691ff26acf59bb2bbad1d2695b95514839c52b4bbf1,dc230e3cd7c37827068c5943ba8922bf52d95128f5d52fb28e8645597ea72a29,conv-41,54,2,1,0,True,1,10,10,16000,16000,True,True,42,1,False,False,48,0,False,False,44,0,True,True,41,1,15981,15987,15946,15872,32,16,0,0,44,0,41,0,,,k
d4f7248959751b17f2d7d3a760a579c652197af8c0337c2231bf6829d5ea29a5,f860c599e9223097132c622184db291c0a90fc3f44eb3610e354de23901e2787,conv-41,55,2,1,0,True,1,1,1,16000,16000,True,True,41,1,False,False,46,0,True,True,39,1,True,True,39,1,15944,15921,15925,15925,32,13,1,0,35,4,35,4,,k,k
bc430a52ac972d69552399542570704ba156d837c332e113eecf0f0cecbb0731,e4d250ae610054aa0a1fc601abe7d2714d467ac8418b3e552d2f07b2c2341fa3,conv-41,56,2,2,0,True,2,1,6,16000,16000,True,True,40,2,False,False,46,0,True,True,40,2,True,True,40,2,15930,15961,15942,15942,32,14,0,0,32,8,32,8,,k,k
62df22747c16d25cbd57d4bd3af9cc8f44183c952d735149636529e78ed7e8a8,3c799c6ae848b691bc91cc51c1d9d7be49bc8617b719773540ad3add0c81ffe6,conv-41,57,1,4,0,True,4,2,43,16000,16000,True,True,46,4,False,True,48,2,True,True,46,4,True,True,46,4,15949,15908,15878,15949,32,16,0,0,46,0,46,0,k,k,k
defbf87718c39d745b8eb64bee56a468d9d6212f5ddd501bb5c38500a608e4ac,8b448d1602a60d36e092ec25e30078dd27adef181c9816e5f8bffc9fb17d89e8,conv-41,58,2,1,0,True,1,1,1,16000,16000,True,True,52,1,False,False,50,0,True,True,51,1,True,True,51,1,15987,15976,15845,15860,32,18,0,0,50,1,50,1,,k,k
28fe48b7a92fe2cf728a6c95ce4218f4c9c892dc3aacc53250bd4f535f3ceb6a,d5b93f3f2f950f0b3f173a82e173b682092e9099048c675a40ccabedc5d3e635,conv-41,59,2,1,0,True,1,1,1,16000,16000,True,True,48,1,True,True,47,1,True,True,47,1,True,True,47,1,15986,15894,15993,15993,32,14,1,0,20,27,20,27,recency,k,k
10d4b1e084bca3837b13a70c3d784b125e8306dd3ded7a453208bc5630b61be1,d8484d1a1ed146d46b5491845a737c152a3122cf4b4b2d99e4dbd9938285842f,conv-41,60,1,2,0,True,2,1,2,16000,16000,True,True,50,2,True,True,47,2,True,True,50,2,True,True,50,2,15864,15924,15998,15998,32,9,6,0,20,30,20,30,k|recency,k,k
36d93b76113ff436fca2d3dc6000320c5c7c072211eb585790088bf31f8c9eb0,64ed9aa6749cb2d94f5c4805c82666d1a37d78c818cea373bfb1121d1045a1c1,conv-41,61,2,1,0,True,1,4,4,16000,16000,True,True,47,1,True,True,48,1,True,True,47,1,True,True,47,1,15987,15951,15887,15887,32,4,12,0,9,38,9,38,recency,k,k
3f3ebfe03beaa28e909ecbae26e1aefd3ed79d3984c58c83d4feeacc80ac923d,360bf96784f60639ed630f6d0a6cc89233c60520fd8e97ac865f6efce8d02881,conv-41,62,1,2,0,True,2,2,9,16000,16000,True,True,42,2,True,True,46,2,True,True,41,2,True,True,41,2,15967,15919,15937,15937,32,12,2,0,17,24,17,24,k|recency,k,k
af3c9b2697cd74f1299778d1fd9b47d45bbe238357514de39d3f30646c8da82a,aa2aa5980f3b6d7e137eeff9e70ff0024645250ce5654fdbff9943907675d634,conv-41,63,2,2,0,True,2,1,4,16000,16000,True,True,45,2,True,True,47,2,True,True,44,2,True,True,44,2,15962,15924,15942,15942,32,6,9,0,11,33,11,33,k|recency,k,k
5f30487527c8d532f3b0cd5baec495674a10126b5003fef91554d12f1079ede3,34b2d8e2f7d9e192b5382f40d8f1e2fd818df08e67badc1b9a983adc849b0dd1,conv-41,64,3,4,0,True,4,100,217,16000,16000,False,False,52,0,False,True,51,1,False,False,50,0,False,False,50,0,15990,15978,15949,15949,32,19,0,0,48,2,48,2,recency,,
d994c5dbf79b3037e45ce749cb2f63074d734415df8d7065ee488748b1611b00,891fa05eb8cc1343e82d1fb2792c27acba3f0a89b7717dfaf34f698f506e473e,conv-41,65,4,1,0,True,1,5,5,16000,16000,True,True,44,1,True,True,48,1,True,True,43,1,True,True,43,1,15905,15940,15967,15967,32,16,0,0,36,7,36,7,k,k,k
7f71270f2886f58ad0db19a422a14f9f8b8859f20e5dcc4a636d1d44ee070920,d66cb6069bbe897fc26bb903d87259049aac11a7124e4b05c3948e26c31a42f6,conv-41,66,4,1,0,True,1,2,2,16000,16000,True,True,40,1,True,True,48,1,True,True,41,1,True,True,40,1,15967,15998,15957,15967,32,16,0,0,41,0,40,0,k,k,k
66b4152210204f50f7cb731946339920fcd6c9df8d0a9fd36b822d05fc49492d,fc62a9a8d143e577d5cff41959a920990c70b66428d968d843b2c743b04972ef,conv-41,67,4,1,0,True,1,1,1,16000,16000,True,True,42,1,True,True,46,1,True,True,42,1,True,True,42,1,15974,15990,15952,15952,32,14,0,0,29,13,29,13,k,k,k
b8bc0e905715cdbcf2ab7bb2f8defeee076ab3e3512ad83c6b44d734c8e64455,0334e2eb8d0668577e748e9e0d3bc7a8bd4aa6ca23d1f56e11702f1aa42bbc38,conv-41,68,4,1,0,True,1,1,1,16000,16000,True,True,44,1,True,True,46,1,True,True,42,1,True,True,42,1,15952,15833,15909,15909,32,14,0,0,28,14,28,14,k,k,k
4b524ab97ad92c975195c175eaeee2369cf22d814c49fb19e16d80813f38156e,e81210f00ca012dcc6bb754d74fe4584e9af987e930e1507b20f8f335bd37349,conv-41,69,4,1,0,True,1,1,1,16000,16000,True,True,42,1,True,True,45,1,True,True,41,1,True,True,41,1,15972,15988,15938,15938,32,13,0,0,37,4,37,4,k,k,k
472cff1f39f563b30261e9ce91f3d06455e2d8529de1ceb5cad6c4ef05cb64eb,bf4642526c4a3c0b6ca69af5c1e8fbf0ac6be0d31374e0dee2d8c2ccba684c5b,conv-41,70,4,1,0,True,1,1,1,16000,16000,True,True,49,1,True,True,49,1,True,True,47,1,True,True,47,1,15988,15889,15867,15867,32,17,0,0,46,1,46,1,k,k,k
1c5f12227666a19e7cade34d74a69ec8f8a985cfc6f633b27c78f7de40872783,4d965f2cfcb9610af13c4bd1c8227061c06228e1bb221146d34d74ee73881572,conv-41,71,4,1,0,True,1,1,1,16000,16000,True,True,47,1,True,True,48,1,True,True,47,1,True,True,47,1,15991,15980,15942,15942,32,16,0,0,41,6,41,6,k,k,k
c680a0c7ab5e45bee663dad99784805b7ddc6580fbeae4a9dc740cd2d7933771,942bcc675c06a0f8237617795cc77cd8b43f6cec267908608d2724340f5f654d,conv-41,72,4,1,0,True,1,3,3,16000,16000,True,True,41,1,True,True,47,1,True,True,45,1,True,True,40,1,15988,15890,15953,15878,32,15,0,0,45,0,40,0,k,k,k
f6beb86d834a79752f10413efd4ca0355c1b6b55ad2589c1017e44c894011932,fba3a9d74af8a86713d9fec06fb69e38364d05d54307878841e7952a261c74d8,conv-41,73,4,1,0,True,1,1,1,16000,16000,True,True,43,1,True,True,48,1,True,True,43,1,True,True,43,1,15977,15916,15905,15977,32,15,1,0,43,0,42,1,k,k,k
