item_id,arm_id,study,arm,question,turns,raw_chars,scoreable_chars,empty,has_reasoning,unclosed_reasoning,truncated,no_answer,original_score,facts_found,facts_total,flags,response_path,score_path,raw_facts_found
s001_full_context_q4,s001_full_context,1,full_context,Q4,26,254,184,False,True,False,False,False,1.0,2,2,,experiments/study_001/runs/run_001/full_context/rubric/responses.md,experiments/study_001/runs/run_001/full_context/rubric/scores.md,2
s001_full_context_q5,s001_full_context,1,full_context,Q5,28,2978,187,False,True,False,False,False,1.0,2,2,,experiments/study_001/runs/run_001/full_context/rubric/responses.md,experiments/study_001/runs/run_001/full_context/rubric/scores.md,2
s001_full_context_q6,s001_full_context,1,full_context,Q6,20,198,179,False,True,False,False,False,1.0,1,1,,experiments/study_001/runs/run_001/full_context/rubric/responses.md,experiments/study_001/runs/run_001/full_context/rubric/scores.md,1
s001_full_context_q7,s001_full_context,1,full_context,Q7,31,306,238,False,True,False,False,False,1.0,1,1,,experiments/study_001/runs/run_001/full_context/rubric/responses.md,experiments/study_001/runs/run_001/full_context/rubric/scores.md,1
s001_full_context_q8,s001_full_context,1,full_context,Q8,32,2127,2059,False,True,False,False,False,1.0,6,6,,experiments/study_001/runs/run_001/full_context/rubric/responses.md,experiments/study_001/runs/run_001/full_context/rubric/scores.md,6
s001_full_context_q9,s001_full_context,1,full_context,Q9,27,508,438,False,True,False,False,False,1.0,2,2,,experiments/study_001/runs/run_001/full_context/rubric/responses.md,experiments/study_001/runs/run_001/full_context/rubric/scores.md,2
s001_full_context_q10,s001_full_context,1,full_context,Q10,"25,26,27,28,29,30,31,32",7057,3784,False,True,False,False,False,1.0,2,2,,experiments/study_001/runs/run_001/full_context/rubric/responses.md,experiments/study_001/runs/run_001/full_context/rubric/scores.md,2
s001_compaction_q1,s001_compaction,1,compaction,Q1,25,4675,68,False,False,False,False,False,1.0,1,1,,experiments/study_001/runs/run_001/compaction/rubric/responses.md,experiments/study_001/runs/run_001/compaction/rubric/scores.md,1
s001_compaction_q2,s001_compaction,1,compaction,Q2,30,655,587,False,True,False,False,False,0.5,1,2,F2,experiments/study_001/runs/run_001/compaction/rubric/responses.md,experiments/study_001/runs/run_001/compaction/rubric/scores.md,1
s001_compaction_q3,s001_compaction,1,compaction,Q3,29,838,768,False,True,False,False,False,0.0,0,1,,experiments/study_001/runs/run_001/compaction/rubric/responses.md,experiments/study_001/runs/run_001/compaction/rubric/scores.md,0
s001_compaction_q4,s001_compaction,1,compaction,Q4,26,5083,545,False,True,True,True,False,1.0,2,2,F1,experiments/study_001/runs/run_001/compaction/rubric/responses.md,experiments/study_001/runs/run_001/compaction/rubric/scores.md,2
s001_compaction_q5,s001_compaction,1,compaction,Q5,28,1167,1097,False,True,False,False,False,0.0,0,2,,experiments/study_001/runs/run_001/compaction/rubric/responses.md,experiments/study_001/runs/run_001/compaction/rubric/scores.md,0
s001_compaction_q6,s001_compaction,1,compaction,Q6,20,4565,131,False,True,True,True,False,0.0,0,1,,experiments/study_001/runs/run_001/compaction/rubric/responses.md,experiments/study_001/runs/run_001/compaction/rubric/scores.md,0
s001_compaction_q7,s001_compaction,1,compaction,Q7,31,858,788,False,True,False,False,False,0.0,1,1,F4,experiments/study_001/runs/run_001/compaction/rubric/responses.md,experiments/study_001/runs/run_001/compaction/rubric/scores.md,1
s001_compaction_q8,s001_compaction,1,compaction,Q8,32,1071,1003,False,True,False,False,False,0.0,3,6,,experiments/study_001/runs/run_001/compaction/rubric/responses.md,experiments/study_001/runs/run_001/compaction/rubric/scores.md,3
s001_compaction_q9,s001_compaction,1,compaction,Q9,27,424,354,False,True,False,False,False,1.0,2,2,,experiments/study_001/runs/run_001/compaction/rubric/responses.md,experiments/study_001/runs/run_001/compaction/rubric/scores.md,2
s001_compaction_q10,s001_compaction,1,compaction,Q10,"25,26,27,28,29,30,31,32",14785,5224,False,True,True,True,False,0.0,2,2,,experiments/study_001/runs/run_001/compaction/rubric/responses.md,experiments/study_001/runs/run_001/compaction/rubric/scores.md,2
s002_c_q1,s002_c,2,C_iterative,Q1,112,2223,149,False,True,False,False,False,1.0,2,2,,experiments/study_002/runs/run_001/iterative/rubric/responses.md,experiments/study_002/runs/run_001/iterative/rubric/scores.md,2
s002_c_q2,s002_c,2,C_iterative,Q2,113,246,176,False,True,False,False,False,1.0,2,2,,experiments/study_002/runs/run_001/iterative/rubric/responses.md,experiments/study_002/runs/run_001/iterative/rubric/scores.md,2
s002_c_q3,s002_c,2,C_iterative,Q3,114,553,483,False,True,False,False,False,1.0,2,2,,experiments/study_002/runs/run_001/iterative/rubric/responses.md,experiments/study_002/runs/run_001/iterative/rubric/scores.md,2
s002_c_q4,s002_c,2,C_iterative,Q4,115,372,302,False,True,False,False,False,1.0,4,4,,experiments/study_002/runs/run_001/iterative/rubric/responses.md,experiments/study_002/runs/run_001/iterative/rubric/scores.md,4
s002_c_q5,s002_c,2,C_iterative,Q5,116,4386,0,False,True,True,True,True,1.0,0,2,F1;F2;F4,experiments/study_002/runs/run_001/iterative/rubric/responses.md,experiments/study_002/runs/run_001/iterative/rubric/scores.md,2
s002_c_q6,s002_c,2,C_iterative,Q6,117,4444,1959,False,True,False,False,False,1.0,3,3,,experiments/study_002/runs/run_001/iterative/rubric/responses.md,experiments/study_002/runs/run_001/iterative/rubric/scores.md,3
s002_c_q7,s002_c,2,C_iterative,Q7,118,4538,0,False,True,True,True,True,1.0,0,4,F1;F2;F4,experiments/study_002/runs/run_001/iterative/rubric/responses.md,experiments/study_002/runs/run_001/iterative/rubric/scores.md,1
s002_c_q8,s002_c,2,C_iterative,Q8,119,1934,809,False,True,False,False,False,1.0,1,2,F2;F4,experiments/study_002/runs/run_001/iterative/rubric/responses.md,experiments/study_002/runs/run_001/iterative/rubric/scores.md,1
s002_c_q9,s002_c,2,C_iterative,Q9,117,4444,1959,False,True,False,False,False,1.0,2,2,,experiments/study_002/runs/run_001/iterative/rubric/responses.md,experiments/study_002/runs/run_001/iterative/rubric/scores.md,2
s002_c_q10,s002_c,2,C_iterative,Q10,118,4538,0,False,True,True,True,True,1.0,0,2,F1;F2,experiments/study_002/runs/run_001/iterative/rubric/responses.md,experiments/study_002/runs/run_001/iterative/rubric/scores.md,1
s002_c_q11,s002_c,2,C_iterative,Q11,120,3979,0,False,True,True,True,True,1.0,0,17,F1;F2;F3;F4,experiments/study_002/runs/run_001/iterative/rubric/responses.md,experiments/study_002/runs/run_001/iterative/rubric/scores.md,5
s002_c_q12,s002_c,2,C_iterative,Q12,114,553,483,False,True,False,False,False,1.0,2,2,,experiments/study_002/runs/run_001/iterative/rubric/responses.md,experiments/study_002/runs/run_001/iterative/rubric/scores.md,2
s002_c_q13,s002_c,2,C_iterative,Q13,"112,113,114,115,116,117,118,119,120",22691,3888,False,True,True,True,False,1.0,1,1,,experiments/study_002/runs/run_001/iterative/rubric/responses.md,experiments/study_002/runs/run_001/iterative/rubric/scores.md,1
s002_a_q1,s002_a,2,A_full_context,Q1,112,1022,0,False,True,True,True,True,0.0,0,2,,experiments/study_002/runs/run_001/full_context/rubric/responses.md,experiments/study_002/runs/run_001/full_context/rubric/scores.md,2
s002_a_q2,s002_a,2,A_full_context,Q2,113,4444,47,False,True,False,False,False,0.0,1,2,F4,experiments/study_002/runs/run_001/full_context/rubric/responses.md,experiments/study_002/runs/run_001/full_context/rubric/scores.md,2
s002_a_q3,s002_a,2,A_full_context,Q3,114,404,334,False,True,False,False,False,1.0,2,2,,experiments/study_002/runs/run_001/full_context/rubric/responses.md,experiments/study_002/runs/run_001/full_context/rubric/scores.md,2
s002_a_q4,s002_a,2,A_full_context,Q4,115,305,235,False,True,False,False,False,1.0,4,4,,experiments/study_002/runs/run_001/full_context/rubric/responses.md,experiments/study_002/runs/run_001/full_context/rubric/scores.md,4
s002_a_q5,s002_a,2,A_full_context,Q5,116,440,0,False,True,True,True,True,0.0,0,2,,experiments/study_002/runs/run_001/full_context/rubric/responses.md,experiments/study_002/runs/run_001/full_context/rubric/scores.md,2
s002_a_q6,s002_a,2,A_full_context,Q6,117,500,0,False,True,True,True,True,0.0,0,3,,experiments/study_002/runs/run_001/full_context/rubric/responses.md,experiments/study_002/runs/run_001/full_context/rubric/scores.md,3
s002_a_q7,s002_a,2,A_full_context,Q7,118,371,301,False,True,False,False,False,1.0,3,4,F2;F4,experiments/study_002/runs/run_001/full_context/rubric/responses.md,experiments/study_002/runs/run_001/full_context/rubric/scores.md,3
s002_a_q8,s002_a,2,A_full_context,Q8,119,538,0,False,True,True,True,True,0.0,0,2,,experiments/study_002/runs/run_001/full_context/rubric/responses.md,experiments/study_002/runs/run_001/full_context/rubric/scores.md,2
s002_a_q9,s002_a,2,A_full_context,Q9,117,500,0,False,True,True,True,True,1.0,0,2,F1,experiments/study_002/runs/run_001/full_context/rubric/responses.md,experiments/study_002/runs/run_001/full_context/rubric/scores.md,2
s002_a_q10,s002_a,2,A_full_context,Q10,118,371,301,False,True,False,False,False,1.0,1,2,,experiments/study_002/runs/run_001/full_context/rubric/responses.md,experiments/study_002/runs/run_001/full_context/rubric/scores.md,1
s002_a_q11,s002_a,2,A_full_context,Q11,120,3491,3421,False,True,False,False,False,1.0,17,17,,experiments/study_002/runs/run_001/full_context/rubric/responses.md,experiments/study_002/runs/run_001/full_context/rubric/scores.md,17
s002_a_q12,s002_a,2,A_full_context,Q12,114,404,334,False,True,False,False,False,1.0,2,2,,experiments/study_002/runs/run_001/full_context/rubric/responses.md,experiments/study_002/runs/run_001/full_context/rubric/scores.md,2
s002_a_q13,s002_a,2,A_full_context,Q13,"112,113,114,115,116,117,118,119,120",11531,4346,False,True,True,True,False,1.0,1,1,,experiments/study_002/runs/run_001/full_context/rubric/responses.md,experiments/study_002/runs/run_001/full_context/rubric/scores.md,1
s002_b_q1,s002_b,2,B_compaction,Q1,112,4353,44,False,True,True,True,False,0.0,0,2,,experiments/study_002/runs/run_001/compaction/rubric/responses.md,experiments/study_002/runs/run_001/compaction/rubric/scores.md,0
s002_b_q2,s002_b,2,B_compaction,Q2,113,49,0,False,False,False,True,True,0.0,0,2,,experiments/study_002/runs/run_001/compaction/rubric/responses.md,experiments/study_002/runs/run_001/compaction/rubric/scores.md,0
s002_b_q3,s002_b,2,B_compaction,Q3,114,769,708,False,False,False,False,False,1.0,2,2,,experiments/study_002/runs/run_001/compaction/rubric/responses.md,experiments/study_002/runs/run_001/compaction/rubric/scores.md,2
s002_b_q4,s002_b,2,B_compaction,Q4,115,4283,0,False,True,True,True,True,0.0,0,4,,experiments/study_002/runs/run_001/compaction/rubric/responses.md,experiments/study_002/runs/run_001/compaction/rubric/scores.md,1
s002_b_q5,s002_b,2,B_compaction,Q5,116,687,626,False,False,False,False,False,0.0,0,2,,experiments/study_002/runs/run_001/compaction/rubric/responses.md,experiments/study_002/runs/run_001/compaction/rubric/scores.md,0
s002_b_q6,s002_b,2,B_compaction,Q6,117,4454,0,False,True,True,True,True,0.0,0,3,,experiments/study_002/runs/run_001/compaction/rubric/responses.md,experiments/study_002/runs/run_001/compaction/rubric/scores.md,3
s002_b_q7,s002_b,2,B_compaction,Q7,118,3935,3876,False,False,False,False,False,0.0,1,4,,experiments/study_002/runs/run_001/compaction/rubric/responses.md,experiments/study_002/runs/run_001/compaction/rubric/scores.md,1
s002_b_q8,s002_b,2,B_compaction,Q8,119,4516,0,False,True,True,True,True,0.0,0,2,,experiments/study_002/runs/run_001/compaction/rubric/responses.md,experiments/study_002/runs/run_001/compaction/rubric/scores.md,1
s002_b_q9,s002_b,2,B_compaction,Q9,117,4454,0,False,True,True,True,True,0.0,0,2,,experiments/study_002/runs/run_001/compaction/rubric/responses.md,experiments/study_002/runs/run_001/compaction/rubric/scores.md,2
s002_b_q10,s002_b,2,B_compaction,Q10,118,3935,3876,False,False,False,False,False,0.0,1,2,,experiments/study_002/runs/run_001/compaction/rubric/responses.md,experiments/study_002/runs/run_001/compaction/rubric/scores.md,1
s002_b_q11,s002_b,2,B_compaction,Q11,120,4932,0,False,True,True,True,True,0.0,0,17,,experiments/study_002/runs/run_001/compaction/rubric/responses.md,experiments/study_002/runs/run_001/compaction/rubric/scores.md,0
s002_b_q12,s002_b,2,B_compaction,Q12,114,769,708,False,False,False,False,False,1.0,2,2,,experiments/study_002/runs/run_001/compaction/rubric/responses.md,experiments/study_002/runs/run_001/compaction/rubric/scores.md,2
s002_b_q13,s002_b,2,B_compaction,Q13,"112,113,114,115,116,117,118,119,120",27994,5260,False,True,True,True,False,0.0,1,1,,experiments/study_002/runs/run_001/compaction/rubric/responses.md,experiments/study_002/runs/run_001/compaction/rubric/scores.md,1
s003_accepted_q1,s003_accepted,3,accepted,Q1,112,68,68,False,False,False,False,False,1.0,2,2,,experiments/study_003/runs/run_001/condition_c/rubric/responses.md,experiments/study_003/runs/run_001/condition_c/rubric/scores.md,2
s003_accepted_q2,s003_accepted,3,accepted,Q2,113,95,95,False,False,False,False,False,1.0,2,2,,experiments/study_003/runs/run_001/condition_c/rubric/responses.md,experiments/study_003/runs/run_001/condition_c/rubric/scores.md,2
s003_accepted_q3,s003_accepted,3,accepted,Q3,114,365,365,False,False,False,False,False,1.0,2,2,,experiments/study_003/runs/run_001/condition_c/rubric/responses.md,experiments/study_003/runs/run_001/condition_c/rubric/scores.md,2
s003_accepted_q4,s003_accepted,3,accepted,Q4,115,146,146,False,False,False,False,False,1.0,4,4,,experiments/study_003/runs/run_001/condition_c/rubric/responses.md,experiments/study_003/runs/run_001/condition_c/rubric/scores.md,4
s003_accepted_q5,s003_accepted,3,accepted,Q5,116,509,509,False,False,False,False,False,1.0,2,2,,experiments/study_003/runs/run_001/condition_c/rubric/responses.md,experiments/study_003/runs/run_001/condition_c/rubric/scores.md,2
s003_accepted_q6,s003_accepted,3,accepted,Q6,117,2434,2434,False,False,False,False,False,1.0,3,3,,experiments/study_003/runs/run_001/condition_c/rubric/responses.md,experiments/study_003/runs/run_001/condition_c/rubric/scores.md,3
s003_accepted_q7,s003_accepted,3,accepted,Q7,118,424,424,False,False,False,False,False,1.0,4,4,,experiments/study_003/runs/run_001/condition_c/rubric/responses.md,experiments/study_003/runs/run_001/condition_c/rubric/scores.md,4
s003_accepted_q8,s003_accepted,3,accepted,Q8,119,1149,1149,False,False,False,False,False,1.0,1,2,F4,experiments/study_003/runs/run_001/condition_c/rubric/responses.md,experiments/study_003/runs/run_001/condition_c/rubric/scores.md,1
s003_accepted_q9,s003_accepted,3,accepted,Q9,117,149,149,False,False,False,False,False,1.0,0,2,,experiments/study_003/runs/run_001/condition_c/rubric/responses.md,experiments/study_003/runs/run_001/condition_c/rubric/scores.md,0
s003_accepted_q10,s003_accepted,3,accepted,Q10,118,147,147,False,False,False,False,False,1.0,0,2,F2,experiments/study_003/runs/run_001/condition_c/rubric/responses.md,experiments/study_003/runs/run_001/condition_c/rubric/scores.md,0
s003_accepted_q11,s003_accepted,3,accepted,Q11,120,1102,1102,False,False,False,False,False,0.0,6,17,,experiments/study_003/runs/run_001/condition_c/rubric/responses.md,experiments/study_003/runs/run_001/condition_c/rubric/scores.md,6
s003_accepted_q12,s003_accepted,3,accepted,Q12,114,161,161,False,False,False,False,False,1.0,0,2,F4,experiments/study_003/runs/run_001/condition_c/rubric/responses.md,experiments/study_003/runs/run_001/condition_c/rubric/scores.md,0
s003_accepted_q13,s003_accepted,3,accepted,Q13,"112,113,114,115,116,117,118,119,120",119,119,False,False,False,False,False,1.0,0,1,,experiments/study_003/runs/run_001/condition_c/rubric/responses.md,experiments/study_003/runs/run_001/condition_c/rubric/scores.md,0
s004_treatment_q1,s004_treatment,4,treatment,Q1,112,238,187,False,False,False,False,False,1.0,2,2,,experiments/study_004/runs/study_004_full_002/condition_c/rubric/responses.md,experiments/study_004/runs/study_004_full_002/condition_c/rubric/scores.md,2
s004_treatment_q2,s004_treatment,4,treatment,Q2,113,214,163,False,False,False,False,False,1.0,2,2,,experiments/study_004/runs/study_004_full_002/condition_c/rubric/responses.md,experiments/study_004/runs/study_004_full_002/condition_c/rubric/scores.md,2
s004_treatment_q3,s004_treatment,4,treatment,Q3,114,554,503,False,False,False,False,False,1.0,2,2,,experiments/study_004/runs/study_004_full_002/condition_c/rubric/responses.md,experiments/study_004/runs/study_004_full_002/condition_c/rubric/scores.md,2
s004_treatment_q4,s004_treatment,4,treatment,Q4,115,735,684,False,False,False,False,False,0.0,1,4,,experiments/study_004/runs/study_004_full_002/condition_c/rubric/responses.md,experiments/study_004/runs/study_004_full_002/condition_c/rubric/scores.md,1
s004_treatment_q5,s004_treatment,4,treatment,Q5,116,1716,1665,False,False,False,False,False,0.0,0,2,,experiments/study_004/runs/study_004_full_002/condition_c/rubric/responses.md,experiments/study_004/runs/study_004_full_002/condition_c/rubric/scores.md,0
s004_treatment_q6,s004_treatment,4,treatment,Q6,117,2402,2351,False,False,False,False,False,0.0,3,3,,experiments/study_004/runs/study_004_full_002/condition_c/rubric/responses.md,experiments/study_004/runs/study_004_full_002/condition_c/rubric/scores.md,3
s004_treatment_q7,s004_treatment,4,treatment,Q7,118,2086,2035,False,False,False,False,False,0.0,1,4,,experiments/study_004/runs/study_004_full_002/condition_c/rubric/responses.md,experiments/study_004/runs/study_004_full_002/condition_c/rubric/scores.md,1
s004_treatment_q8,s004_treatment,4,treatment,Q8,119,1434,1383,False,False,False,False,False,1.0,1,2,F4,experiments/study_004/runs/study_004_full_002/condition_c/rubric/responses.md,experiments/study_004/runs/study_004_full_002/condition_c/rubric/scores.md,1
s004_treatment_q9,s004_treatment,4,treatment,Q9,117,2402,2351,False,False,False,False,False,1.0,2,2,,experiments/study_004/runs/study_004_full_002/condition_c/rubric/responses.md,experiments/study_004/runs/study_004_full_002/condition_c/rubric/scores.md,2
s004_treatment_q10,s004_treatment,4,treatment,Q10,118,2086,2035,False,False,False,False,False,0.0,1,2,,experiments/study_004/runs/study_004_full_002/condition_c/rubric/responses.md,experiments/study_004/runs/study_004_full_002/condition_c/rubric/scores.md,1
s004_treatment_q11,s004_treatment,4,treatment,Q11,120,3434,3383,False,False,False,False,False,0.0,7,17,,experiments/study_004/runs/study_004_full_002/condition_c/rubric/responses.md,experiments/study_004/runs/study_004_full_002/condition_c/rubric/scores.md,7
s004_treatment_q12,s004_treatment,4,treatment,Q12,114,554,503,False,False,False,False,False,1.0,2,2,,experiments/study_004/runs/study_004_full_002/condition_c/rubric/responses.md,experiments/study_004/runs/study_004_full_002/condition_c/rubric/scores.md,2
s004_treatment_q13,s004_treatment,4,treatment,Q13,"112,113,114,115,116,117,118,119,120",12829,12370,False,False,False,False,False,1.0,1,1,,experiments/study_004/runs/study_004_full_002/condition_c/rubric/responses.md,experiments/study_004/runs/study_004_full_002/condition_c/rubric/scores.md,1
s004_treatment_q14,s004_treatment,4,treatment,Q14,121,1038,987,False,False,False,False,False,0.0,3,23,,experiments/study_004/runs/study_004_full_002/condition_c/rubric/responses.md,experiments/study_004/runs/study_004_full_002/condition_c/rubric/scores.md,3
s004_control_q1,s004_control,4,v3_control,Q1,112,493,353,False,False,False,False,False,1.0,2,2,,experiments/study_004/controls/v3_same_settings/v3_control_002/iterative/rubric/responses.md,experiments/study_004/controls/v3_same_settings/v3_control_002/iterative/rubric/scores.md,2
s004_control_q2,s004_control,4,v3_control,Q2,113,146,95,False,False,False,False,False,1.0,2,2,,experiments/study_004/controls/v3_same_settings/v3_control_002/iterative/rubric/responses.md,experiments/study_004/controls/v3_same_settings/v3_control_002/iterative/rubric/scores.md,2
s004_control_q3,s004_control,4,v3_control,Q3,114,656,605,False,False,False,False,False,1.0,2,2,,experiments/study_004/controls/v3_same_settings/v3_control_002/iterative/rubric/responses.md,experiments/study_004/controls/v3_same_settings/v3_control_002/iterative/rubric/scores.md,2
s004_control_q4,s004_control,4,v3_control,Q4,115,339,288,False,False,False,False,False,1.0,4,4,,experiments/study_004/controls/v3_same_settings/v3_control_002/iterative/rubric/responses.md,experiments/study_004/controls/v3_same_settings/v3_control_002/iterative/rubric/scores.md,4
s004_control_q5,s004_control,4,v3_control,Q5,116,1237,1186,False,False,False,False,False,0.0,0,2,,experiments/study_004/controls/v3_same_settings/v3_control_002/iterative/rubric/responses.md,experiments/study_004/controls/v3_same_settings/v3_control_002/iterative/rubric/scores.md,0
s004_control_q6,s004_control,4,v3_control,Q6,117,1425,1374,False,False,False,False,False,1.0,3,3,,experiments/study_004/controls/v3_same_settings/v3_control_002/iterative/rubric/responses.md,experiments/study_004/controls/v3_same_settings/v3_control_002/iterative/rubric/scores.md,3
s004_control_q7,s004_control,4,v3_control,Q7,118,528,477,False,False,False,False,False,1.0,3,4,F4,experiments/study_004/controls/v3_same_settings/v3_control_002/iterative/rubric/responses.md,experiments/study_004/controls/v3_same_settings/v3_control_002/iterative/rubric/scores.md,3
s004_control_q8,s004_control,4,v3_control,Q8,119,1243,1192,False,False,False,False,False,1.0,1,2,F4,experiments/study_004/controls/v3_same_settings/v3_control_002/iterative/rubric/responses.md,experiments/study_004/controls/v3_same_settings/v3_control_002/iterative/rubric/scores.md,1
s004_control_q9,s004_control,4,v3_control,Q9,117,1425,1374,False,False,False,False,False,1.0,2,2,,experiments/study_004/controls/v3_same_settings/v3_control_002/iterative/rubric/responses.md,experiments/study_004/controls/v3_same_settings/v3_control_002/iterative/rubric/scores.md,2
s004_control_q10,s004_control,4,v3_control,Q10,118,528,477,False,False,False,False,False,1.0,1,2,F2,experiments/study_004/controls/v3_same_settings/v3_control_002/iterative/rubric/responses.md,experiments/study_004/controls/v3_same_settings/v3_control_002/iterative/rubric/scores.md,1
s004_control_q11,s004_control,4,v3_control,Q11,120,1263,1212,False,False,False,False,False,0.0,6,17,,experiments/study_004/controls/v3_same_settings/v3_control_002/iterative/rubric/responses.md,experiments/study_004/controls/v3_same_settings/v3_control_002/iterative/rubric/scores.md,6
s004_control_q12,s004_control,4,v3_control,Q12,114,656,605,False,False,False,False,False,1.0,2,2,,experiments/study_004/controls/v3_same_settings/v3_control_002/iterative/rubric/responses.md,experiments/study_004/controls/v3_same_settings/v3_control_002/iterative/rubric/scores.md,2
s004_control_q13,s004_control,4,v3_control,Q13,"112,113,114,115,116,117,118,119,120",7346,6798,False,False,False,False,False,1.0,1,1,,experiments/study_004/controls/v3_same_settings/v3_control_002/iterative/rubric/responses.md,experiments/study_004/controls/v3_same_settings/v3_control_002/iterative/rubric/scores.md,1
s004_control_q14,s004_control,4,v3_control,Q14,121,1429,1378,False,False,False,False,False,0.0,5,23,,experiments/study_004/controls/v3_same_settings/v3_control_002/iterative/rubric/responses.md,experiments/study_004/controls/v3_same_settings/v3_control_002/iterative/rubric/scores.md,5
s005_treatment_q1,s005_treatment,5,treatment,Q1,112,132,81,False,False,False,False,False,1.0,2,2,,experiments/study_005/runs/study_005_full_001/condition_c/rubric/responses.md,experiments/study_005/runs/study_005_full_001/condition_c/rubric/scores.md,2
s005_treatment_q2,s005_treatment,5,treatment,Q2,113,159,108,False,False,False,False,False,1.0,2,2,,experiments/study_005/runs/study_005_full_001/condition_c/rubric/responses.md,experiments/study_005/runs/study_005_full_001/condition_c/rubric/scores.md,2
s005_treatment_q3,s005_treatment,5,treatment,Q3,114,419,368,False,False,False,False,False,1.0,2,2,,experiments/study_005/runs/study_005_full_001/condition_c/rubric/responses.md,experiments/study_005/runs/study_005_full_001/condition_c/rubric/scores.md,2
s005_treatment_q4,s005_treatment,5,treatment,Q4,115,297,246,False,False,False,False,False,1.0,4,4,,experiments/study_005/runs/study_005_full_001/condition_c/rubric/responses.md,experiments/study_005/runs/study_005_full_001/condition_c/rubric/scores.md,4
s005_treatment_q5,s005_treatment,5,treatment,Q5,116,1249,1198,False,False,False,False,False,0.5,0,2,F4,experiments/study_005/runs/study_005_full_001/condition_c/rubric/responses.md,experiments/study_005/runs/study_005_full_001/condition_c/rubric/scores.md,0
s005_treatment_q6,s005_treatment,5,treatment,Q6,117,1159,1108,False,False,False,False,False,1.0,3,3,,experiments/study_005/runs/study_005_full_001/condition_c/rubric/responses.md,experiments/study_005/runs/study_005_full_001/condition_c/rubric/scores.md,3
s005_treatment_q7,s005_treatment,5,treatment,Q7,118,877,826,False,False,False,False,False,1.0,4,4,,experiments/study_005/runs/study_005_full_001/condition_c/rubric/responses.md,experiments/study_005/runs/study_005_full_001/condition_c/rubric/scores.md,4
s005_treatment_q8,s005_treatment,5,treatment,Q8,119,2000,1949,False,False,False,False,False,0.5,1,2,F2,experiments/study_005/runs/study_005_full_001/condition_c/rubric/responses.md,experiments/study_005/runs/study_005_full_001/condition_c/rubric/scores.md,1
