question_id,question_content_sha256,sample_id,source_index,category,resolved_evidence_count,unresolved_evidence_count,complete_evaluable,evidence_episodes,flat_complete,tiered_complete,flat_any,tiered_any,flat_delivered,tiered_delivered,flat_chars,tiered_chars,tiered_recency,tiered_k,tiered_coverage,tiered_dropped,tiered_evidence_delivered,tiered_evidence_tiers,flat_evidence_delivered,flat_best_evidence_rank,flat_worst_evidence_rank,flat_budget_chars,tiered_budget_chars
714abed9c5552df1a31661a57382863fa09c65b44e7a6aa98821bd86dcedf176,5eeece77b73b3b99a49febc2a11622649b40ca3d4e524d98cec55b7c89b43b20,conv-41,13,2,1,0,True,1,True,True,True,True,95,94,31954,31876,32,1,61,25,1,k,1,1,1,32000,32000
6ddead46f2e3f732161f7599e1e00e98b45f1fd9c5cf00b6dfc48303ced391d1,a0227316f00906c1a2e0326f6541352b76a30222dda4aff21c7d8d9dc46ebdc2,conv-41,14,3,2,0,True,2,False,False,True,True,96,98,31917,31991,32,8,58,18,1,k,1,9,283,32000,32000
0f04797f3f9a63e1500e2cd1de89cc856bcdd79ae6810f1d3ede536dc11e9105,3495b422666f27db3e60ca2146328b73c5b8251c61f1a8eed4b35269148d0f76,conv-41,15,1,2,0,True,2,True,True,True,True,100,99,31979,31958,32,13,54,24,2,k,2,2,3,32000,32000
97606a4096fa4ad9c5b3c8ef0aa86a4601e7cbc88b83892857a996c7d2ce8e36,bf69e805b3d0b2190ed6eb136aaa8505df608859cb148fc1b496d3c90c945036,conv-41,16,2,1,0,True,1,True,True,True,True,98,99,31982,31973,32,5,62,18,1,coverage,1,14,14,32000,32000
6c7d20b33db076d64a3b02c3a3374170f6adb0b03975d00a3941b2d314bf9b4b,b3e638fe9a9dd1839f4c22c735e5b96d1db3d46cb766dc98a21899eaf8728ea4,conv-41,17,3,1,0,True,1,True,True,True,True,100,100,31947,31929,32,27,41,18,1,k,1,1,1,32000,32000
8996322a617d673c38966e19f5709b82732f2323224d4abeebc1d969359de3af,049c586c101e4a6593e630216eb2a92e9bcf25dd574a8d8ea1b1cdd756ca21a7,conv-41,18,1,2,0,True,2,True,True,True,True,95,98,31983,31997,32,32,34,19,2,k,2,3,6,32000,32000
bb66fff02fa85e5036144b7f929aa823f7ba9a8e8d116829306710ee1870496a,a325fe9c0f1d6e23c2c37dc4dcbc40243041ba53ea3bba057b89e665f74f308c,conv-41,19,1,2,0,True,2,True,True,True,True,105,103,32000,31998,32,11,60,22,2,coverage|k,2,2,18,32000,32000
9bec05e11003c1d8b835d64804d0520b5bba6d7d6f7f7643dc3d31a70844b7fb,e59f21aeb0233f80a3b11fadb236c3ca51b2c51f36c19b6c8f5fb773e7caaae5,conv-41,20,2,2,0,True,2,True,True,True,True,93,96,31984,31978,32,8,56,21,2,k,2,1,3,32000,32000
8c561bbaa9f46bef0528ee6e48edfd9e83bbc2ee19eb7644e2dda196f2188ef6,4eea2132d22eb92211fdcbdf4c1b7cd4be266d26baab4d8992c55fdd8ff5136a,conv-41,21,1,2,0,True,2,True,True,True,True,97,97,31899,31949,32,21,44,23,2,k,2,1,5,32000,32000
ed0317028cb6b2a34fbf1078c280bf61740133cba018028c2cb1ac0a1e4c6c20,b5ca38c3383223111b64dd490423bd189b419cda6685e3a1856844dc56b800d7,conv-41,22,2,1,0,True,1,True,True,True,True,93,91,31995,31992,32,21,38,25,1,k,1,1,1,32000,32000
ba47fd791ad22031773f7f79bcea62386893b0814976b70d85be47b7fd552c79,17d6b01434f5173497c2c93b666413ffefe2c7c6feca3bd50fc3839fe35fc0e3,conv-41,23,1,2,0,True,2,True,True,True,True,101,100,31991,31962,32,11,57,24,2,k,2,1,2,32000,32000
c3c975d4a2c1c5861466968b73713667362225314ada1d2aeebb693134fb0957,765a36856fc254e3937821c1261dbd8f4c500d43d5de9eb2fe46ff1113215477,conv-41,24,2,1,0,True,1,True,True,True,True,91,92,31938,31928,32,7,53,18,1,k,1,1,1,32000,32000
4ce72206d70eb2010ed5fae4597ec37dbe0621e80aebe7151c724290bf094855,98c64c43a24ade754f876e7657567183ddb78e1f5082508a87d3c3971bdffe5a,conv-41,25,1,2,0,True,2,True,True,True,True,101,100,31920,31900,32,11,57,25,2,coverage,2,12,27,32000,32000
8f9ae358d6e7e92632040ed791454da76fbc27d176b9b7a7a30813a7622c46dd,a0cb742f95ec2627053b9f0d22110ae1be1f765fa4f1f576eac716fe06a23018,conv-41,26,1,2,0,True,2,True,True,True,True,95,95,31954,32000,32,63,0,33,2,k,2,1,6,32000,32000
b775fcf9187bb1dc5eea4a1054905ad24e76b2bfa4a9e7fd83b8cd39592cac01,dedf94dbe4ecdd6d06fc72a4c3dd6837a6add52c262e8c550196b99bbc767abf,conv-41,27,2,1,0,True,1,True,True,True,True,91,92,31940,31974,32,38,22,20,1,k,1,2,2,32000,32000
68dcf7b914ea80c711436fb87c227cd2bd44ec9a17b85697bc313a4c65537cf4,22e5e47ffbf569f46c4a593bc9f6458e291781689fdd969c3b17622dbc12c8ac,conv-41,28,1,4,0,True,4,True,True,True,True,92,93,31977,31965,32,61,0,47,4,k,4,4,71,32000,32000
bc458224e5cc9ef5bf9502afddc64f03a586be6c1360d3fc134b59a782f5c7cb,5893dda15d5af484c59650522b4760c2c87fba3230e97974fba2357859a894d1,conv-41,29,1,2,0,True,2,True,False,True,False,89,92,31914,31980,32,60,0,106,0,,2,1,11,32000,32000
c3e701757745a0d59758ddfdba3b30cee5f796e4f3cc76c680e828900aa4d92e,16092a0b2dc1a73caac2f666a0095cc14e8968c9047139be54272dc4a52b27b3,conv-41,30,1,3,0,True,3,True,True,True,True,92,90,31997,31989,32,58,0,23,3,k,3,16,31,32000,32000
3b5dc4d18f50976d41d4ef970a071ab24af511fa02026af72ae1e4a8fe96a605,c27270129c3d883f282c4bb583cbf23a1eed2aced5aa828ad81730d85b3e5239,conv-41,31,2,1,0,True,1,True,True,True,True,102,101,31991,31968,32,12,57,15,1,k,1,1,1,32000,32000
8a982417a511195efbb0a9fc06208995f8abc361f4b74e525a1a2301c4db6186,c5a2249417469d0ec393debf30b1b2a550dff66b77d32a690722d20207ecc89e,conv-41,32,1,2,0,True,2,True,False,True,True,93,94,31991,31956,32,62,0,53,1,k,2,16,46,32000,32000
d60c0443cbb6217ed2896f9380bddb5be55c2cb232285ccdc244b9f929ce01e2,a329234d9c9f2e32611ce699a65490383172bb0119bbc4d2733b3dd849f55d52,conv-41,33,1,3,0,True,3,True,True,True,True,96,95,31973,31981,32,17,46,27,3,k,3,1,4,32000,32000
152edafcfaccb80100fedd9618fb0d8bef7d39157fa916ec7a908ef7c3f6f27f,cc32d901f2df3bea99f5dc55cf30d77dca157d23a2aae4d1a25576cd3f4a4feb,conv-41,34,2,1,0,True,1,True,True,True,True,94,94,31971,31996,32,49,13,24,1,k,1,1,1,32000,32000
ad72d579039ea181d479ecb838e1d562952c69ccf832608256f0dcf58a9faf1d,1f567b66861808adde4d53fa31f691449d2fcf4619ed40c270c09240d27f0b47,conv-41,35,1,2,0,True,2,True,True,True,True,98,97,31962,31972,32,19,46,23,2,k,2,1,4,32000,32000
d224277eceff24fcf743cb31d90c2296293719caab166da4fca15b1b3962b2b2,609e70e098575f304d9f86ce577685245f6355985aaedd447693b65d29ce7e7b,conv-41,36,1,2,0,True,2,True,True,True,True,95,97,31938,31944,32,12,53,23,2,k,2,1,11,32000,32000
c6d12ae10830d7054f9a8bfa6e109c37a3ce5571ce292916aa16dc6fc2760e2e,dd630484ec78b9b84394072d5fa075a4049bae33e82db108b040e8b048a6b5ed,conv-41,37,1,5,0,True,5,True,True,True,True,87,91,31981,31964,32,39,20,19,5,k,5,4,12,32000,32000
bd7fbfa7f1c6d80208462b78c7b7cdb646ad57a01230e87ac87250554c11fb30,b0cff0f246938ebd50819dbb0cb8be7895e1056e9cd03573ea18daf69a42a080,conv-41,38,2,1,0,True,1,True,False,True,False,92,92,31994,31938,32,15,45,25,0,,1,70,70,32000,32000
1a19d1712aad830025167a7eec6e7bb438396b956346b4f359ac16f12c6e71ae,3f859251bd1b3b077f18d085773144b9e1c2f1c6f4d70a117fa74f9942284d48,conv-41,39,3,1,0,True,1,True,True,True,True,92,91,31987,31889,32,18,41,27,1,coverage,1,49,49,32000,32000
e7351bea6186a9ab85c77ad84bab0c20098b1bb45415dbd676f8e18e16936bff,2b071d48f35bf823a46965b763fffb32148088838471e68ff1d6ad8b8a02ce66,conv-41,40,1,2,0,True,2,False,False,True,True,105,104,31861,31909,32,27,45,20,1,k,1,1,146,32000,32000
1617c689353d45ffb675cf8997cbb721c375af92eac8f9b6212c13f16c159593,62c9f47067a27449de4615123bb9626c372b6f00aeb48ffa2651314bf712e6d7,conv-41,41,3,1,0,True,1,True,False,True,False,103,103,31979,31937,32,32,39,16,0,,1,78,78,32000,32000
98c68d28bd72073b8335156b7e0fea200885bbe8eba096ed847f75c5fc1edddb,aa4408372c2ef793061da5f8484e9f65dcf3747dd7f6594f4aa2fae36473a993,conv-41,42,1,2,0,True,2,True,True,True,True,94,96,31967,31830,32,1,63,22,2,coverage|k,2,1,17,32000,32000
1b24de20447e3bd6d78d7361f25b869b2b22726f4b1a3f6bfa4115582b59e86e,50fca74a4e87dd72cd5e7e64926d0fe849f5dd78fc0ecf223f099f7ea42db139,conv-41,43,2,1,0,True,1,True,True,True,True,94,95,31992,31952,32,8,55,19,1,k,1,1,1,32000,32000
add82d28e06d3471718bbfd0c7e59110498a92f8e42bbdf957e5a1280f34d7a1,aa7bb8286c88c3c7043f32dd0594090335d53623ce943b9c9374e4aed27ba09b,conv-41,44,1,3,0,True,3,False,False,True,False,93,94,32000,31832,32,62,0,57,0,,2,3,274,32000,32000
c4bf69d7d06891f87c346b585f431847a897b337b49dbe2e45e05f88e593b64e,ac74b05d9739f8ce96af319aa8b722bc7dd41630b1488048ce17f47a3131b9f0,conv-41,45,3,2,0,True,2,False,False,True,False,100,102,31918,31998,32,32,38,16,0,,1,89,195,32000,32000
6c16f32fb892ddbc30e3e5634c866df598de30e09a47b7163d028d1bcce553d7,eea9e6707ae9d108aa5e55b0e0aec01be4404fd927c1b9aa99b2ac025da3fc9e,conv-41,46,2,1,0,True,1,True,True,True,True,91,90,31963,31917,32,42,16,29,1,k,1,17,17,32000,32000
7e400493e1f8e110a1b73d407bc503727fec99b6df5446d27f7a5b721cbd09a8,735841b1ccd3a563b94e9e7a0deb14f821ea0ebc16b2234172b4412cbdc5b478,conv-41,47,1,4,0,True,4,True,False,True,True,99,98,31901,31997,32,65,1,22,2,k,4,1,10,32000,32000
b332250b285864e5fca8925845e8a2e32c94fe270bdda8840c5d0ecd1e1a6774,de0e55c72bbd091e7b47f3683aa945ac7e131a9a69745c08c966df42149dd504,conv-41,48,2,1,0,True,1,True,True,True,True,90,93,31911,31976,32,1,60,21,1,k,1,1,1,32000,32000
181e2696c54db3a37a848421bd61d2caa5046ea51033b3dc68115f51812dcb5c,aacde86a86b53495c886295314c465bff2a5c98b5c67b642b1e89d9fdfe3d04e,conv-41,49,1,2,0,True,2,False,False,True,True,89,91,31928,31954,32,47,12,21,1,k,1,1,90,32000,32000
cc0f2b7067af957251ba161477f8e2703d43088d8f999332abd57df111afe014,e6898cbeabe95954033f41e39d22e68e4ddae20167d005facbb629efc8a1fb24,conv-41,50,3,4,0,True,4,False,False,False,False,106,105,31927,31894,32,21,52,21,0,,0,138,271,32000,32000
fc65d91d1c22d4d789c07a589802bc27dbaf2da242cefb9eaeb5b3628d223273,30851938f95c320048a6c51794d4289e1864d7f305d595d6a6fa00670bf1e484,conv-41,51,2,1,0,True,1,True,True,True,True,86,88,31960,31969,32,35,21,24,1,k,1,1,1,32000,32000
ea9de830c59aa8046b513492a5069d4059a487a4e563a42422888e26c0cbe975,db34877011f3686c87ea260eb34a8212f7ea5985eb599419657f2d26f66c5b57,conv-41,52,1,2,0,True,2,True,False,True,False,102,98,31924,31959,32,66,0,43,0,,2,1,7,32000,32000
b6a82c2eab3acda85ae7e9d6321d7be50fe13198c792398038278bf76017df5f,eec2f19c1575afd9d46c071fe7b2af39b4be025ff4b1decde262158b17d12a4a,conv-41,53,2,1,0,True,1,True,True,True,True,84,88,31926,31826,32,52,4,19,1,k,1,1,1,32000,32000
57cb78d9a8700d5254f53691ff26acf59bb2bbad1d2695b95514839c52b4bbf1,dc230e3cd7c37827068c5943ba8922bf52d95128f5d52fb28e8645597ea72a29,conv-41,54,2,1,0,True,1,True,True,True,True,89,92,31984,31894,32,60,0,22,1,k,1,10,10,32000,32000
d4f7248959751b17f2d7d3a760a579c652197af8c0337c2231bf6829d5ea29a5,f860c599e9223097132c622184db291c0a90fc3f44eb3610e354de23901e2787,conv-41,55,2,1,0,True,1,True,True,True,True,85,87,31951,31898,32,32,23,24,1,k,1,1,1,32000,32000
bc430a52ac972d69552399542570704ba156d837c332e113eecf0f0cecbb0731,e4d250ae610054aa0a1fc601abe7d2714d467ac8418b3e552d2f07b2c2341fa3,conv-41,56,2,2,0,True,2,True,True,True,True,87,89,31904,31948,32,31,26,22,2,k,2,1,6,32000,32000
62df22747c16d25cbd57d4bd3af9cc8f44183c952d735149636529e78ed7e8a8,3c799c6ae848b691bc91cc51c1d9d7be49bc8617b719773540ad3add0c81ffe6,conv-41,57,1,4,0,True,4,True,True,True,True,95,96,31990,31992,32,44,20,22,4,k,4,2,43,32000,32000
defbf87718c39d745b8eb64bee56a468d9d6212f5ddd501bb5c38500a608e4ac,8b448d1602a60d36e092ec25e30078dd27adef181c9816e5f8bffc9fb17d89e8,conv-41,58,2,1,0,True,1,True,True,True,True,101,100,31962,31914,32,44,24,22,1,k,1,1,1,32000,32000
28fe48b7a92fe2cf728a6c95ce4218f4c9c892dc3aacc53250bd4f535f3ceb6a,d5b93f3f2f950f0b3f173a82e173b682092e9099048c675a40ccabedc5d3e635,conv-41,59,2,1,0,True,1,True,True,True,True,98,95,31905,31878,32,14,49,24,1,recency,1,1,1,32000,32000
10d4b1e084bca3837b13a70c3d784b125e8306dd3ded7a453208bc5630b61be1,d8484d1a1ed146d46b5491845a737c152a3122cf4b4b2d99e4dbd9938285842f,conv-41,60,1,2,0,True,2,True,True,True,True,104,102,31988,31867,32,9,61,16,2,k|recency,2,1,2,32000,32000
36d93b76113ff436fca2d3dc6000320c5c7c072211eb585790088bf31f8c9eb0,64ed9aa6749cb2d94f5c4805c82666d1a37d78c818cea373bfb1121d1045a1c1,conv-41,61,2,1,0,True,1,True,True,True,True,97,96,31976,31994,32,4,60,19,1,recency,1,4,4,32000,32000
3f3ebfe03beaa28e909ecbae26e1aefd3ed79d3984c58c83d4feeacc80ac923d,360bf96784f60639ed630f6d0a6cc89233c60520fd8e97ac865f6efce8d02881,conv-41,62,1,2,0,True,2,True,True,True,True,86,88,31971,31989,32,12,44,16,2,k|recency,2,2,9,32000,32000
af3c9b2697cd74f1299778d1fd9b47d45bbe238357514de39d3f30646c8da82a,aa2aa5980f3b6d7e137eeff9e70ff0024645250ce5654fdbff9943907675d634,conv-41,63,2,2,0,True,2,True,True,True,True,96,94,31986,31846,32,6,56,19,2,k|recency,2,1,4,32000,32000
5f30487527c8d532f3b0cd5baec495674a10126b5003fef91554d12f1079ede3,34b2d8e2f7d9e192b5382f40d8f1e2fd818df08e67badc1b9a983adc849b0dd1,conv-41,64,3,4,0,True,4,False,False,False,True,99,97,31904,31999,32,45,20,24,1,recency,0,100,217,32000,32000
d994c5dbf79b3037e45ce749cb2f63074d734415df8d7065ee488748b1611b00,891fa05eb8cc1343e82d1fb2792c27acba3f0a89b7717dfaf34f698f506e473e,conv-41,65,4,1,0,True,1,True,True,True,True,92,92,31996,31940,32,33,27,20,1,k,1,5,5,32000,32000
7f71270f2886f58ad0db19a422a14f9f8b8859f20e5dcc4a636d1d44ee070920,d66cb6069bbe897fc26bb903d87259049aac11a7124e4b05c3948e26c31a42f6,conv-41,66,4,1,0,True,1,True,True,True,True,85,87,31998,31813,32,55,0,28,1,k,1,2,2,32000,32000
66b4152210204f50f7cb731946339920fcd6c9df8d0a9fd36b822d05fc49492d,fc62a9a8d143e577d5cff41959a920990c70b66428d968d843b2c743b04972ef,conv-41,67,4,1,0,True,1,True,True,True,True,88,91,31993,31985,32,24,35,20,1,k,1,1,1,32000,32000
b8bc0e905715cdbcf2ab7bb2f8defeee076ab3e3512ad83c6b44d734c8e64455,0334e2eb8d0668577e748e9e0d3bc7a8bd4aa6ca23d1f56e11702f1aa42bbc38,conv-41,68,4,1,0,True,1,True,True,True,True,95,91,31967,31953,32,28,31,28,1,k,1,1,1,32000,32000
4b524ab97ad92c975195c175eaeee2369cf22d814c49fb19e16d80813f38156e,e81210f00ca012dcc6bb754d74fe4584e9af987e930e1507b20f8f335bd37349,conv-41,69,4,1,0,True,1,True,True,True,True,89,89,31948,31930,32,34,23,26,1,k,1,1,1,32000,32000
472cff1f39f563b30261e9ce91f3d06455e2d8529de1ceb5cad6c4ef05cb64eb,bf4642526c4a3c0b6ca69af5c1e8fbf0ac6be0d31374e0dee2d8c2ccba684c5b,conv-41,70,4,1,0,True,1,True,True,True,True,94,96,31998,31922,32,41,23,19,1,k,1,1,1,32000,32000
1c5f12227666a19e7cade34d74a69ec8f8a985cfc6f633b27c78f7de40872783,4d965f2cfcb9610af13c4bd1c8227061c06228e1bb221146d34d74ee73881572,conv-41,71,4,1,0,True,1,True,True,True,True,94,96,31957,31978,32,36,28,20,1,k,1,1,1,32000,32000
c680a0c7ab5e45bee663dad99784805b7ddc6580fbeae4a9dc740cd2d7933771,942bcc675c06a0f8237617795cc77cd8b43f6cec267908608d2724340f5f654d,conv-41,72,4,1,0,True,1,True,True,True,True,86,93,31979,31982,32,61,0,38,1,k,1,3,3,32000,32000
f6beb86d834a79752f10413efd4ca0355c1b6b55ad2589c1017e44c894011932,fba3a9d74af8a86713d9fec06fb69e38364d05d54307878841e7952a261c74d8,conv-41,73,4,1,0,True,1,True,True,True,True,88,91,31991,31946,32,59,0,21,1,k,1,1,1,32000,32000
5bcc60e6202cbdde78c437b697deab64f36b5f3232ad8b6d3cbd2b56a2fdf1c2,19e367e38b28a14db2f1334a3f0f3f182a455542d4ee89193e590435551ecc80,conv-41,74,4,1,0,True,1,True,True,True,True,89,89,31945,31888,32,57,0,27,1,k,1,14,14,32000,32000
136977e4c66c5c46e566f3d51725f45aae0327b6f8767183941e4c82a827e032,914d71e7993b7cd9c1fa08241475a9b3754317539be0aaa5f184dd851c6dbc2f,conv-41,75,4,1,0,True,1,True,True,True,True,99,97,31894,32000,32,65,0,91,1,k,1,87,87,32000,32000
142f8efd427fdd8459c9fd28efc8d8cbdbbe64fa5a726146d5fc8091e67fb55e,4689353ad55cf1201a9f50ba2b9de35987075cc4d5041a11a8aa62de439352f4,conv-41,76,4,1,0,True,1,True,True,True,True,88,90,31991,31932,32,23,35,20,1,k,1,3,3,32000,32000
0625ad6d87d8c423aaaee7b3b0d12b1f8e31dced50e08add28f0d66c65cc08bb,9e36487fc6638a4311adfea37d2b847c7f12547a6e26cdeef260dd9e33140080,conv-41,77,4,1,0,True,1,True,True,True,True,98,97,31913,31963,32,65,0,23,1,k,1,1,1,32000,32000
3f26fecb7b8c7850ea71efbec39c056f371ed3c2e1824097de6da2ee1e698b66,6b5e68a82df310008fe929eef5decc662a8fb071057f9fca27b259a025dc8148,conv-41,78,4,1,0,True,1,True,True,True,True,107,103,31972,31924,32,25,46,21,1,k,1,1,1,32000,32000
da4aa2928cfec937c75583ec57a16ecc35e80932f488f8c16b9c7886dd0ed6e4,0c573e23d08c9e6b69345671e7cc4917c1a8237059a7d3379c2ee869886b836a,conv-41,79,4,1,0,True,1,True,True,True,True,102,103,31929,31840,32,30,41,18,1,k,1,1,1,32000,32000
dd781c027b4579dc16f719ceb577c9c8a84b8b2a96151316914f6df1327b8939,516670ed537e249e6254ae126e160f797c074512c2db6508ff24e21d069779a4,conv-41,80,4,1,0,True,1,True,True,True,True,92,94,31962,31986,32,29,33,25,1,k,1,1,1,32000,32000
c9e114ff54b2acd2f002de9314a2ba1e352f777440ea5367ae21264ee9bbf9fb,accc2497c6b898c0f1577ca33b83a7eec43f0e95dbd2bad3091e76fc9453b1ca,conv-41,81,4,1,0,True,1,True,True,True,True,95,94,31977,31828,32,9,53,25,1,k,1,1,1,32000,32000
270e24fc0edb6f8c11f9c46ddebe26dd4ab7a97aad9365370d8503926e4f7f9f,713178b1d13977f26f00218631f124783ae863389689a5f1fdab8a27928591bb,conv-41,82,4,1,0,True,1,True,True,True,True,98,97,31933,31977,32,41,24,21,1,k,1,40,40,32000,32000
36e03f6119fd601b7d3a76eef64c239c6b07f92f262412f987797abb20961b06,15d39b4c6116bc78aa25cbb71826d40530fca01679bacbeeb28af2d3a2782a5c,conv-41,83,4,1,0,True,1,True,True,True,True,94,92,31997,31961,32,21,39,22,1,k,1,6,6,32000,32000
190d7ceef48018a21395a1e9dae0b0eb0b009a9df899038c7eae7223557f00f0,604a79487ec352f2d11204ef88e27531e0db89a1b6caa68975c08146c6d6f523,conv-41,84,4,1,0,True,1,True,True,True,True,96,95,31922,31884,32,59,4,27,1,k,1,18,18,32000,32000
a94a6c814011f43ed0fe862ec77997bdf8f6a04b7141e24354b68cf1b4363fec,abd2a4f605e7b86f832eae37a88ed934c20a5528132d71032d5543f31248d814,conv-41,85,4,1,0,True,1,True,True,True,True,85,90,31908,31903,32,58,0,28,1,k,1,54,54,32000,32000
73dc27d967492533037784ea587ddba6841f0d639d7b5e409c8b524c7c680905,aa44b3e75e36c62f1ba7067967b240f4720f044718b56ff184d54e062f9c7368,conv-41,86,4,1,0,True,1,True,True,True,True,93,94,31957,31925,32,62,0,20,1,k,1,3,3,32000,32000
e80a8cb12ba7e3039ed40c8efdc5fb9da4d3e878b7f5b519593a016d5951a072,d4db0d9fdf7d2e55119ac597d2b5a26ef6106d7d22422eb61f5d71bfcabdc424,conv-41,87,4,1,0,True,1,True,True,True,True,92,92,31942,31867,32,18,42,21,1,k,1,6,6,32000,32000
c456233af3ac59ee17409dc0a2d55e26cbf460c0b646ad354d1692f6d74c5bff,a064c6014bf39aa215b719110fe896fe0fe5931e1d91f7f9b980b63cea2ece0a,conv-41,88,4,1,0,True,1,True,True,True,True,96,97,31982,31922,32,63,2,22,1,k,1,3,3,32000,32000
4100ab9797d09aa73ead8fc898286227a663d5ea1e77b6dcb5880834a5276bd9,249bc7aec2ce3026ac8a159a579f1af744f9b748c7058a8a9965cdfb2f04c009,conv-41,89,4,1,0,True,1,True,True,True,True,89,90,31981,31867,32,22,36,21,1,k,1,1,1,32000,32000
1901350b68c5ddfe6c042552a7fcba09fa48459c221fba1a4fe1ca46e3b3943b,af295cc2048e481d1e346de97988d8505f8147874a754166fd01e1cd665da7da,conv-41,90,4,1,0,True,1,False,False,False,False,93,94,31942,31996,32,21,41,20,0,,0,112,112,32000,32000
1bfdd0785118525b71ee4a4f7a260ca8198f9f47f7aea0cbb966acbedca16fae,07810b8d5f69cd79097ba8ccf9fc9d38b326349908c996c1d655d771e1b854ca,conv-41,91,2,1,0,True,1,True,True,True,True,92,94,31932,31918,32,4,58,21,1,coverage,1,18,18,32000,32000
3fc421c922311fbcd561baacb0a3e2392686093904f25d7f0bd432b52c446699,18037f5f09693f57d983fa70fdd3bc30cb7aa850235741710ecef12cf3d780c9,conv-41,92,4,1,0,True,1,True,True,True,True,96,98,32000,31997,32,38,28,23,1,k,1,2,2,32000,32000
