item_id,study,arm_id,arm,question,original,corrected,strict,delta,basis,layer1_flags,triggers
s001_compaction_q7,1,s001_compaction,compaction,Q7,0.0,0.0,0.0,0.0,independent_adjudicator,F4,H5
s001_compaction_q8,1,s001_compaction,compaction,Q8,0.0,0.0,0.0,0.0,original_unselected,,
s001_compaction_q9,1,s001_compaction,compaction,Q9,1.0,1.0,1.0,0.0,original_unselected,,
s001_compaction_q10,1,s001_compaction,compaction,Q10,0.0,0.0,0.0,0.0,original_unselected,,
s002_c_q1,2,s002_c,C_iterative,Q1,1.0,1.0,1.0,0.0,original_unselected,,
s002_c_q2,2,s002_c,C_iterative,Q2,1.0,1.0,1.0,0.0,original_unselected,,
s002_c_q3,2,s002_c,C_iterative,Q3,1.0,1.0,1.0,0.0,original_unselected,,
s002_c_q4,2,s002_c,C_iterative,Q4,1.0,1.0,1.0,0.0,ai_consensus,,
s002_c_q5,2,s002_c,C_iterative,Q5,1.0,0.0,0.0,-1.0,conflict_adjudicator,F1;F2;F4,H1;H3
s002_c_q6,2,s002_c,C_iterative,Q6,1.0,1.0,1.0,0.0,original_unselected,,
s002_c_q7,2,s002_c,C_iterative,Q7,1.0,0.0,0.0,-1.0,conflict_adjudicator,F1;F2;F4,H1;H3
s002_c_q8,2,s002_c,C_iterative,Q8,1.0,0.5,0.5,-0.5,conflict_adjudicator,F2;F4,H1;H3
s002_c_q9,2,s002_c,C_iterative,Q9,1.0,1.0,1.0,0.0,original_unselected,,
s002_c_q10,2,s002_c,C_iterative,Q10,1.0,0.0,0.0,-1.0,conflict_adjudicator,F1;F2,H3
s002_c_q11,2,s002_c,C_iterative,Q11,1.0,0.0,0.0,-1.0,independent_adjudicator,F1;F2;F3;F4,H1;H3;H4
s002_c_q12,2,s002_c,C_iterative,Q12,1.0,1.0,1.0,0.0,original_unselected,,
s002_c_q13,2,s002_c,C_iterative,Q13,1.0,1.0,1.0,0.0,original_unselected,,
s002_a_q1,2,s002_a,A_full_context,Q1,0.0,0.0,0.0,0.0,original_unselected,,
s002_a_q2,2,s002_a,A_full_context,Q2,0.0,0.0,0.0,0.0,ai_consensus,F4,
s002_a_q3,2,s002_a,A_full_context,Q3,1.0,1.0,1.0,0.0,original_unselected,,
s002_a_q4,2,s002_a,A_full_context,Q4,1.0,1.0,1.0,0.0,original_unselected,,
s002_a_q5,2,s002_a,A_full_context,Q5,0.0,0.0,0.0,0.0,original_unselected,,
s002_a_q6,2,s002_a,A_full_context,Q6,0.0,0.0,0.0,0.0,original_unselected,,
s002_a_q7,2,s002_a,A_full_context,Q7,1.0,0.5,0.5,-0.5,conflict_adjudicator,F2;F4,H1;H3
s002_a_q8,2,s002_a,A_full_context,Q8,0.0,0.0,0.0,0.0,ai_consensus,,
s002_a_q9,2,s002_a,A_full_context,Q9,1.0,0.0,0.0,-1.0,conflict_adjudicator,F1,H3
s002_a_q10,2,s002_a,A_full_context,Q10,1.0,1.0,1.0,0.0,original_unselected,,
s002_a_q11,2,s002_a,A_full_context,Q11,1.0,1.0,1.0,0.0,independent_adjudicator,,H4
s002_a_q12,2,s002_a,A_full_context,Q12,1.0,0.0,0.0,-1.0,conflict_adjudicator,,H2;H3
s002_a_q13,2,s002_a,A_full_context,Q13,1.0,1.0,1.0,0.0,original_unselected,,
s002_b_q1,2,s002_b,B_compaction,Q1,0.0,0.0,0.0,0.0,original_unselected,,
s002_b_q2,2,s002_b,B_compaction,Q2,0.0,0.0,0.0,0.0,original_unselected,,
s002_b_q3,2,s002_b,B_compaction,Q3,1.0,1.0,1.0,0.0,original_unselected,,
s002_b_q4,2,s002_b,B_compaction,Q4,0.0,0.0,0.0,0.0,original_unselected,,
s002_b_q5,2,s002_b,B_compaction,Q5,0.0,0.0,0.0,0.0,original_unselected,,
s002_b_q6,2,s002_b,B_compaction,Q6,0.0,0.0,0.0,0.0,independent_adjudicator,,H5
s002_b_q7,2,s002_b,B_compaction,Q7,0.0,0.0,0.0,0.0,original_unselected,,
s002_b_q8,2,s002_b,B_compaction,Q8,0.0,0.0,0.0,0.0,original_unselected,,
s002_b_q9,2,s002_b,B_compaction,Q9,0.0,0.0,0.0,0.0,original_unselected,,
s002_b_q10,2,s002_b,B_compaction,Q10,0.0,0.0,0.0,0.0,ai_consensus,,
s002_b_q11,2,s002_b,B_compaction,Q11,0.0,0.0,0.0,0.0,independent_adjudicator,,H4
s002_b_q12,2,s002_b,B_compaction,Q12,1.0,1.0,1.0,0.0,original_unselected,,
s002_b_q13,2,s002_b,B_compaction,Q13,0.0,0.0,0.0,0.0,conflict_adjudicator,,H1;H2;H3
s003_accepted_q1,3,s003_accepted,accepted,Q1,1.0,1.0,1.0,0.0,original_unselected,,
s003_accepted_q2,3,s003_accepted,accepted,Q2,1.0,1.0,1.0,0.0,original_unselected,,
s003_accepted_q3,3,s003_accepted,accepted,Q3,1.0,1.0,1.0,0.0,original_unselected,,
s003_accepted_q4,3,s003_accepted,accepted,Q4,1.0,1.0,1.0,0.0,original_unselected,,
s003_accepted_q5,3,s003_accepted,accepted,Q5,1.0,1.0,1.0,0.0,original_unselected,,
s003_accepted_q6,3,s003_accepted,accepted,Q6,1.0,1.0,1.0,0.0,ai_consensus,,
s003_accepted_q7,3,s003_accepted,accepted,Q7,1.0,1.0,1.0,0.0,original_unselected,,
s003_accepted_q8,3,s003_accepted,accepted,Q8,1.0,0.5,0.5,-0.5,conflict_adjudicator,F4,H1;H3
s003_accepted_q9,3,s003_accepted,accepted,Q9,1.0,1.0,1.0,0.0,original_unselected,,
s003_accepted_q10,3,s003_accepted,accepted,Q10,1.0,1.0,1.0,0.0,original_unselected,,
s003_accepted_q11,3,s003_accepted,accepted,Q11,0.0,0.0,0.0,0.0,independent_adjudicator,,H4
s003_accepted_q12,3,s003_accepted,accepted,Q12,1.0,1.0,1.0,0.0,original_unselected,,
s003_accepted_q13,3,s003_accepted,accepted,Q13,1.0,1.0,1.0,0.0,ai_consensus,,
s004_treatment_q1,4,s004_treatment,treatment,Q1,1.0,1.0,1.0,0.0,original_unselected,,
s004_treatment_q2,4,s004_treatment,treatment,Q2,1.0,1.0,1.0,0.0,original_unselected,,
s004_treatment_q3,4,s004_treatment,treatment,Q3,1.0,1.0,1.0,0.0,original_unselected,,
s004_treatment_q4,4,s004_treatment,treatment,Q4,0.0,0.0,0.0,0.0,ai_consensus,,
s004_treatment_q5,4,s004_treatment,treatment,Q5,0.0,0.0,0.0,0.0,original_unselected,,
s004_treatment_q6,4,s004_treatment,treatment,Q6,0.0,0.0,0.0,0.0,original_unselected,,
s004_treatment_q7,4,s004_treatment,treatment,Q7,0.0,0.0,0.0,0.0,original_unselected,,
s004_treatment_q8,4,s004_treatment,treatment,Q8,1.0,0.5,0.5,-0.5,conflict_adjudicator,F4,H1;H3
s004_treatment_q9,4,s004_treatment,treatment,Q9,1.0,1.0,1.0,0.0,original_unselected,,
s004_treatment_q10,4,s004_treatment,treatment,Q10,0.0,0.0,0.0,0.0,original_unselected,,
s004_treatment_q11,4,s004_treatment,treatment,Q11,0.0,0.0,0.0,0.0,independent_adjudicator,,H4
s004_treatment_q12,4,s004_treatment,treatment,Q12,1.0,1.0,1.0,0.0,original_unselected,,
s004_treatment_q13,4,s004_treatment,treatment,Q13,1.0,1.0,1.0,0.0,original_unselected,,
s004_treatment_q14,4,s004_treatment,treatment,Q14,0.0,0.0,0.0,0.0,independent_adjudicator,,H4
s004_control_q1,4,s004_control,v3_control,Q1,1.0,1.0,1.0,0.0,original_unselected,,
s004_control_q2,4,s004_control,v3_control,Q2,1.0,1.0,1.0,0.0,ai_consensus,,
s004_control_q3,4,s004_control,v3_control,Q3,1.0,1.0,1.0,0.0,original_unselected,,
s004_control_q4,4,s004_control,v3_control,Q4,1.0,1.0,1.0,0.0,ai_consensus,,
s004_control_q5,4,s004_control,v3_control,Q5,0.0,0.0,0.0,0.0,original_unselected,,
s004_control_q6,4,s004_control,v3_control,Q6,1.0,1.0,1.0,0.0,ai_consensus,,
s004_control_q7,4,s004_control,v3_control,Q7,1.0,1.0,1.0,0.0,ai_consensus,F4,
s004_control_q8,4,s004_control,v3_control,Q8,1.0,0.5,0.5,-0.5,conflict_adjudicator,F4,H1;H3
s004_control_q9,4,s004_control,v3_control,Q9,1.0,1.0,1.0,0.0,original_unselected,,
s004_control_q10,4,s004_control,v3_control,Q10,1.0,1.0,1.0,0.0,ai_consensus,F2,
s004_control_q11,4,s004_control,v3_control,Q11,0.0,0.0,0.0,0.0,independent_adjudicator,,H4
s004_control_q12,4,s004_control,v3_control,Q12,1.0,1.0,1.0,0.0,original_unselected,,
s004_control_q13,4,s004_control,v3_control,Q13,1.0,1.0,1.0,0.0,original_unselected,,
s004_control_q14,4,s004_control,v3_control,Q14,0.0,0.0,0.0,0.0,independent_adjudicator,,H4
s005_treatment_q1,5,s005_treatment,treatment,Q1,1.0,1.0,1.0,0.0,original_unselected,,
s005_treatment_q2,5,s005_treatment,treatment,Q2,1.0,1.0,1.0,0.0,ai_consensus,,
s005_treatment_q3,5,s005_treatment,treatment,Q3,1.0,1.0,1.0,0.0,original_unselected,,
s005_treatment_q4,5,s005_treatment,treatment,Q4,1.0,1.0,1.0,0.0,ai_consensus,,
s005_treatment_q5,5,s005_treatment,treatment,Q5,0.5,0.5,0.0,0.0,independent_adjudicator,F4,H5
s005_treatment_q6,5,s005_treatment,treatment,Q6,1.0,1.0,1.0,0.0,original_unselected,,
s005_treatment_q7,5,s005_treatment,treatment,Q7,1.0,1.0,1.0,0.0,original_unselected,,
s005_treatment_q8,5,s005_treatment,treatment,Q8,0.5,0.5,0.5,0.0,ai_consensus,F2,
s005_treatment_q9,5,s005_treatment,treatment,Q9,1.0,1.0,1.0,0.0,original_unselected,,
s005_treatment_q10,5,s005_treatment,treatment,Q10,1.0,1.0,1.0,0.0,original_unselected,,
s005_treatment_q11,5,s005_treatment,treatment,Q11,0.0,0.0,0.0,0.0,independent_adjudicator,,H4
s005_treatment_q12,5,s005_treatment,treatment,Q12,1.0,1.0,1.0,0.0,original_unselected,,
s005_treatment_q13,5,s005_treatment,treatment,Q13,1.0,1.0,1.0,0.0,original_unselected,,
s005_treatment_q14,5,s005_treatment,treatment,Q14,0.5,0.5,0.5,0.0,independent_adjudicator,,H4
s005_control_q1,5,s005_control,promotion_control,Q1,1.0,1.0,1.0,0.0,original_unselected,,
s005_control_q2,5,s005_control,promotion_control,Q2,1.0,1.0,1.0,0.0,original_unselected,,
s005_control_q3,5,s005_control,promotion_control,Q3,1.0,1.0,1.0,0.0,original_unselected,,
s005_control_q4,5,s005_control,promotion_control,Q4,1.0,1.0,1.0,0.0,original_unselected,,
s005_control_q5,5,s005_control,promotion_control,Q5,1.0,1.0,1.0,0.0,ai_consensus,F2;F4,
s005_control_q6,5,s005_control,promotion_control,Q6,1.0,1.0,1.0,0.0,original_unselected,,
s005_control_q7,5,s005_control,promotion_control,Q7,1.0,1.0,1.0,0.0,original_unselected,,
s005_control_q8,5,s005_control,promotion_control,Q8,1.0,0.5,0.5,-0.5,conflict_adjudicator,F4,H1;H3
s005_control_q9,5,s005_control,promotion_control,Q9,1.0,1.0,1.0,0.0,original_unselected,,
s005_control_q10,5,s005_control,promotion_control,Q10,1.0,1.0,1.0,0.0,original_unselected,,
s005_control_q11,5,s005_control,promotion_control,Q11,0.0,0.0,0.0,0.0,independent_adjudicator,,H4
s005_control_q12,5,s005_control,promotion_control,Q12,1.0,1.0,1.0,0.0,original_unselected,,
s005_control_q13,5,s005_control,promotion_control,Q13,1.0,1.0,1.0,0.0,original_unselected,,
s005_control_q14,5,s005_control,promotion_control,Q14,0.0,0.0,0.0,0.0,independent_adjudicator,,H4
s006_treatment_q1,6,s006_treatment,treatment,Q1,1.0,1.0,1.0,0.0,original_unselected,,
s006_treatment_q2,6,s006_treatment,treatment,Q2,1.0,1.0,1.0,0.0,original_unselected,,
s006_treatment_q3,6,s006_treatment,treatment,Q3,1.0,1.0,1.0,0.0,original_unselected,,
s006_treatment_q4,6,s006_treatment,treatment,Q4,1.0,1.0,1.0,0.0,original_unselected,,
s006_treatment_q5,6,s006_treatment,treatment,Q5,0.0,0.0,0.0,0.0,original_unselected,,
s006_treatment_q6,6,s006_treatment,treatment,Q6,1.0,1.0,1.0,0.0,original_unselected,,
s006_treatment_q7,6,s006_treatment,treatment,Q7,1.0,0.5,0.5,-0.5,conflict_adjudicator,F4,H1;H3
s006_treatment_q8,6,s006_treatment,treatment,Q8,0.5,0.5,0.5,0.0,original_unselected,,
s006_treatment_q9,6,s006_treatment,treatment,Q9,1.0,1.0,1.0,0.0,original_unselected,,
s006_treatment_q10,6,s006_treatment,treatment,Q10,1.0,0.0,0.0,-1.0,conflict_adjudicator,F2,H3
s006_treatment_q11,6,s006_treatment,treatment,Q11,0.0,0.0,0.0,0.0,independent_adjudicator,F3,H4
s006_treatment_q12,6,s006_treatment,treatment,Q12,1.0,1.0,1.0,0.0,original_unselected,,
s006_treatment_q13,6,s006_treatment,treatment,Q13,1.0,1.0,1.0,0.0,original_unselected,,
s006_treatment_q14,6,s006_treatment,treatment,Q14,0.0,0.0,0.0,0.0,independent_adjudicator,F3,H4
s006_control_q1,6,s006_control,whole_turn_control,Q1,1.0,1.0,1.0,0.0,ai_consensus,,
s006_control_q2,6,s006_control,whole_turn_control,Q2,1.0,1.0,1.0,0.0,ai_consensus,,
s006_control_q3,6,s006_control,whole_turn_control,Q3,1.0,1.0,1.0,0.0,original_unselected,,
s006_control_q4,6,s006_control,whole_turn_control,Q4,1.0,1.0,1.0,0.0,original_unselected,,
s006_control_q5,6,s006_control,whole_turn_control,Q5,0.5,0.5,0.0,0.0,ai_consensus,F4,
s006_control_q6,6,s006_control,whole_turn_control,Q6,1.0,1.0,1.0,0.0,original_unselected,,
s006_control_q7,6,s006_control,whole_turn_control,Q7,1.0,1.0,1.0,0.0,original_unselected,,
s006_control_q8,6,s006_control,whole_turn_control,Q8,0.5,0.5,0.5,0.0,original_unselected,,
s006_control_q9,6,s006_control,whole_turn_control,Q9,1.0,1.0,1.0,0.0,original_unselected,,
s006_control_q10,6,s006_control,whole_turn_control,Q10,1.0,1.0,1.0,0.0,original_unselected,,
s006_control_q11,6,s006_control,whole_turn_control,Q11,0.0,0.0,0.0,0.0,independent_adjudicator,F3,H4
s006_control_q12,6,s006_control,whole_turn_control,Q12,1.0,1.0,1.0,0.0,original_unselected,,
s006_control_q13,6,s006_control,whole_turn_control,Q13,1.0,1.0,1.0,0.0,original_unselected,,
s006_control_q14,6,s006_control,whole_turn_control,Q14,0.5,0.5,0.5,0.0,independent_adjudicator,F3,H4
s007_treatment_q1,7,s007_treatment,treatment,Q1,1.0,1.0,1.0,0.0,original_unselected,,
s007_treatment_q2,7,s007_treatment,treatment,Q2,1.0,1.0,1.0,0.0,original_unselected,,
s007_treatment_q3,7,s007_treatment,treatment,Q3,1.0,1.0,1.0,0.0,original_unselected,,
s007_treatment_q4,7,s007_treatment,treatment,Q4,1.0,1.0,1.0,0.0,original_unselected,,
s007_treatment_q5,7,s007_treatment,treatment,Q5,1.0,1.0,1.0,0.0,ai_consensus,F4,
s007_treatment_q6,7,s007_treatment,treatment,Q6,1.0,1.0,1.0,0.0,original_unselected,,
s007_treatment_q7,7,s007_treatment,treatment,Q7,1.0,1.0,1.0,0.0,original_unselected,,
s007_treatment_q8,7,s007_treatment,treatment,Q8,1.0,1.0,1.0,0.0,ai_consensus,,
s007_treatment_q9,7,s007_treatment,treatment,Q9,1.0,1.0,1.0,0.0,original_unselected,,
s007_treatment_q10,7,s007_treatment,treatment,Q10,1.0,1.0,1.0,0.0,original_unselected,,
s007_treatment_q11,7,s007_treatment,treatment,Q11,0.0,0.0,0.0,0.0,independent_adjudicator,F3,H4
s007_treatment_q12,7,s007_treatment,treatment,Q12,1.0,1.0,1.0,0.0,original_unselected,,
s007_treatment_q13,7,s007_treatment,treatment,Q13,1.0,1.0,1.0,0.0,original_unselected,,
s007_treatment_q14,7,s007_treatment,treatment,Q14,0.5,0.5,0.5,0.0,independent_adjudicator,F3,H4
s007_control_q1,7,s007_control,count_budget_control,Q1,1.0,1.0,1.0,0.0,original_unselected,,
s007_control_q2,7,s007_control,count_budget_control,Q2,1.0,1.0,1.0,0.0,original_unselected,,
s007_control_q3,7,s007_control,count_budget_control,Q3,1.0,1.0,1.0,0.0,original_unselected,,
s007_control_q4,7,s007_control,count_budget_control,Q4,1.0,1.0,1.0,0.0,original_unselected,,
s007_control_q5,7,s007_control,count_budget_control,Q5,0.0,0.0,0.0,0.0,original_unselected,,
s007_control_q6,7,s007_control,count_budget_control,Q6,1.0,1.0,1.0,0.0,original_unselected,,
s007_control_q7,7,s007_control,count_budget_control,Q7,1.0,0.5,0.5,-0.5,conflict_adjudicator,F4,H1;H3
s007_control_q8,7,s007_control,count_budget_control,Q8,0.5,0.5,0.5,0.0,ai_consensus,,
s007_control_q9,7,s007_control,count_budget_control,Q9,1.0,1.0,1.0,0.0,original_unselected,,
s007_control_q10,7,s007_control,count_budget_control,Q10,1.0,1.0,1.0,0.0,original_unselected,,
s007_control_q11,7,s007_control,count_budget_control,Q11,0.0,0.0,0.0,0.0,independent_adjudicator,,H4
s007_control_q12,7,s007_control,count_budget_control,Q12,1.0,1.0,1.0,0.0,original_unselected,,
s007_control_q13,7,s007_control,count_budget_control,Q13,1.0,1.0,1.0,0.0,original_unselected,,
s007_control_q14,7,s007_control,count_budget_control,Q14,0.0,0.0,0.0,0.0,independent_adjudicator,,H4
s009_l_q1,9,s009_l,L,Q1,1.0,1.0,1.0,0.0,original_unselected,,
s009_l_q2,9,s009_l,L,Q2,1.0,1.0,1.0,0.0,original_unselected,,
s009_l_q3,9,s009_l,L,Q3,1.0,1.0,1.0,0.0,ai_consensus,,
s009_l_q4,9,s009_l,L,Q4,1.0,1.0,1.0,0.0,independent_adjudicator,,H5
s009_l_q5,9,s009_l,L,Q5,1.0,1.0,1.0,0.0,ai_consensus,F4,
s009_l_q6,9,s009_l,L,Q6,1.0,1.0,1.0,0.0,original_unselected,,
s009_l_q7,9,s009_l,L,Q7,1.0,1.0,1.0,0.0,original_unselected,,
s009_l_q8,9,s009_l,L,Q8,1.0,1.0,1.0,0.0,original_unselected,,
s009_l_q9,9,s009_l,L,Q9,1.0,1.0,1.0,0.0,original_unselected,,
s009_l_q10,9,s009_l,L,Q10,1.0,1.0,1.0,0.0,original_unselected,,
s009_l_q11,9,s009_l,L,Q11,0.0,0.0,0.0,0.0,independent_adjudicator,,H4
s009_l_q12,9,s009_l,L,Q12,1.0,1.0,1.0,0.0,original_unselected,,
s009_l_q13,9,s009_l,L,Q13,1.0,1.0,1.0,0.0,original_unselected,,
s009_l_q14,9,s009_l,L,Q14,0.5,0.5,0.5,0.0,independent_adjudicator,F3,H4
s009_s_q1,9,s009_s,S,Q1,1.0,1.0,1.0,0.0,original_unselected,,
s009_s_q2,9,s009_s,S,Q2,1.0,1.0,1.0,0.0,original_unselected,,
s009_s_q3,9,s009_s,S,Q3,1.0,1.0,1.0,0.0,original_unselected,,
s009_s_q4,9,s009_s,S,Q4,1.0,1.0,1.0,0.0,original_unselected,,
s009_s_q5,9,s009_s,S,Q5,0.0,0.0,0.0,0.0,original_unselected,,
s009_s_q6,9,s009_s,S,Q6,1.0,1.0,1.0,0.0,original_unselected,,
s009_s_q7,9,s009_s,S,Q7,1.0,0.5,0.5,-0.5,conflict_adjudicator,F4,H1;H3
s009_s_q8,9,s009_s,S,Q8,0.5,0.5,0.5,0.0,ai_consensus,F2,
s009_s_q9,9,s009_s,S,Q9,1.0,1.0,1.0,0.0,ai_consensus,,
s009_s_q10,9,s009_s,S,Q10,1.0,0.0,0.0,-1.0,conflict_adjudicator,F2,H3
s009_s_q11,9,s009_s,S,Q11,0.0,0.0,0.0,0.0,independent_adjudicator,,H4
s009_s_q12,9,s009_s,S,Q12,1.0,1.0,1.0,0.0,ai_consensus,,
s009_s_q13,9,s009_s,S,Q13,1.0,1.0,1.0,0.0,original_unselected,,
s009_s_q14,9,s009_s,S,Q14,0.0,0.0,0.0,0.0,independent_adjudicator,,H4
