question_id,sample_id,category,direction,evidence_episodes,flat_best_evidence_rank,flat_worst_evidence_rank,dual_ranked_evidence_delivered,k_first_evidence_delivered,dual_ranked_evidence_tiers,k_first_evidence_tiers
ee01995c1b6cbdbba001d03c049c1248cd1a924f616dfc95322b3715197916db,conv-42,3,loss,1,227,227,0,1,,k
68db0e898dba0f4eefbafb66d86125fae4c9b83d6e1264b60347dcd965e805c0,conv-42,2,gain,1,5,5,1,0,k,
1c4c72388a8e0930c9170c91f62326f682378a011616663a11d659fd7c47701b,conv-42,2,gain,1,1,1,1,0,k,
2715207fe1f1624f541d0f192be48380020e8221d1cf9482fdc3a024ff5752f2,conv-42,1,gain,2,4,28,2,0,k,
b53ce915bdb62ca49733c1861052ee7f3fd06b0cac8c1f78ef05d1e78fcb644c,conv-42,2,gain,1,12,12,1,0,k,
a3551164d7362aaf94fedeb8917cc1d76259749ed7535c204934bcc21cacded5,conv-42,1,loss,6,144,316,0,3,,k
806aa7d67b74698fa1e67fefe095d818b9f3cb4eee56b0954e12087bd4d1b7ed,conv-42,3,gain,1,37,37,1,0,k,
021530dae37f1fcd345b0f69e199cfb5ef26fde9061601ffa56d4b6462c03351,conv-42,3,loss,4,131,298,0,1,,k
a10194172b5d9f05c2381719e449e51c78b422f331a2dc1c567d7a79f37233d5,conv-42,1,gain,2,22,185,1,0,k,
50370f80902f3cea6eddecd12a888e688e9f96e803a16709e89d946ce314cb01,conv-42,1,gain,3,14,35,3,0,k,
05ac76f5e94013bf1696ddc28ae760e0352a5c2982f87e0d1eb73c92f7c9bb53,conv-42,2,gain,1,2,2,1,0,k,
62073229c03f67ec206128dddfff6c3e9a733a9af543c4d6e68cce576e41a063,conv-42,3,gain,2,36,177,1,0,k,
dcf003086f310b982a492c8fbcb4c863a9e442e4499aaec84f1a68bc579cbfdd,conv-42,3,gain,1,3,3,1,0,k,
fc39bd31a145fc95bd88e759331e054c430434359bc870b590201bdad1987653,conv-42,3,loss,1,170,170,0,1,,recency
b1e9c3b46aa613d90adf0920b8505dd8244fa341b00db9bcd8109ee0b83d0b03,conv-42,4,loss,1,120,120,0,1,,k
f50d9902ea1b4dd608641996ed5d7856ae11206ad9f551c20183b659bddd5c3e,conv-42,4,gain,1,1,1,1,0,k,
86bd14960f48a837562096eabc6277867c7b5fae23c3755ef30c4d69537e4104,conv-42,4,gain,1,2,2,1,0,k,
f8cb3b5834f6255cb8558b610ab15daa3266163e81ab4d824528ffe33fee1e3b,conv-42,4,gain,1,10,10,1,0,k,
47d3c6f7ae974b9608053e2967b60a285b355668431dec4e45a93dbc1911c977,conv-42,4,gain,1,69,69,1,0,k,
074be89b771ba9ac1a70988d9d125560556e7e26978590bb333a36b5634e1aba,conv-42,4,gain,1,64,64,1,0,k,
2b563c837299367ccbce358225cece104e00b733432313ca129ecfd1d372c957,conv-42,4,gain,1,6,6,1,0,k,
72a4cee12c413b4c5b413af78cbacc7d18a27e76deff449bedf17e8fe0f58cd9,conv-42,4,gain,1,1,1,1,0,k,
a59cbb28d7b576e1c9aa09c11494bb0c6f0f2359e972d45ce79c8b6f16aaead7,conv-42,4,gain,1,1,1,1,0,k,
545b752a28f2ff8dfd8d3b8b82f80eaaad2a7b9d09dca072d043400bb4017e2f,conv-42,4,gain,1,2,2,1,0,k,
30661ec5226420983df107a6cdc5ac9e250f970e784bf22241a6d8082c1010d2,conv-42,4,gain,1,1,1,1,0,k,
8e7ede6fd8ae2155204a93da5e6f23de427045a6d88ff5f9e10af9d98f004c5e,conv-42,4,gain,1,77,77,1,0,k,
f62d12420ea9ed10d3ed9353b7b4a7f3f03a68eecdbb48b02ba2eec23ee47ac9,conv-42,4,gain,1,4,4,1,0,k,
22706b92552b5ffcb6d7983c5b2c609e2a7c895591ee74e11f97a010bc602df2,conv-42,4,gain,1,15,15,1,0,k,
f966b0a745436572617c923385a4d6d8c6abdd64e36771073c99bc67ee2f4681,conv-42,4,gain,1,68,68,1,0,k,
a62cfe7e71c54f790be2c201aeea3b1ecb13f486371dce7f7f3a6075cdaed77d,conv-42,4,gain,1,47,47,1,0,k,
d8acdd2ddf50f2719116dc77f67a728b2f2418089f5e63688f757f94f18be429,conv-42,4,gain,1,1,1,1,0,k,
af332ec9cc49b20ee71e23a35bb4a2f1c46d6e82e4ec8ec88ccf16fac52c8b5b,conv-42,4,gain,1,5,5,1,0,k,
a7b432ca8c6e103c220dd370987c4387c1e58fddd682832ec3b9692ce0a84c75,conv-42,4,gain,1,1,1,1,0,k,
6234e4158fdb92008af4e14e53c9ad32b61731a3cc0884a7628fde233a07c586,conv-42,4,gain,1,2,2,1,0,k,
3a5270f8c29e7b71c995ee2c066c423c7fe5530c83ab86a7436a7ba7ee05106c,conv-42,4,gain,1,2,2,1,0,k,
f6dca94854829dc03f0b0edb267ed0222718672bc12d6f9f5cacc60f1c233e70,conv-42,4,gain,1,1,1,1,0,k,
b6142801e0f29b22dd30997961ac2a017981b66dd302b0ebb34ffa222decc638,conv-42,4,gain,1,17,17,1,0,k,
55636fd865f4dc301861bc3d9d012dc1118d98194137ce471e41318cde9bab56,conv-42,4,gain,1,1,1,1,0,k,
f4c9d1b1fa76eaac735209b239c201078027f991711e8becb40c8b286d4c9c3f,conv-42,4,gain,1,38,38,1,0,k,
6dfbcbd9117c41d2f9d95945b75fa67e0234e208adc4be0de031d6f0cb4c8cbb,conv-42,4,gain,1,7,7,1,0,k,
6b826b8f018269da266fb295805394fb6e7c791f1bf3353d4b084667e0d34198,conv-42,5,gain,1,94,94,1,0,coverage,
06c1c91d71d2830570356f5f35050baf8ce43467e862064cf8dff322a6c40127,conv-42,5,gain,1,5,5,1,0,k,
c1245f65f5c27621a23249521655a072d094389c113f4f4b083b96debc369b7a,conv-42,5,gain,1,85,85,1,0,coverage,
729a478c6747f957b8a2de7843650af1cdefd45b804eac7e5a1ee222efebcfec,conv-42,5,gain,1,4,4,1,0,k,
12fab774a1faa500700269ded7d81302c2de0bf1f7e82992743039fba64fce96,conv-42,5,gain,1,3,3,1,0,k,
135ccaa9603ec1da81f3878d83ce95b5dbc16cfdf8eb8fe4302765a6cb1ed84e,conv-42,5,gain,1,1,1,1,0,k,
e9c63ced0340bd817dd7be830a9347897aab5183063263ff56f55fdc7c6e9c42,conv-42,5,gain,1,87,87,1,0,k,
b71e303ae95c45d11b8c842df4b5c71f2596da21a4dce43a69bfa06821e959f7,conv-42,5,gain,1,10,10,1,0,k,
a84b33aad124230fe21ea1896e005b145fbae3b1ddc2d0e1e3e05d3a7b6c61d1,conv-42,5,gain,1,27,27,1,0,k,
78691a4175a5c0bb57b434c6173304f1b8c10d1b19ce71e41ecb02ca10a71976,conv-42,5,gain,1,25,25,1,0,k,
c649d5ba56979eb505454d6ddd805d40d5a02728260b67b43c25de015d7b54ef,conv-42,5,gain,1,1,1,1,0,k,
c65161011be683e107a7eca1f55bdff4a0f0b6779544673af25547b8f8567f6f,conv-42,5,gain,1,2,2,1,0,k,
0b657f211a0710f7851c8eb5063848f77812e247f322deb8fcf805381ca37f12,conv-42,5,gain,1,1,1,1,0,k,
5048a5abd5b6815036a3355ea150fbfea525827a5904890e4ce75ad4f1009735,conv-42,5,gain,1,39,39,1,0,k,
0848a9f4a23f21d7335d6b0d8fa419d8f462ffd57d88e5f5fbad97a649580b01,conv-42,5,gain,1,1,1,1,0,k,
2b2ff65baf67a22177bfb015dc300396b735a345366ce0aec67433a1d4be35cb,conv-42,5,gain,1,11,11,1,0,k,
ba87951197610fb428ff07e96f2223b694035fcc1d525d006584e8676655a8a3,conv-42,5,gain,1,16,16,1,0,k,
a0c552bf3d74a2dfd73ed0f7b3c39acac518147f311d6b839e38df0160aa4d62,conv-47,2,gain,1,105,105,1,0,coverage,
76bc4a731506bac26244b2437bd6bb63e12068dd8fe0f754c0b8f662234ac696,conv-47,2,gain,1,1,1,1,0,k,
e4c73ecf8635f7cc0194f763d03b8e8586c3aac825c799d501edda55b376b0ac,conv-47,2,gain,1,30,30,1,0,k,
dc9c71edda38cdc3ec95a18fe5480cbdb17614c461d3b5ce3511a090cefe2fa7,conv-47,4,gain,1,3,3,1,0,k,
0c69e249f93e086b1e2025f33355848e1a84350490389adc07b254073aa2f0dc,conv-47,4,gain,1,76,76,1,0,coverage,
8530a5abe599597b4566b529228390efaaebb7e8a299463f2fd4935ff20c974d,conv-47,4,gain,1,1,1,1,0,k,
5c4d966437cf2ad9434e1c5df6622897d26e8d81350390707429033c7d8f2d0a,conv-47,4,gain,1,36,36,1,0,k,
8ab0116f844cfc3f0188d799be9ce053473068fd3c0df29a9c17cc968f7d3677,conv-47,4,gain,1,1,1,1,0,k,
8736c16082dfbd9e2cf41ae7b46c1ea931c230c36a993c17d2fa3463dee92587,conv-47,4,gain,1,1,1,1,0,k,
07c4f0c4b2018b15f194daebb475835d2ae644711d0e574591677a922fe00a1a,conv-47,4,gain,1,1,1,1,0,k,
b1dea42385b8f4e35d0736971236ecb49588ab1f365de1d8a6d998a9b13b8b82,conv-47,4,gain,1,1,1,1,0,k,
43710f7701eb2a593e5d59cfeac2156853259eddf159f2e6d4189bde01fbdbfd,conv-47,5,loss,1,106,106,0,1,,k
bab90e98113ec89b102920825da65f0c2247a224617e1a24ad53c2536c492133,conv-47,5,gain,1,1,1,1,0,k,
af1d909a5fb8888fef4ea4ba02525bfacc1b6aede43626843e3ff102a724889f,conv-47,5,gain,1,29,29,1,0,k,
544905e52cba1d29f0092d57e6df5237cb1e4c823d6438d89bb6b2fe08dc3543,conv-47,5,gain,1,62,62,1,0,k,
85d4f7ce9f21268b21640a66ca48f11c23755f63e93e9d3eab02fa3e1ae3ca95,conv-47,5,gain,2,2,10,2,0,k,
d21a6525b2434693c68c3854c7bf3a375f21dee340ebdf4cf75ed5e17a382c1a,conv-47,5,gain,1,38,38,1,0,k,
dc15b1534b51ee6004e446df7a04bfc349e06cc998e0c873560a05f707fad78b,conv-47,5,gain,1,2,2,1,0,k,
055fdf43f6c62788946169b6c3b4663f0181a846783c7b1ad3048d481ef53f18,conv-48,3,loss,2,131,237,0,1,,k
b0e7865c8166fce4dc351cd5e823006673e762a32ac3997ece5469f86a3d99eb,conv-48,4,gain,2,6,117,2,0,k,
03a18424009bc08d9131a893445eaafda03d77e6296356077bf80c78a90fcdb6,conv-48,2,gain,1,1,1,1,0,k,
eeea5cbeb067c16d59c1804b11ff5ad24d20bed687e51ffafbee784d32ad9ab7,conv-48,4,gain,3,1,105,3,0,k,
dff115ed86358c15297a6e6f7b59948250e668de6e0ada1251f6b257a7fc0936,conv-48,3,gain,1,1,1,1,0,k,
6ff29e4120e3c169b0693e098c970b2e40435c035a09c988840bb4f9cf8b77e6,conv-48,2,gain,1,3,3,1,0,k,
36cab067f1b73b634e3e3aec253ed54e43c2f3fe090e3e0c0d6a6f4aeee6430b,conv-48,4,gain,2,1,3,2,0,k,
b53687f7d91afe03d49150dbce90e997e63ae3ec1259b88896607069aa1fb5dc,conv-48,1,gain,2,5,10,2,0,k,
991198876cb39c1f9089c3ac33413787dd4530de94e568b70fc19fbb1fb9a741,conv-48,2,gain,1,18,18,1,0,k,
16648a3a77d3c3a4e2eea7d048165098adf0f3ad8e8c0f72bf14fd3a82710cc8,conv-48,4,gain,1,5,5,1,0,k,
1dd036332534d3ae739c45a15421914b6eba9375a96765fa0c412fdac3f192da,conv-48,4,gain,1,4,4,1,0,k,
f64c866df06fc6665006667d3d3a7cbafae4589d00398d32dcad10a914dc3f2d,conv-48,4,gain,1,12,12,1,0,k,
1ce5b8ae27e4922b3c9d95365112044cfb8bfc69d797c09d9dc864fcc8c811dd,conv-48,4,gain,1,6,6,1,0,k,
c1269d74193f95f773c3acb9709b63c4164422f7b778358d9abf61cca1747d0c,conv-48,4,gain,1,18,18,1,0,k,
e72fdacd81c7f63e66dee7b1ea5637ccf111121f1a23cd9c7634904860831c71,conv-48,4,gain,1,1,1,1,0,k,
6ad8fdbe3adf599eb2605ddbd8d26a03c54f433ee2931382fbd1ba621925be17,conv-48,4,gain,1,14,14,1,0,k,
9295ee280ce583c3d9c06b75393d4d8016abf7ee01f8aaf51834989a83e3c209,conv-48,4,gain,1,2,2,1,0,k,
ffe6be1c1e6fc58a4ddfbe92cec29f9345522844751f689e581bb9dbdf7fab11,conv-48,4,gain,1,1,1,1,0,k,
adc145ac4440adf59475fdbe13c15316e40bbda0d7c646b727dd6c84063cefdd,conv-48,4,gain,1,3,3,1,0,k,
46d16c4aa76190fda3a82b7ed3b2c27e6688bb15ccd98427096bd45602d55844,conv-48,4,gain,1,2,2,1,0,k,
b1e8977c0c85d803c9400fb2f2fc2816eaf052251d6ceb6d6344097a9c63cc61,conv-48,4,gain,1,35,35,1,0,k,
32f192999d0705a5e7f8b7ce8062615edcd31825efb76bf81ca84d73d93051fc,conv-48,4,gain,1,4,4,1,0,k,
8cb145b464aefb622c415b755278dba0aacb5110bad70de65420f7c6876700c9,conv-48,4,gain,1,20,20,1,0,k,
13f95e5436e58e7115280159897678df5bf8fdc940cc8b3624c2a620e52e2427,conv-48,4,gain,1,1,1,1,0,k,
2ca43863fdd8664ef8d6c37f4bebefd396e739a64554e6f5480902ca05cdbd21,conv-48,4,gain,1,9,9,1,0,k,
46cacc0f5e299e5728c5fbcf16ae8227e5c998bf8c7c036eb4c7d5020cbe81c8,conv-48,4,gain,1,1,1,1,0,k,
a51bfa9688aa5c407f78148344041cfd1cf9bfd9f6f9d3f693248aa1e2c95c5e,conv-48,4,gain,1,1,1,1,0,k,
5e2906225b5043c7242b46ffcc2b6cdcf2dc713b06428570cc954c586e50647a,conv-48,5,gain,1,112,112,1,0,coverage,
4a35315eceaa0c7d508450e8a70e13b3d05b3cf64343f1595f835c28292bd382,conv-48,5,gain,1,5,5,1,0,k,
dad53a0b3c0cf4531ba0a453080e28738b9669970beb1e4274a0f1091594d136,conv-48,5,gain,1,2,2,1,0,k,
1ce26e69cb7b5f1f6750d8a98ac104321c1d6340d55c5164ec0d2625c962a7b1,conv-48,5,gain,1,1,1,1,0,k,
c20249e03a81f1c7eedbbaaf2e0cc72fbc4ac539a3f13727b01328f1ceef0cec,conv-48,5,gain,1,41,41,1,0,k,
7ad881106513a3445ffcae63d5c236c0119fad38093ab2fd8445e5682bb0b879,conv-48,5,gain,1,1,1,1,0,k,
